Date,sentinusdUSD
2010/07/17,1193
2010/07/18,2612
2010/07/19,4047
2010/07/20,2341
2010/07/21,2122
2010/07/22,2570
2010/07/23,1166
2010/07/24,2540
2010/07/25,2493
2010/07/26,4608
2010/07/27,1850
2010/07/28,4012
2010/07/29,1230
2010/07/30,1336
2010/07/31,1025
2010/08/01,16490
2010/08/02,3893
2010/08/03,2429
2010/08/04,2005
2010/08/05,2430
2010/08/06,1155
2010/08/07,1514
2010/08/08,616.346
2010/08/09,5060
2010/08/10,2337
2010/08/11,3479
2010/08/12,1083
2010/08/13,2297
2010/08/14,1063
2010/08/15,1119
2010/08/16,4352
2010/08/17,3387
2010/08/18,2580
2010/08/19,1373
2010/08/20,1955
2010/08/21,2551
2010/08/22,1337
2010/08/23,1164
2010/08/24,1370
2010/08/25,1044
2010/08/26,917.558
2010/08/27,1851
2010/08/28,1073
2010/08/29,553.699
2010/08/30,896.538
2010/08/31,2489
2010/09/01,1796
2010/09/02,2161
2010/09/03,1819
2010/09/04,1856
2010/09/05,8510
2010/09/06,4699
2010/09/07,1118
2010/09/08,1085
2010/09/09,2088
2010/09/10,870.212
2010/09/11,641.512
2010/09/12,1147
2010/09/13,7275
2010/09/14,1878
2010/09/15,2453
2010/09/16,2141
2010/09/17,4514
2010/09/18,2617
2010/09/19,3160
2010/09/20,2580
2010/09/21,1742
2010/09/22,2782
2010/09/23,7875
2010/09/24,1202
2010/09/25,1860
2010/09/26,1394
2010/09/27,2073
2010/09/28,5057
2010/09/29,5810
2010/09/30,2573
2010/10/01,3609
2010/10/02,22430
2010/10/03,4640
2010/10/04,34053
2010/10/05,11895
2010/10/06,7552
2010/10/07,8292
2010/10/08,11781
2010/10/09,16413
2010/10/10,11204
2010/10/11,5102
2010/10/12,7374
2010/10/13,11254
2010/10/14,18369
2010/10/15,15013
2010/10/16,19918
2010/10/17,11066
2010/10/18,22342
2010/10/19,26165
2010/10/20,19866
2010/10/21,19022
2010/10/22,13623
2010/10/23,4606
2010/10/24,11685
2010/10/25,16656
2010/10/26,25686
2010/10/27,34177
2010/10/28,33547
2010/10/29,15920
2010/10/30,11303
2010/10/31,12543
2010/11/01,8198
2010/11/02,12061
2010/11/03,11023
2010/11/04,33615
2010/11/05,9874
2010/11/06,41250
2010/11/07,36350
2010/11/08,147061
2010/11/09,12260
2010/11/10,13173
2010/11/11,9427
2010/11/12,8374
2010/11/13,10727
2010/11/14,9828
2010/11/15,71680
2010/11/16,25653
2010/11/17,14059
2010/11/18,14560
2010/11/19,14856
2010/11/20,44762
2010/11/21,34823
2010/11/22,8797
2010/11/23,12053
2010/11/24,10919
2010/11/25,14232
2010/11/26,25099
2010/11/27,6888
2010/11/28,6714
2010/11/29,8827
2010/11/30,13088
2010/12/01,12027
2010/12/02,14793
2010/12/03,6910
2010/12/04,14997
2010/12/05,4392
2010/12/06,20598
2010/12/07,18528
2010/12/08,7097
2010/12/09,9051
2010/12/10,5382
2010/12/11,17203
2010/12/12,10227
2010/12/13,39314
2010/12/14,27659
2010/12/15,27336
2010/12/16,20675
2010/12/17,15425
2010/12/18,20367
2010/12/19,23922
2010/12/20,21078
2010/12/21,25401
2010/12/22,20433
2010/12/23,15616
2010/12/24,15041
2010/12/25,28003
2010/12/26,18032
2010/12/27,22322
2010/12/28,15401
2010/12/29,31647
2010/12/30,19089
2010/12/31,17822
2011/01/01,16353
2011/01/02,13842
2011/01/03,19774
2011/01/04,11956
2011/01/05,14551
2011/01/06,9547
2011/01/07,17456
2011/01/08,18637
2011/01/09,12364
2011/01/10,26675
2011/01/11,34068
2011/01/12,19022
2011/01/13,38168
2011/01/14,30593
2011/01/15,22419
2011/01/16,25484
2011/01/17,21482
2011/01/18,34742
2011/01/19,18718
2011/01/20,18328
