Date,size
2010/07/17,649.653
2010/07/18,765.285
2010/07/19,756.04
2010/07/20,984.707
2010/07/21,542.483
2010/07/22,491.903
2010/07/23,447.16
2010/07/24,1446
2010/07/25,3145
2010/07/26,918.379
2010/07/27,679.271
2010/07/28,3344
2010/07/29,2370
2010/07/30,538.269
2010/07/31,389.704
2010/08/01,351.033
2010/08/02,356.388
2010/08/03,743.899
2010/08/04,408.045
2010/08/05,846.908
2010/08/06,676.122
2010/08/07,559.974
2010/08/08,448.196
2010/08/09,1483
2010/08/10,394.817
2010/08/11,415.854
2010/08/12,378.806
2010/08/13,756.344
2010/08/14,411.21
2010/08/15,322.952
2010/08/16,968.878
2010/08/17,594.527
2010/08/18,1925
2010/08/19,542.652
2010/08/20,514.834
2010/08/21,458.422
2010/08/22,391.557
2010/08/23,407.108
2010/08/24,755.126
2010/08/25,334.458
2010/08/26,481.548
2010/08/27,393.994
2010/08/28,526.465
2010/08/29,332.691
2010/08/30,590.483
2010/08/31,895.864
2010/09/01,813.592
2010/09/02,526.974
2010/09/03,426.171
2010/09/04,328.414
2010/09/05,465.139
2010/09/06,424.88
2010/09/07,386.781
2010/09/08,479.806
2010/09/09,633.726
2010/09/10,480.203
2010/09/11,424.7
2010/09/12,619.424
2010/09/13,695.836
2010/09/14,517.32
2010/09/15,686.669
2010/09/16,470.575
2010/09/17,645.538
2010/09/18,371.608
2010/09/19,428.684
2010/09/20,611.389
2010/09/21,1474
2010/09/22,1163
2010/09/23,752.632
2010/09/24,532.197
2010/09/25,696.256
2010/09/26,504.649
2010/09/27,876.672
2010/09/28,1141
2010/09/29,2119
2010/09/30,671.959
2010/10/01,1024
2010/10/02,1736
2010/10/03,857.459
2010/10/04,831.601
2010/10/05,920.071
2010/10/06,629.673
2010/10/07,587.513
2010/10/08,783.409
2010/10/09,823.924
2010/10/10,549.596
2010/10/11,575.585
2010/10/12,617.742
2010/10/13,788.705
2010/10/14,487.815
2010/10/15,450.746
2010/10/16,487.981
2010/10/17,406.5
2010/10/18,653.683
2010/10/19,1084
2010/10/20,787.659
2010/10/21,890.903
2010/10/22,1182
2010/10/23,821.537
2010/10/24,707.171
2010/10/25,575.99
2010/10/26,554.826
2010/10/27,828.333
2010/10/28,647.174
2010/10/29,648.83
2010/10/30,394.782
2010/10/31,460.128
2010/11/01,500.271
2010/11/02,368.341
2010/11/03,440.447
2010/11/04,432.716
2010/11/05,624.639
2010/11/06,447.642
2010/11/07,447.195
2010/11/08,763.556
2010/11/09,465.521
2010/11/10,468.025
2010/11/11,429.356
2010/11/12,386.84
2010/11/13,364.704
2010/11/14,479.965
2010/11/15,8706
2010/11/16,10873
2010/11/17,424
2010/11/18,1294
2010/11/19,14500
2010/11/20,18970
2010/11/21,16354
2010/11/22,546.804
2010/11/23,672.486
2010/11/24,5420
2010/11/25,9437
2010/11/26,1833
2010/11/27,664.289
2010/11/28,634.238
2010/11/29,611.005
2010/11/30,564.658
2010/12/01,788.479
2010/12/02,615.58
2010/12/03,604.603
2010/12/04,498.55
2010/12/05,408.146
2010/12/06,421.975
2010/12/07,672.054
2010/12/08,542.458
2010/12/09,569.915
2010/12/10,623.333
2010/12/11,881.874
2010/12/12,973.058
2010/12/13,1673
2010/12/14,953.509
2010/12/15,837.857
2010/12/16,804.312
2010/12/17,905.211
2010/12/18,790.72
2010/12/19,952.538
2010/12/20,1608
2010/12/21,852.138
2010/12/22,1147
2010/12/23,1038
2010/12/24,919.885
2010/12/25,915.28
2010/12/26,1065
2010/12/27,1025
2010/12/28,1033
2010/12/29,899.552
2010/12/30,971.817
2010/12/31,870.284
2011/01/01,1029
2011/01/02,942.686
2011/01/03,2401
2011/01/04,1697
2011/01/05,2377
2011/01/06,1461
2011/01/07,1596
2011/01/08,2198
2011/01/09,2063
2011/01/10,2207
2011/01/11,2225
2011/01/12,1839
2011/01/13,1939
2011/01/14,1966
2011/01/15,1836
2011/01/16,1609
2011/01/17,1254
2011/01/18,1766
2011/01/19,1613
2011/01/20,1341
2011/01/21,2105
2011/01/22,3070
2011/01/23,2135
2011/01/24,2231
2011/01/25,1574
2011/01/26,1606
2011/01/27,1786
2011/01/28,2015
2011/01/29,2931
2011/01/30,6347
2011/01/31,2956
2011/02/01,2500
2011/02/02,1813
2011/02/03,1442
2011/02/04,1444
2011/02/05,1483
2011/02/06,1675
2011/02/07,1240
2011/02/08,1484
2011/02/09,1861
2011/02/10,3598
2011/02/11,3763
2011/02/12,2978
2011/02/13,2663
2011/02/14,3688
2011/02/15,2882
2011/02/16,2511
2011/02/17,2839
2011/02/18,3227
2011/02/19,3009
2011/02/20,2795
2011/02/21,2800
2011/02/22,3133
2011/02/23,2778
2011/02/24,3118
2011/02/25,2723
2011/02/26,2153
2011/02/27,2862
2011/02/28,3671
2011/03/01,6694
2011/03/02,3746
2011/03/03,4971
2011/03/04,3056
2011/03/05,2956
2011/03/06,2275
2011/03/07,2935
2011/03/08,4383
2011/03/09,3875
2011/03/10,4853
2011/03/11,4738
2011/03/12,6039
2011/03/13,6715
2011/03/14,7520
2011/03/15,8164
2011/03/16,6890
2011/03/17,6614
2011/03/18,6128
2011/03/19,8004
2011/03/20,10145
2011/03/21,10663
2011/03/22,5947
2011/03/23,9125
2011/03/24,5100
2011/03/25,4239
2011/03/26,8068
2011/03/27,6579
2011/03/28,6298
2011/03/29,5578
2011/03/30,4042
2011/03/31,3856
2011/04/01,3431
2011/04/02,3464
2011/04/03,3456
2011/04/04,4554
2011/04/05,3842
2011/04/06,4426
2011/04/07,4021
2011/04/08,4064
2011/04/09,3939
2011/04/10,3786
2011/04/11,4677
2011/04/12,5537
2011/04/13,4755
2011/04/14,6229
2011/04/15,7021
2011/04/16,6083
2011/04/17,4530
2011/04/18,7338
2011/04/19,8158
2011/04/20,9021
2011/04/21,4583
2011/04/22,4342
2011/04/23,5413
2011/04/24,5720
2011/04/25,5920
2011/04/26,6437
2011/04/27,10574
2011/04/28,7457
2011/04/29,6671
2011/04/30,9515
2011/05/01,9311
2011/05/02,5718
2011/05/03,6037
2011/05/04,5889
2011/05/05,6576
2011/05/06,6067
2011/05/07,6313
2011/05/08,5293
2011/05/09,6088
2011/05/10,7906
2011/05/11,7044
2011/05/12,8346
2011/05/13,9332
2011/05/14,7606
2011/05/15,7677
2011/05/16,7941
2011/05/17,7332
2011/05/18,8108
2011/05/19,11485
2011/05/20,9384
2011/05/21,8926
2011/05/22,8084
2011/05/23,8098
2011/05/24,7590
2011/05/25,8473
2011/05/26,9552
2011/05/27,11232
2011/05/28,12685
2011/05/29,10621
2011/05/30,14269
2011/05/31,17075
2011/06/01,14496
2011/06/02,16036
2011/06/03,19976
2011/06/04,16676
2011/06/05,15696
2011/06/06,18223
2011/06/07,21023
2011/06/08,30590
2011/06/09,23463
2011/06/10,21062
2011/06/11,17432
2011/06/12,22634
2011/06/13,21641
2011/06/14,22532
2011/06/15,19346
2011/06/16,30098
2011/06/17,26360
2011/06/18,24209
2011/06/19,22042
2011/06/20,18420
2011/06/21,15767
2011/06/22,16688
2011/06/23,16781
2011/06/24,19842
2011/06/25,27948
2011/06/26,28768
2011/06/27,32342
2011/06/28,27938
2011/06/29,24028
2011/06/30,21075
2011/07/01,26405
2011/07/02,21836
2011/07/03,20632
2011/07/04,23763
2011/07/05,28817
2011/07/06,30089
2011/07/07,29076
2011/07/08,21879
2011/07/09,22741
2011/07/10,28584
2011/07/11,27149
2011/07/12,24650
2011/07/13,19742
2011/07/14,26259
2011/07/15,20295
2011/07/16,23518
2011/07/17,21468
2011/07/18,26922
2011/07/19,29217
2011/07/20,25840
2011/07/21,24217
2011/07/22,25247
2011/07/23,22377
2011/07/24,21589
2011/07/25,26192
2011/07/26,21452
2011/07/27,20821
2011/07/28,23957
2011/07/29,18658
2011/07/30,17043
2011/07/31,19639
2011/08/01,22490
2011/08/02,25036
2011/08/03,22088
2011/08/04,27020
2011/08/05,22205
2011/08/06,25981
2011/08/07,22344
2011/08/08,27122
2011/08/09,28096
2011/08/10,22969
2011/08/11,22551
2011/08/12,22234
2011/08/13,24048
2011/08/14,25934
