Date,size14std
2010/07/17,1262
2010/07/18,1259
2010/07/19,1245
2010/07/20,1229
2010/07/21,1216
2010/07/22,1196
2010/07/23,1175
2010/07/24,1188
2010/07/25,1648
2010/07/26,1646
2010/07/27,1625
2010/07/28,1814
2010/07/29,1915
2010/07/30,1914
2010/07/31,1941
2010/08/01,1979
2010/08/02,2013
2010/08/03,2022
2010/08/04,2035
2010/08/05,2012
2010/08/06,1992
2010/08/07,2008
2010/08/08,1674
2010/08/09,1701
2010/08/10,1720
2010/08/11,1086
2010/08/12,588.29
2010/08/13,595.524
2010/08/14,593.595
2010/08/15,596.963
2010/08/16,612.832
2010/08/17,609.698
2010/08/18,893.897
2010/08/19,896.001
2010/08/20,901.351
2010/08/21,907.166
2010/08/22,911.879
2010/08/23,804.087
2010/08/24,798.461
2010/08/25,805.813
2010/08/26,798.519
2010/08/27,804.338
2010/08/28,798.48
2010/08/29,797.476
2010/08/30,773.108
2010/08/31,789.12
2010/09/01,340.757
2010/09/02,340.704
2010/09/03,344.883
2010/09/04,358.179
2010/09/05,352.923
2010/09/06,351.417
2010/09/07,332.02
2010/09/08,320.193
2010/09/09,326.513
2010/09/10,320.263
2010/09/11,324.145
2010/09/12,311.477
2010/09/13,321.367
2010/09/14,254.868
2010/09/15,218.272
2010/09/16,218.72
2010/09/17,225.822
2010/09/18,216.331
2010/09/19,219.835
2010/09/20,218.007
2010/09/21,520.533
2010/09/22,586.429
2010/09/23,588.173
2010/09/24,584.043
2010/09/25,567.85
2010/09/26,574.98
2010/09/27,583.685
2010/09/28,616.869
2010/09/29,938.9
2010/09/30,921.712
2010/10/01,917.59
2010/10/02,967.872
2010/10/03,922.099
2010/10/04,901.547
2010/10/05,867.546
2010/10/06,880.153
2010/10/07,894.695
2010/10/08,871.211
2010/10/09,862.791
2010/10/10,856.228
2010/10/11,879.142
2010/10/12,887.339
2010/10/13,580.589
2010/10/14,600.862
2010/10/15,612.481
2010/10/16,303.971
2010/10/17,313.47
2010/10/18,295.03
2010/10/19,348.723
2010/10/20,357.091
2010/10/21,375.891
2010/10/22,457.177
2010/10/23,456.992
2010/10/24,449.436
2010/10/25,449.402
2010/10/26,454.239
2010/10/27,456.761
2010/10/28,441.902
2010/10/29,418.605
2010/10/30,436.618
2010/10/31,426.107
2010/11/01,441.137
2010/11/02,426.396
2010/11/03,436.206
2010/11/04,425.919
2010/11/05,286.92
2010/11/06,257.011
2010/11/07,244.761
2010/11/08,273.027
2010/11/09,275.498
2010/11/10,222.816
2010/11/11,211.866
2010/11/12,199.137
2010/11/13,203.099
2010/11/14,203.042
2010/11/15,4246
2010/11/16,6570
2010/11/17,6571
2010/11/18,6534
2010/11/19,9160
2010/11/20,12222
2010/11/21,13511
2010/11/22,13532
2010/11/23,13512
2010/11/24,13242
2010/11/25,13034
2010/11/26,12866
2010/11/27,12827
2010/11/28,12806
2010/11/29,13075
2010/11/30,13027
2010/12/01,12991
2010/12/02,13053
2010/12/03,12128
2010/12/04,8994
2010/12/05,4988
2010/12/06,4996
2010/12/07,4996
2010/12/08,4559
2010/12/09,670.758
2010/12/10,191.89
2010/12/11,242.859
2010/12/12,309.122
2010/12/13,620.447
2010/12/14,628.017
2010/12/15,629.833
2010/12/16,627.194
2010/12/17,626.745
2010/12/18,608.538
2010/12/19,574.651
2010/12/20,653.987
2010/12/21,641.459
2010/12/22,613.07
2010/12/23,571.943
2010/12/24,534.923
2010/12/25,532.658
2010/12/26,532.134
2010/12/27,397.14
2010/12/28,397.356
2010/12/29,391.733
2010/12/30,377.46
2010/12/31,380.613
2011/01/01,361.363
2011/01/02,361.949
2011/01/03,750.664
2011/01/04,802.066
2011/01/05,1024
2011/01/06,1025
2011/01/07,1021
2011/01/08,1092
2011/01/09,1125
2011/01/10,1157
2011/01/11,1166
2011/01/12,1094
2011/01/13,1020
2011/01/14,890.286
2011/01/15,765.126
2011/01/16,578.542
2011/01/17,627.061
2011/01/18,622.441
2011/01/19,570.886
2011/01/20,595.691
2011/01/21,599.147
2011/01/22,855.379
2011/01/23,859.686
2011/01/24,862.041
2011/01/25,862.187
2011/01/26,873.413
2011/01/27,873.031
2011/01/28,875.244
2011/01/29,1036
2011/01/30,2481
2011/01/31,2437
2011/02/01,2412
2011/02/02,2395
2011/02/03,2382
2011/02/04,2434
2011/02/05,2450
2011/02/06,2470
2011/02/07,2527
2011/02/08,2534
2011/02/09,2520
2011/02/10,2604
2011/02/11,2695
2011/02/12,2698
2011/02/13,1648
2011/02/14,1781
2011/02/15,1807
2011/02/16,1790
2011/02/17,1734
2011/02/18,1685
2011/02/19,1586
2011/02/20,1487
2011/02/21,1228
2011/02/22,963.593
2011/02/23,751.236
2011/02/24,688.934
2011/02/25,562.193
2011/02/26,691.441
2011/02/27,681.119
2011/02/28,675.176
2011/03/01,2070
2011/03/02,2057
2011/03/03,2220
2011/03/04,2226
2011/03/05,2229
2011/03/06,2284
2011/03/07,2276
2011/03/08,2330
2011/03/09,2308
2011/03/10,2391
2011/03/11,2392
2011/03/12,2465
2011/03/13,2710
2011/03/14,3127
2011/03/15,3477
2011/03/16,3598
2011/03/17,3698
2011/03/18,3555
2011/03/19,3559
2011/03/20,3729
2011/03/21,3908
2011/03/22,3713
2011/03/23,3477
2011/03/24,3431
2011/03/25,3544
2011/03/26,3502
2011/03/27,3510
2011/03/28,3551
2011/03/29,3617
2011/03/30,3946
2011/03/31,4247
2011/04/01,4565
2011/04/02,4735
2011/04/03,4375
2011/04/04,3425
2011/04/05,3477
2011/04/06,2680
2011/04/07,2701
2011/04/08,2711
2011/04/09,1976
2011/04/10,1579
2011/04/11,1115
2011/04/12,1100
2011/04/13,1153
2011/04/14,1566
2011/04/15,2023
2011/04/16,2069
2011/04/17,1948
2011/04/18,2330
2011/04/19,2734
2011/04/20,3273
2011/04/21,3205
2011/04/22,3167
2011/04/23,3019
2011/04/24,2803
2011/04/25,2713
2011/04/26,2704
2011/04/27,3433
2011/04/28,3461
2011/04/29,3454
2011/04/30,3750
2011/05/01,3719
2011/05/02,3792
2011/05/03,3773
2011/05/04,3614
2011/05/05,3424
2011/05/06,3172
2011/05/07,3080
2011/05/08,3138
2011/05/09,3123
2011/05/10,3140
2011/05/11,2482
2011/05/12,2584
2011/05/13,2861
2011/05/14,2554
2011/05/15,2245
2011/05/16,2217
2011/05/17,2155
2011/05/18,2101
2011/05/19,2982
2011/05/20,2981
2011/05/21,2899
2011/05/22,2470
2011/05/23,2170
2011/05/24,2196
2011/05/25,2072
2011/05/26,2146
2011/05/27,2534
2011/05/28,3186
2011/05/29,3187
2011/05/30,4006
2011/05/31,5295
2011/06/01,5523
2011/06/02,6135
2011/06/03,7519
2011/06/04,7690
2011/06/05,7439
2011/06/06,7347
2011/06/07,7383
2011/06/08,10266
2011/06/09,10154
2011/06/10,9732
2011/06/11,9290
2011/06/12,8465
2011/06/13,8084
2011/06/14,8063
2011/06/15,7464
2011/06/16,8525
2011/06/17,8837
2011/06/18,8403
2011/06/19,7536
2011/06/20,7502
2011/06/21,8325
2011/06/22,7526
2011/06/23,7822
2011/06/24,7848
2011/06/25,8341
2011/06/26,9094
2011/06/27,10480
2011/06/28,10785
2011/06/29,10559
2011/06/30,9995
2011/07/01,9999
2011/07/02,9993
2011/07/03,10052
2011/07/04,9767
2011/07/05,9256
2011/07/06,8767
2011/07/07,7686
2011/07/08,7289
2011/07/09,7393
2011/07/10,7372
2011/07/11,6454
2011/07/12,6289
