Date,size30rsi
2010/07/17,51.223
2010/07/18,51.895
2010/07/19,51.836
2010/07/20,53.2
2010/07/21,50.348
2010/07/22,50.031
2010/07/23,49.744
2010/07/24,55.618
2010/07/25,63.193
2010/07/26,51.321
2010/07/27,50.271
2010/07/28,59.757
2010/07/29,55.739
2010/07/30,49.286
2010/07/31,48.812
2010/08/01,48.686
2010/08/02,48.705
2010/08/03,50.087
2010/08/04,48.906
2010/08/05,50.485
2010/08/06,49.864
2010/08/07,49.437
2010/08/08,49.019
2010/08/09,52.84
2010/08/10,48.856
2010/08/11,48.933
2010/08/12,48.8
2010/08/13,50.234
2010/08/14,48.938
2010/08/15,48.606
2010/08/16,51.116
2010/08/17,49.662
2010/08/18,54.427
2010/08/19,49.4
2010/08/20,49.306
2010/08/21,49.108
2010/08/22,48.868
2010/08/23,48.928
2010/08/24,50.281
2010/08/25,48.668
2010/08/26,49.257
2010/08/27,48.912
2010/08/28,49.466
2010/08/29,48.667
2010/08/30,49.784
2010/08/31,51.088
2010/09/01,50.721
2010/09/02,49.441
2010/09/03,48.99
2010/09/04,48.547
2010/09/05,49.212
2010/09/06,49.019
2010/09/07,48.832
2010/09/08,49.321
2010/09/09,50.138
2010/09/10,49.318
2010/09/11,49.018
2010/09/12,50.119
2010/09/13,50.552
2010/09/14,49.512
2010/09/15,50.511
2010/09/16,49.226
2010/09/17,50.285
2010/09/18,48.641
2010/09/19,49.001
2010/09/20,50.156
2010/09/21,55.122
2010/09/22,53.144
2010/09/23,50.669
2010/09/24,49.39
2010/09/25,50.354
2010/09/26,49.221
2010/09/27,51.418
2010/09/28,52.915
2010/09/29,57.884
2010/09/30,49.835
2010/10/01,51.531
2010/10/02,54.732
2010/10/03,50.476
2010/10/04,50.357
2010/10/05,50.769
2010/10/06,49.378
2010/10/07,49.176
2010/10/08,50.157
2010/10/09,50.362
2010/10/10,48.952
2010/10/11,49.091
2010/10/12,49.324
2010/10/13,50.278
2010/10/14,48.612
2010/10/15,48.408
2010/10/16,48.632
2010/10/17,48.158
2010/10/18,49.698
2010/10/19,52.249
2010/10/20,50.428
2010/10/21,51.044
2010/10/22,52.753
2010/10/23,50.494
2010/10/24,49.793
2010/10/25,48.986
2010/10/26,48.854
2010/10/27,50.634
2010/10/28,49.455
2010/10/29,49.466
2010/10/30,47.796
2010/10/31,48.26
2010/11/01,48.552
2010/11/02,47.64
2010/11/03,48.19
2010/11/04,48.134
2010/11/05,49.639
2010/11/06,48.302
2010/11/07,48.298
2010/11/08,50.831
2010/11/09,48.515
2010/11/10,48.535
2010/11/11,48.23
2010/11/12,47.888
2010/11/13,47.706
2010/11/14,48.757
2010/11/15,79.37
2010/11/16,82.258
2010/11/17,48.433
