Date,size30trx
2010/07/17,0.98
2010/07/18,1.137
2010/07/19,1.28
2010/07/20,1.426
2010/07/21,1.536
2010/07/22,1.61
2010/07/23,1.651
2010/07/24,1.739
2010/07/25,1.985
2010/07/26,2.184
2010/07/27,2.323
2010/07/28,2.594
2010/07/29,2.889
2010/07/30,3.069
2010/07/31,3.148
2010/08/01,3.145
2010/08/02,3.08
2010/08/03,2.994
2010/08/04,2.872
2010/08/05,2.751
2010/08/06,2.621
2010/08/07,2.48
2010/08/08,2.329
2010/08/09,2.221
2010/08/10,2.095
2010/08/11,1.958
2010/08/12,1.813
2010/08/13,1.68
2010/08/14,1.543
2010/08/15,1.401
2010/08/16,1.284
2010/08/17,1.173
2010/08/18,1.123
2010/08/19,1.064
2010/08/20,0.996
2010/08/21,0.921
2010/08/22,0.838
2010/08/23,0.75
2010/08/24,0.673
2010/08/25,0.589
2010/08/26,0.505
2010/08/27,0.421
2010/08/28,0.34
2010/08/29,0.257
2010/08/30,0.183
2010/08/31,0.128
2010/09/01,0.086
2010/09/02,0.045
2010/09/03,0
2010/09/04,-0.051
2010/09/05,-0.101
2010/09/06,-0.151
2010/09/07,-0.202
2010/09/08,-0.25
2010/09/09,-0.289
2010/09/10,-0.326
2010/09/11,-0.363
2010/09/12,-0.392
2010/09/13,-0.411
2010/09/14,-0.428
2010/09/15,-0.437
2010/09/16,-0.448
2010/09/17,-0.452
2010/09/18,-0.463
2010/09/19,-0.476
2010/09/20,-0.483
2010/09/21,-0.451
2010/09/22,-0.397
2010/09/23,-0.345
2010/09/24,-0.302
2010/09/25,-0.261
2010/09/26,-0.229
2010/09/27,-0.191
2010/09/28,-0.137
2010/09/29,-0.028
2010/09/30,0.062
2010/10/01,0.152
2010/10/02,0.269
2010/10/03,0.369
2010/10/04,0.454
2010/10/05,0.528
2010/10/06,0.58
2010/10/07,0.612
2010/10/08,0.634
2010/10/09,0.65
2010/10/10,0.65
2010/10/11,0.637
2010/10/12,0.617
2010/10/13,0.596
2010/10/14,0.564
2010/10/15,0.522
2010/10/16,0.473
2010/10/17,0.417
2010/10/18,0.364
2010/10/19,0.332
2010/10/20,0.304
2010/10/21,0.285
2010/10/22,0.285
2010/10/23,0.285
2010/10/24,0.281
2010/10/25,0.269
2010/10/26,0.25
2010/10/27,0.236
2010/10/28,0.219
2010/10/29,0.199
2010/10/30,0.169
2010/10/31,0.132
2010/11/01,0.093
2010/11/02,0.046
2010/11/03,-0.003
2010/11/04,-0.054
2010/11/05,-0.099
2010/11/06,-0.145
2010/11/07,-0.192
2010/11/08,-0.226
2010/11/09,-0.261
2010/11/10,-0.297
2010/11/11,-0.333
2010/11/12,-0.372
2010/11/13,-0.413
2010/11/14,-0.451
2010/11/15,-0.172
2010/11/16,0.448
2010/11/17,0.935
2010/11/18,1.334
2010/11/19,2.142
2010/11/20,3.397
2010/11/21,4.823
2010/11/22,5.739
2010/11/23,6.238
2010/11/24,6.561
2010/11/25,6.851
2010/11/26,6.888
2010/11/27,6.721
2010/11/28,6.423
2010/11/29,6.046
2010/11/30,5.626
2010/12/01,5.192
2010/12/02,4.757
2010/12/03,4.331
2010/12/04,3.918
2010/12/05,3.522
2010/12/06,3.144
2010/12/07,2.791
2010/12/08,2.458
2010/12/09,2.147
2010/12/10,1.856
2010/12/11,1.589
2010/12/12,1.343
2010/12/13,1.127
2010/12/14,0.926
2010/12/15,0.738
2010/12/16,0.562
2010/12/17,0.398
2010/12/18,0.243
2010/12/19,0.101
2010/12/20,-0.023
2010/12/21,-0.14
2010/12/22,-0.246
2010/12/23,-0.345
2010/12/24,-0.437
2010/12/25,-0.523
2010/12/26,-0.602
2010/12/27,-0.675
2010/12/28,-0.741
2010/12/29,-0.804
2010/12/30,-0.861
2010/12/31,-0.915
2011/01/01,-0.964
2011/01/02,-1.009
2011/01/03,-1.03
2011/01/04,-1.04
2011/01/05,-1.03
2011/01/06,-1.017
2011/01/07,-1
2011/01/08,-0.969
2011/01/09,-0.929
2011/01/10,-0.88
2011/01/11,-0.822
2011/01/12,-0.764
2011/01/13,-0.704
2011/01/14,-0.642
2011/01/15,-0.582
2011/01/16,-0.527
2011/01/17,-0.483
2011/01/18,-0.439
2011/01/19,-0.399
2011/01/20,-0.367
2011/01/21,-0.33
2011/01/22,-0.272
2011/01/23,-0.214
2011/01/24,-0.155
2011/01/25,-0.105
2011/01/26,-0.064
2011/01/27,-0.027
2011/01/28,0.009
2011/01/29,0.059
2011/01/30,0.175
2011/01/31,0.289
2011/02/01,0.391
2011/02/02,0.472
2011/02/03,0.527
