Date,size3ema
2010/07/17,761.369
2010/07/18,763.327
2010/07/19,759.684
2010/07/20,872.195
2010/07/21,707.339
2010/07/22,599.621
2010/07/23,523.391
2010/07/24,984.47
2010/07/25,2065
2010/07/26,1491
2010/07/27,1085
2010/07/28,2215
2010/07/29,2292
2010/07/30,1415
2010/07/31,902.522
2010/08/01,626.778
2010/08/02,491.583
2010/08/03,617.741
2010/08/04,512.893
2010/08/05,679.901
2010/08/06,678.012
2010/08/07,618.993
2010/08/08,533.594
2010/08/09,1008
2010/08/10,701.598
2010/08/11,558.726
2010/08/12,468.766
2010/08/13,612.555
2010/08/14,511.883
2010/08/15,417.417
2010/08/16,693.147
2010/08/17,643.837
2010/08/18,1284
2010/08/19,913.411
2010/08/20,714.123
2010/08/21,586.272
2010/08/22,488.914
2010/08/23,448.011
2010/08/24,601.568
2010/08/25,468.013
2010/08/26,474.78
2010/08/27,434.387
2010/08/28,480.426
2010/08/29,406.559
2010/08/30,498.521
2010/08/31,697.193
2010/09/01,755.392
2010/09/02,641.183
2010/09/03,533.677
2010/09/04,431.046
2010/09/05,448.093
2010/09/06,436.486
2010/09/07,411.634
2010/09/08,445.72
2010/09/09,539.723
2010/09/10,509.963
2010/09/11,467.332
2010/09/12,543.378
2010/09/13,619.607
2010/09/14,568.464
2010/09/15,627.566
2010/09/16,549.071
2010/09/17,597.305
2010/09/18,484.456
2010/09/19,456.57
2010/09/20,533.98
2010/09/21,1004
2010/09/22,1084
2010/09/23,918.068
2010/09/24,725.133
2010/09/25,710.694
2010/09/26,607.672
2010/09/27,742.172
2010/09/28,941.588
2010/09/29,1530
2010/09/30,1101
2010/10/01,1063
2010/10/02,1399
2010/10/03,1128
2010/10/04,979.975
2010/10/05,950.023
2010/10/06,789.848
2010/10/07,688.68
2010/10/08,736.045
2010/10/09,779.984
2010/10/10,664.79
2010/10/11,620.187
2010/10/12,618.965
2010/10/13,703.835
2010/10/14,595.825
2010/10/15,523.285
2010/10/16,505.633
2010/10/17,456.066
2010/10/18,554.875
2010/10/19,819.205
2010/10/20,803.432
2010/10/21,847.168
2010/10/22,1014
2010/10/23,917.935
2010/10/24,812.553
2010/10/25,694.272
2010/10/26,624.549
2010/10/27,726.441
2010/10/28,686.807
2010/10/29,667.818
2010/10/30,531.3
2010/10/31,495.714
2010/11/01,497.993
2010/11/02,433.167
2010/11/03,436.807
2010/11/04,434.762
2010/11/05,529.701
2010/11/06,488.671
2010/11/07,467.933
2010/11/08,615.745
2010/11/09,540.633
2010/11/10,504.329
2010/11/11,466.842
2010/11/12,426.841
2010/11/13,395.773
2010/11/14,437.869
2010/11/15,4572
2010/11/16,7722
2010/11/17,4073
2010/11/18,2684
2010/11/19,8592
2010/11/20,13781
2010/11/21,15067
2010/11/22,7807
2010/11/23,4240
2010/11/24,4830
2010/11/25,7133
2010/11/26,4483
2010/11/27,2574
2010/11/28,1604
2010/11/29,1107
2010/11/30,836.066
2010/12/01,812.273
2010/12/02,713.926
2010/12/03,659.265
2010/12/04,578.907
2010/12/05,493.527
2010/12/06,457.751
2010/12/07,564.903
2010/12/08,553.68
2010/12/09,561.798
2010/12/10,592.565
2010/12/11,737.22
2010/12/12,855.139
2010/12/13,1264
2010/12/14,1109
2010/12/15,973.274
2010/12/16,888.793
2010/12/17,897.002
2010/12/18,843.861
2010/12/19,898.2
2010/12/20,1253
2010/12/21,1053
2010/12/22,1100
2010/12/23,1069
2010/12/24,994.293
2010/12/25,954.787
2010/12/26,1010
2010/12/27,1017
2010/12/28,1025
2010/12/29,962.375
2010/12/30,967.096
2010/12/31,918.69
2011/01/01,973.804
2011/01/02,958.245
2011/01/03,1680
2011/01/04,1689
2011/01/05,2033
2011/01/06,1747
2011/01/07,1671
2011/01/08,1934
2011/01/09,1999
2011/01/10,2103
2011/01/11,2164
2011/01/12,2002
2011/01/13,1970
2011/01/14,1968
2011/01/15,1902
2011/01/16,1755
2011/01/17,1505
2011/01/18,1635
2011/01/19,1624
2011/01/20,1483
2011/01/21,1794
2011/01/22,2432
2011/01/23,2283
2011/01/24,2257
2011/01/25,1916
2011/01/26,1761
2011/01/27,1774
2011/01/28,1894
2011/01/29,2413
2011/01/30,4380
2011/01/31,3668
2011/02/01,3084
2011/02/02,2448
2011/02/03,1945
2011/02/04,1695
2011/02/05,1589
2011/02/06,1632
2011/02/07,1436
2011/02/08,1460
2011/02/09,1661
2011/02/10,2629
2011/02/11,3196
2011/02/12,3087
2011/02/13,2875
2011/02/14,3282
2011/02/15,3082
2011/02/16,2796
2011/02/17,2818
2011/02/18,3023
2011/02/19,3016
2011/02/20,2905
2011/02/21,2853
2011/02/22,2993
2011/02/23,2886
2011/02/24,3002
2011/02/25,2863
2011/02/26,2508
2011/02/27,2685
2011/02/28,3178
2011/03/01,4936
2011/03/02,4341
2011/03/03,4656
2011/03/04,3856
2011/03/05,3406
2011/03/06,2840
2011/03/07,2888
2011/03/08,3635
2011/03/09,3755
2011/03/10,4304
2011/03/11,4521
2011/03/12,5280
2011/03/13,5997
2011/03/14,6759
2011/03/15,7461
2011/03/16,7175
2011/03/17,6895
2011/03/18,6511
2011/03/19,7258
2011/03/20,8701
2011/03/21,9682
2011/03/22,7815
2011/03/23,8470
2011/03/24,6785
2011/03/25,5512
2011/03/26,6790
2011/03/27,6685
2011/03/28,6491
2011/03/29,6034
2011/03/30,5038
2011/03/31,4447
2011/04/01,3939
2011/04/02,3702
2011/04/03,3579
2011/04/04,4066
2011/04/05,3954
2011/04/06,4190
2011/04/07,4105
2011/04/08,4085
2011/04/09,4012
2011/04/10,3899
2011/04/11,4288
2011/04/12,4913
2011/04/13,4834
2011/04/14,5532
2011/04/15,6276
2011/04/16,6180
2011/04/17,5355
2011/04/18,6346
2011/04/19,7252
2011/04/20,8137
2011/04/21,6360
2011/04/22,5351
2011/04/23,5382
2011/04/24,5551
2011/04/25,5735
2011/04/26,6086
2011/04/27,8330
2011/04/28,7893
2011/04/29,7282
2011/04/30,8399
2011/05/01,8855
2011/05/02,7286
2011/05/03,6662
2011/05/04,6275
2011/05/05,6426
2011/05/06,6246
2011/05/07,6280
2011/05/08,5787
2011/05/09,5937
2011/05/10,6922
2011/05/11,6983
2011/05/12,7664
2011/05/13,8498
2011/05/14,8052
2011/05/15,7864
2011/05/16,7903
2011/05/17,7618
2011/05/18,7863
2011/05/19,9674
2011/05/20,9529
2011/05/21,9227
2011/05/22,8656
2011/05/23,8377
2011/05/24,7983
2011/05/25,8228
2011/05/26,8890
2011/05/27,10061
2011/05/28,11373
2011/05/29,10997
2011/05/30,12633
2011/05/31,14854
2011/06/01,14675
2011/06/02,15356
2011/06/03,17666
2011/06/04,17171
2011/06/05,16433
2011/06/06,17328
2011/06/07,19176
2011/06/08,24883
2011/06/09,24173
2011/06/10,22617
2011/06/11,20024
2011/06/12,21329
2011/06/13,21485
2011/06/14,22009
2011/06/15,20677
2011/06/16,25388
2011/06/17,25874
2011/06/18,25042
2011/06/19,23542
2011/06/20,20981
2011/06/21,18374
2011/06/22,17531
2011/06/23,17156
2011/06/24,18499
2011/06/25,23223
2011/06/26,25996
2011/06/27,29169
2011/06/28,28553
2011/06/29,26291
2011/06/30,23683
2011/07/01,25044
2011/07/02,23440
2011/07/03,22036
2011/07/04,22900
2011/07/05,25859
2011/07/06,27974
2011/07/07,28525
2011/07/08,25202
2011/07/09,23972
2011/07/10,26278
2011/07/11,26714
2011/07/12,25682
2011/07/13,22712
2011/07/14,24485
2011/07/15,22390
2011/07/16,22954
2011/07/17,22211
2011/07/18,24567
2011/07/19,26892
2011/07/20,26366
2011/07/21,25291
2011/07/22,25269
2011/07/23,23823
2011/07/24,22706
2011/07/25,24449
2011/07/26,22950
2011/07/27,21886
2011/07/28,22922
2011/07/29,20790
2011/07/30,18917
2011/07/31,19278
2011/08/01,20884
2011/08/02,22960
2011/08/03,22524
2011/08/04,24772
2011/08/05,23488
2011/08/06,24735
2011/08/07,23539
2011/08/08,25331
2011/08/09,26714
2011/08/10,24841
2011/08/11,23696
2011/08/12,22965
2011/08/13,23506
2011/08/14,24720
2011/08/15,27192
2011/08/16,27375
2011/08/17,26444
2011/08/18,24172
2011/08/19,25569
2011/08/20,22999
2011/08/21,21607
2011/08/22,21191
2011/08/23,20880
2011/08/24,22209
2011/08/25,22816
2011/08/26,22852
2011/08/27,23859
2011/08/28,22506
2011/08/29,23635
2011/08/30,22669
2011/08/31,20837
2011/09/01,22282
2011/09/02,20289
2011/09/03,18666
2011/09/04,29374
2011/09/05,24563
2011/09/06,23827
2011/09/07,23033
2011/09/08,22438
2011/09/09,23908
2011/09/10,22829
2011/09/11,23101
2011/09/12,23125
2011/09/13,21026
2011/09/14,19476
2011/09/15,18817
2011/09/16,20436
2011/09/17,18736
2011/09/18,17192
2011/09/19,20695
2011/09/20,24367
2011/09/21,24963
2011/09/22,21440
2011/09/23,20739
2011/09/24,20746
2011/09/25,19863
2011/09/26,18906
2011/09/27,19360
2011/09/28,18059
2011/09/29,18020
2011/09/30,18869
2011/10/01,17488
2011/10/02,17361
2011/10/03,17661
2011/10/04,20114
2011/10/05,18489
2011/10/06,19360
2011/10/07,18588
2011/10/08,18848
2011/10/09,18487
2011/10/10,19052
2011/10/11,23997
2011/10/12,22732
2011/10/13,22299
2011/10/14,20579
2011/10/15,18951
2011/10/16,18472
2011/10/17,20587
2011/10/18,19123
2011/10/19,17789
2011/10/20,17000
2011/10/21,16566
2011/10/22,19267
2011/10/23,20107
2011/10/24,19649
2011/10/25,18269
2011/10/26,18591
2011/10/27,18871
2011/10/28,20088
2011/10/29,20857
2011/10/30,19643
2011/10/31,17727
2011/11/01,16536
2011/11/02,15861
2011/11/03,17586
2011/11/04,18222
2011/11/05,17634
2011/11/06,15428
2011/11/07,16697
2011/11/08,17316
2011/11/09,17097
2011/11/10,18417
2011/11/11,18635
2011/11/12,16951
2011/11/13,15822
2011/11/14,17071
2011/11/15,16689
2011/11/16,18008
2011/11/17,17056
2011/11/18,16802
2011/11/19,16735
2011/11/20,16772
2011/11/21,16627
2011/11/22,16699
2011/11/23,16783
2011/11/24,18414
2011/11/25,17613
2011/11/26,17429
2011/11/27,17711
2011/11/28,18881
2011/11/29,20295
2011/11/30,20309
2011/12/01,18257
2011/12/02,18360
2011/12/03,17319
2011/12/04,17058
2011/12/05,16742
2011/12/06,18237
2011/12/07,18813
2011/12/08,17795
2011/12/09,16899
2011/12/10,16652
2011/12/11,17069
2011/12/12,17986
2011/12/13,18276
2011/12/14,16937
2011/12/15,17049
2011/12/16,18420
2011/12/17,16436
2011/12/18,14912
2011/12/19,16071
2011/12/20,20482
2011/12/21,18363
2011/12/22,17800
2011/12/23,17180
2011/12/24,15230
2011/12/25,14020
2011/12/26,13840
2011/12/27,14946
2011/12/28,14611
2011/12/29,15667
2011/12/30,15271
2011/12/31,15717
2012/01/01,16354
2012/01/02,17697
2012/01/03,17914
2012/01/04,18592
2012/01/05,21594
2012/01/06,21633
2012/01/07,19126
2012/01/08,19733
2012/01/09,20022
2012/01/10,24806
2012/01/11,26120
2012/01/12,23121
2012/01/13,22400
2012/01/14,21145
2012/01/15,20974
2012/01/16,20298
2012/01/17,19897
2012/01/18,22316
2012/01/19,21738
2012/01/20,21266
2012/01/21,19750
2012/01/22,18146
2012/01/23,16647
2012/01/24,20332
2012/01/25,22647
2012/01/26,22330
2012/01/27,21816
2012/01/28,20437
2012/01/29,19172
2012/01/30,17442
2012/01/31,19643
2012/02/01,20213
2012/02/02,20916
2012/02/03,20803
2012/02/04,20913
2012/02/05,21052
2012/02/06,19860
2012/02/07,20961
2012/02/08,21010
2012/02/09,22075
2012/02/10,24763
2012/02/11,23923
2012/02/12,21730
2012/02/13,24023
2012/02/14,27917
2012/02/15,28937
2012/02/16,30704
2012/02/17,24716
2012/02/18,20485
2012/02/19,18452
2012/02/20,18743
2012/02/21,20812
2012/02/22,20157
2012/02/23,21324
2012/02/24,21756
2012/02/25,19920
2012/02/26,18928
2012/02/27,19208
2012/02/28,19234
2012/02/29,18099
2012/03/01,20353
2012/03/02,24154
2012/03/03,22158
2012/03/04,21804
2012/03/05,23058
2012/03/06,23182
2012/03/07,21168
2012/03/08,20517
2012/03/09,19574
2012/03/10,18913
2012/03/11,19120
2012/03/12,18470
2012/03/13,21597
2012/03/14,23821
2012/03/15,24412
2012/03/16,22271
2012/03/17,20165
2012/03/18,18230
2012/03/19,19646
2012/03/20,19292
2012/03/21,19418
2012/03/22,19288
2012/03/23,20311
2012/03/24,17519
2012/03/25,17751
2012/03/26,19385
2012/03/27,19421
2012/03/28,20812
2012/03/29,22289
2012/03/30,21292
2012/03/31,18693
2012/04/01,18570
2012/04/02,22473
2012/04/03,24837
2012/04/04,24119
2012/04/05,26980
2012/04/06,26164
2012/04/07,23618
2012/04/08,20731
2012/04/09,20423
2012/04/10,22840
2012/04/11,24540
2012/04/12,26974
2012/04/13,26601
2012/04/14,25943
2012/04/15,27740
2012/04/16,27543
2012/04/17,28248
2012/04/18,30577
2012/04/19,27068
2012/04/20,27607
2012/04/21,24865
2012/04/22,22983
2012/04/23,23889
2012/04/24,24423
2012/04/25,25846
2012/04/26,26585
2012/04/27,25772
2012/04/28,23812
2012/04/29,21346
2012/04/30,22331
2012/05/01,25212
2012/05/02,28333
2012/05/03,33602
2012/05/04,36309
2012/05/05,35187
2012/05/06,34907
2012/05/07,41240
2012/05/08,42688
2012/05/09,45212
2012/05/10,43452
2012/05/11,51494
2012/05/12,56630
2012/05/13,51252
2012/05/14,70371
2012/05/15,73816
2012/05/16,72220
2012/05/17,70045
2012/05/18,72820
2012/05/19,88675
2012/05/20,93972
2012/05/21,102095
2012/05/22,96368
2012/05/23,95081
2012/05/24,94770
2012/05/25,99545
2012/05/26,85246
2012/05/27,78981
2012/05/28,86126
2012/05/29,95802
2012/05/30,91929
2012/05/31,80377
2012/06/01,79923
2012/06/02,58035
2012/06/03,76958
2012/06/04,103563
2012/06/05,115820
2012/06/06,81790
2012/06/07,93113
2012/06/08,85709
2012/06/09,85304
2012/06/10,93967
2012/06/11,97279
2012/06/12,78041
2012/06/13,119546
2012/06/14,149433
2012/06/15,151804
2012/06/16,138530
2012/06/17,126268
2012/06/18,113015
2012/06/19,112907
2012/06/20,109044
2012/06/21,100826
2012/06/22,90709
2012/06/23,77424
2012/06/24,77831
2012/06/25,80431
2012/06/26,84450
2012/06/27,83590
2012/06/28,84488
2012/06/29,75023
2012/06/30,73542
2012/07/01,65071
2012/07/02,66798
2012/07/03,63588
2012/07/04,65552
2012/07/05,66642
2012/07/06,67360
2012/07/07,65661
2012/07/08,62422
2012/07/09,64772
2012/07/10,83218
2012/07/11,93185
2012/07/12,82221
2012/07/13,76469
2012/07/14,68956
2012/07/15,75313
2012/07/16,84811
2012/07/17,88046
2012/07/18,92752
2012/07/19,99985
2012/07/20,105551
2012/07/21,105459
2012/07/22,98591
2012/07/23,98121
2012/07/24,87326
2012/07/25,79465
2012/07/26,79231
2012/07/27,71033
2012/07/28,82568
2012/07/29,85448
2012/07/30,87461
2012/07/31,112381
2012/08/01,105632
2012/08/02,96334
2012/08/03,84630
2012/08/04,83059
2012/08/05,90686
2012/08/06,96436
2012/08/07,83796
2012/08/08,91541
2012/08/09,84233
2012/08/10,78971
2012/08/11,78449
2012/08/12,83422
2012/08/13,105448
2012/08/14,100144
2012/08/15,122089
2012/08/16,124953
2012/08/17,125485
2012/08/18,113042
2012/08/19,106568
2012/08/20,99084
2012/08/21,99010
2012/08/22,99650
2012/08/23,88334
2012/08/24,87943
2012/08/25,93360
2012/08/26,80793
2012/08/27,87931
2012/08/28,85728
2012/08/29,83737
2012/08/30,87586
2012/08/31,102954
2012/09/01,103487
2012/09/02,94996
2012/09/03,99334
2012/09/04,107675
2012/09/05,103408
2012/09/06,103757
2012/09/07,93559
2012/09/08,92819
2012/09/09,86960
2012/09/10,91042
2012/09/11,101179
2012/09/12,89615
2012/09/13,94812
2012/09/14,97324
2012/09/15,89314
2012/09/16,85233
2012/09/17,74875
2012/09/18,80104
2012/09/19,89836
2012/09/20,87431
2012/09/21,84402
2012/09/22,78409
2012/09/23,79590
2012/09/24,82608
2012/09/25,76748
2012/09/26,89957
2012/09/27,83795
2012/09/28,88517
2012/09/29,77988
2012/09/30,70747
2012/10/01,82888
2012/10/02,93618
2012/10/03,97759
2012/10/04,108682
2012/10/05,112865
2012/10/06,106223
2012/10/07,118154
2012/10/08,107551
2012/10/09,111292
2012/10/10,103310
2012/10/11,97246
2012/10/12,93452
2012/10/13,98148
2012/10/14,100164
2012/10/15,93175
2012/10/16,98864
2012/10/17,105293
2012/10/18,98683
2012/10/19,96257
2012/10/20,94471
2012/10/21,104630
2012/10/22,112300
2012/10/23,116765
2012/10/24,105786
2012/10/25,99238
2012/10/26,82460
2012/10/27,64303
2012/10/28,58572
2012/10/29,65448
2012/10/30,81242
2012/10/31,86804
2012/11/01,83847
2012/11/02,88249
2012/11/03,81597
2012/11/04,77765
2012/11/05,87125
2012/11/06,97946
2012/11/07,102136
2012/11/08,100489
2012/11/09,88850
2012/11/10,88800
2012/11/11,80030
2012/11/12,81751
2012/11/13,84556
2012/11/14,88871
2012/11/15,104679
2012/11/16,114185
2012/11/17,116639
2012/11/18,111247
2012/11/19,112563
2012/11/20,112480
2012/11/21,117028
2012/11/22,108269
2012/11/23,104190
2012/11/24,97280
2012/11/25,107809
2012/11/26,107840
2012/11/27,98444
2012/11/28,98961
2012/11/29,101873
2012/11/30,104215
2012/12/01,97948
2012/12/02,83017
2012/12/03,76679
2012/12/04,106960
2012/12/05,120870
2012/12/06,125762
2012/12/07,118649
2012/12/08,112141
2012/12/09,114436
2012/12/10,116919
2012/12/11,117538
2012/12/12,124237
2012/12/13,137524
2012/12/14,152829
2012/12/15,138494
2012/12/16,140825
2012/12/17,136302
2012/12/18,159629
2012/12/19,148247
2012/12/20,151646
2012/12/21,152522
2012/12/22,145979
2012/12/23,140048
2012/12/24,137750
2012/12/25,119364
2012/12/26,118461
2012/12/27,124860
2012/12/28,125733
2012/12/29,125378
2012/12/30,120201
2012/12/31,104335
2013/01/01,96684
2013/01/02,105380
2013/01/03,106702
2013/01/04,124256
2013/01/05,121248
2013/01/06,110928
2013/01/07,108165
2013/01/08,128734
2013/01/09,138535
2013/01/10,151109
2013/01/11,169143
2013/01/12,166120
2013/01/13,164244
2013/01/14,145677
2013/01/15,151987
2013/01/16,166362
2013/01/17,183172
2013/01/18,184187
2013/01/19,171914
2013/01/20,156247
2013/01/21,147875
2013/01/22,146330
2013/01/23,160315
2013/01/24,155553
2013/01/25,159848
2013/01/26,155971
2013/01/27,159046
2013/01/28,163693
2013/01/29,160495
2013/01/30,143932
2013/01/31,134208
2013/02/01,156626
2013/02/02,157624
2013/02/03,153421
2013/02/04,153441
2013/02/05,147533
2013/02/06,138407
2013/02/07,158065
2013/02/08,169190
2013/02/09,174242
2013/02/10,164091
2013/02/11,164465
2013/02/12,178460
2013/02/13,168399
2013/02/14,163111
2013/02/15,154484
2013/02/16,139682
2013/02/17,132847
2013/02/18,138393
2013/02/19,149415
2013/02/20,149381
2013/02/21,145795
2013/02/22,156385
2013/02/23,159738
2013/02/24,159563
2013/02/25,154644
2013/02/26,164666
2013/02/27,155210
2013/02/28,164396
2013/03/01,180467
2013/03/02,180412
2013/03/03,168747
2013/03/04,166714
2013/03/05,180605
2013/03/06,187562
2013/03/07,194695
2013/03/08,178064
2013/03/09,167448
2013/03/10,176402
2013/03/11,173433
2013/03/12,176672
2013/03/13,172092
2013/03/14,164025
2013/03/15,168301
2013/03/16,134625
2013/03/17,107761
2013/03/18,107655
2013/03/19,120054
2013/03/20,112046
2013/03/21,119535
2013/03/22,125091
2013/03/23,125139
2013/03/24,127539
2013/03/25,148055
