Date,size3mom
2010/07/17,-2116
2010/07/18,-26.012
2010/07/19,225.222
2010/07/20,335.054
2010/07/21,-222.802
2010/07/22,-264.137
2010/07/23,-537.547
2010/07/24,903.067
2010/07/25,2653
2010/07/26,471.219
2010/07/27,-766.279
2010/07/28,199.002
2010/07/29,1452
2010/07/30,-141.002
2010/07/31,-2954
2010/08/01,-2019
2010/08/02,-181.881
2010/08/03,354.194
2010/08/04,57.012
2010/08/05,490.52
2010/08/06,-67.776
2010/08/07,151.929
2010/08/08,-398.712
2010/08/09,807.041
2010/08/10,-165.157
2010/08/11,-32.342
2010/08/12,-1104
2010/08/13,361.527
2010/08/14,-4.644
2010/08/15,-55.855
2010/08/16,212.533
2010/08/17,183.317
2010/08/18,1602
2010/08/19,-426.226
2010/08/20,-79.693
2010/08/21,-1466
2010/08/22,-151.095
2010/08/23,-107.726
2010/08/24,296.704
2010/08/25,-57.098
2010/08/26,74.44
2010/08/27,-361.131
2010/08/28,192.006
2010/08/29,-148.856
2010/08/30,196.489
2010/08/31,369.399
2010/09/01,480.901
2010/09/02,-63.509
2010/09/03,-469.693
2010/09/04,-485.178
2010/09/05,-61.835
2010/09/06,-1.291
2010/09/07,58.367
2010/09/08,14.667
2010/09/09,208.846
2010/09/10,93.422
2010/09/11,-55.106
2010/09/12,-14.302
2010/09/13,215.633
2010/09/14,92.62
2010/09/15,67.245
2010/09/16,-225.261
2010/09/17,128.218
2010/09/18,-315.061
2010/09/19,-41.891
2010/09/20,-34.149
2010/09/21,1103
2010/09/22,734.097
2010/09/23,141.243
2010/09/24,-942.274
2010/09/25,-466.526
2010/09/26,-247.984
2010/09/27,344.475
2010/09/28,444.749
2010/09/29,1614
2010/09/30,-204.714
2010/10/01,-116.901
2010/10/02,-383.254
2010/10/03,185.5
2010/10/04,-192.503
2010/10/05,-815.779
2010/10/06,-227.787
2010/10/07,-244.089
2010/10/08,-136.662
2010/10/09,194.252
2010/10/10,-37.917
2010/10/11,-207.824
2010/10/12,-206.182
2010/10/13,239.109
2010/10/14,-87.77
2010/10/15,-166.996
2010/10/16,-300.724
2010/10/17,-81.315
2010/10/18,202.937
2010/10/19,595.555
2010/10/20,381.159
2010/10/21,237.22
2010/10/22,97.965
2010/10/23,33.878
2010/10/24,-183.732
2010/10/25,-605.51
2010/10/26,-266.711
2010/10/27,121.163
2010/10/28,71.183
2010/10/29,94.004
2010/10/30,-433.552
2010/10/31,-187.045
2010/11/01,-148.558
2010/11/02,-26.441
2010/11/03,-19.681
2010/11/04,-67.555
2010/11/05,256.298
2010/11/06,7.195
2010/11/07,14.479
2010/11/08,138.917
2010/11/09,17.879
2010/11/10,20.83
2010/11/11,-334.2
2010/11/12,-78.681
2010/11/13,-103.321
2010/11/14,50.609
2010/11/15,8319
2010/11/16,10508
2010/11/17,-55.965
2010/11/18,-7411
2010/11/19,3628
2010/11/20,18546
2010/11/21,15059
2010/11/22,-13953
2010/11/23,-18298
2010/11/24,-10934
2010/11/25,8890
2010/11/26,1160
2010/11/27,-4756
2010/11/28,-8803
2010/11/29,-1222
2010/11/30,-99.63
2010/12/01,154.24
2010/12/02,4.575
2010/12/03,39.945
2010/12/04,-289.929
2010/12/05,-207.433
2010/12/06,-182.628
2010/12/07,173.504
2010/12/08,134.312
2010/12/09,147.94
2010/12/10,-48.721
2010/12/11,339.416
2010/12/12,403.144
2010/12/13,1049
2010/12/14,71.634
2010/12/15,-135.201
2010/12/16,-868.298
2010/12/17,-48.298
2010/12/18,-47.137
2010/12/19,148.226
2010/12/20,702.569
2010/12/21,61.418
2010/12/22,194.462
2010/12/23,-570.159
2010/12/24,67.747
2010/12/25,-231.72
2010/12/26,27.441
2010/12/27,104.784
2010/12/28,117.821
2010/12/29,-165.511
2010/12/30,-52.852
2010/12/31,-162.817
2011/01/01,129.366
2011/01/02,-29.131
2011/01/03,1531
