Date,size3wma
2010/07/17,633.649
2010/07/18,687.663
2010/07/19,741.391
2010/07/20,871.914
2010/07/21,725.484
2010/07/22,590.897
2010/07/23,477.962
2010/07/24,953.812
2010/07/25,2129
2010/07/26,1748
2010/07/27,1170
2010/07/28,2051
2010/07/29,2413
2010/07/30,1617
2010/07/31,769.326
2010/08/01,395.13
2010/08/02,360.156
2010/08/03,549.251
2010/08/04,511.387
2010/08/05,683.452
2010/08/06,688.372
2010/08/07,646.513
2010/08/08,523.443
2010/08/09,984.309
2010/08/10,766.495
2010/08/11,586.726
2010/08/12,393.824
2010/08/13,573.75
2010/08/14,520.854
2010/08/15,424.603
2010/08/16,660.624
2010/08/17,674.048
2010/08/18,1322
2010/08/19,1012
2010/08/20,759.052
2010/08/21,491.264
2010/08/22,434.391
2010/08/23,410.477
2010/08/24,578.525
2010/08/25,486.789
2010/08/26,478.114
2010/08/27,413.256
2010/08/28,474.822
2010/08/29,407.5
2010/08/30,493.883
2010/08/31,700.208
2010/09/01,803.831
2010/09/02,683.995
2010/09/03,524.342
2010/09/04,394.093
2010/09/05,413.07
2010/09/06,422.222
2010/09/07,412.54
2010/09/08,439.643
2010/09/09,541.262
2010/09/10,531.311
2010/09/11,478.039
2010/09/12,531.312
2010/09/13,625.176
2010/09/14,593.843
2010/09/15,631.747
2010/09/16,550.397
2010/09/17,594.072
2010/09/18,479.413
2010/09/19,445.801
2010/09/20,510.524
2010/09/21,1012
2010/09/22,1175
2010/09/23,1010
2010/09/24,710.773
2010/09/25,650.966
2010/09/26,573.109
2010/09/27,722.595
2010/09/28,946.835
2010/09/29,1586
2010/09/30,1233
2010/10/01,1089
2010/10/02,1321
2010/10/03,1178
2010/10/04,990.929
2010/10/05,880.146
2010/10/06,760.127
2010/10/07,656.992
2010/10/08,692.487
2010/10/09,771.017
2010/10/10,680.007
2010/10/11,608.312
2010/10/12,592.332
2010/10/13,696.197
2010/10/14,609.766
2010/10/15,519.429
2010/10/16,475.541
2010/10/17,441.035
2010/10/18,543.671
2010/10/19,827.412
2010/10/20,863.955
2010/10/21,888.594
2010/10/22,1019
2010/10/23,953.086
2010/10/24,824.348
2010/10/25,660.642
2010/10/26,587.271
2010/10/27,695.107
2010/10/28,692.169
2010/10/29,678.195
2010/10/30,521.53
2010/10/31,469.796
2010/11/01,469.309
2010/11/02,427.616
2010/11/03,426.383
2010/11/04,424.564
2010/11/05,529.966
2010/11/06,504.154
2010/11/07,476.918
2010/11/08,605.45
2010/11/09,561.812
2010/11/10,516.445
2010/11/11,448.273
2010/11/12,414.543
2010/11/13,382.858
2010/11/14,426.024
2010/11/15,4574
2010/11/16,8418
2010/11/17,5287
2010/11/18,2601
2010/11/19,7752
2010/11/20,14534
2010/11/21,16917
2010/11/22,8886
2010/11/23,3244
2010/11/24,3025
2010/11/25,6637
2010/11/26,4965
2010/11/27,2516
2010/11/28,844.004
2010/11/29,627.63
2010/11/30,591.704
2010/12/01,684.293
2010/12/02,664.726
2010/12/03,638.908
2010/12/04,553.406
2010/12/05,471.024
2010/12/06,430.128
2010/12/07,544.71
2010/12/08,565.576
2010/12/09,577.786
2010/12/10,592.048
2010/12/11,743.701
2010/12/12,884.376
2010/12/13,1308
2010/12/14,1196
2010/12/15,1016
2010/12/16,840.36
2010/12/17,860.352
2010/12/18,831.149
2010/12/19,890.711
2010/12/20,1253
2010/12/21,1121
2010/12/22,1126
2010/12/23,1043
2010/12/24,996.983
2010/12/25,937.205
2010/12/26,990.938
2010/12/27,1020
2010/12/28,1036
2010/12/29,964.921
2010/12/30,957.942
2010/12/31,909.006
2011/01/01,966.523
2011/01/02,959.363
2011/01/03,1686
2011/01/04,1806
2011/01/05,2154
2011/01/06,1805
2011/01/07,1681
2011/01/08,1874
2011/01/09,2030
2011/01/10,2158
2011/01/11,2192
2011/01/12,2029
2011/01/13,1953
2011/01/14,1936
2011/01/15,1896
2011/01/16,1744
2011/01/17,1469
2011/01/18,1569
2011/01/19,1604
2011/01/20,1502
2011/01/21,1768
2011/01/22,2460
2011/01/23,2442
2011/01/24,2339
2011/01/25,1887
2011/01/26,1700
2011/01/27,1691
2011/01/28,1871
2011/01/29,2435
2011/01/30,4486
2011/01/31,4082
2011/02/01,3293
2011/02/02,2232
2011/02/03,1742
2011/02/04,1505
2011/02/05,1463
2011/02/06,1573
2011/02/07,1426
2011/02/08,1434
2011/02/09,1632
2011/02/10,2666
2011/02/11,3391
2011/02/12,3343
2011/02/13,2951
2011/02/14,3228
2011/02/15,3114
2011/02/16,2831
2011/02/17,2737
2011/02/18,2979
2011/02/19,3053
2011/02/20,2938
2011/02/21,2833
2011/02/22,2966
2011/02/23,2900
2011/02/24,3007
2011/02/25,2864
2011/02/26,2504
2011/02/27,2603
2011/02/28,3148
2011/03/01,5047
2011/03/02,4716
2011/03/03,4850
2011/03/04,3809
2011/03/05,3325
2011/03/06,2632
2011/03/07,2719
2011/03/08,3549
2011/03/09,3888
2011/03/10,4449
2011/03/11,4633
2011/03/12,5408
2011/03/13,6160
2011/03/14,7005
2011/03/15,7708
2011/03/16,7419
2011/03/17,6964
2011/03/18,6417
2011/03/19,7147
2011/03/20,8762
2011/03/21,10047
2011/03/22,8219
2011/03/23,8322
2011/03/24,6583
2011/03/25,5340
2011/03/26,6297
2011/03/27,6685
2011/03/28,6687
2011/03/29,5985
2011/03/30,4930
2011/03/31,4205
2011/04/01,3675
2011/04/02,3518
2011/04/03,3454
2011/04/04,4006
2011/04/05,4015
2011/04/06,4253
2011/04/07,4126
2011/04/08,4110
2011/04/09,3994
2011/04/10,3884
2011/04/11,4257
2011/04/12,4958
2011/04/13,5003
2011/04/14,5623
2011/04/15,6380
2011/04/16,6420
2011/04/17,5463
2011/04/18,6193
2011/04/19,7280
2011/04/20,8453
2011/04/21,6658
2011/04/22,5202
2011/04/23,4918
2011/04/24,5388
2011/04/25,5769
2011/04/26,6145
2011/04/27,8419
2011/04/28,8326
2011/04/29,7583
2011/04/30,8224
2011/05/01,8939
2011/05/02,7548
2011/05/03,6476
2011/05/04,5910
2011/05/05,6257
2011/05/06,6207
2011/05/07,6275
2011/05/08,5762
2011/05/09,5861
2011/05/10,6864
2011/05/11,7172
2011/05/12,7839
2011/05/13,8622
2011/05/14,8304
2011/05/15,7929
