Date,size7roc
2010/07/17,149.736
2010/07/18,81.033
2010/07/19,-9.069
2010/07/20,124.116
2010/07/21,-80.388
2010/07/22,-37.836
2010/07/23,-15.76
2010/07/24,122.511
2010/07/25,310.913
2010/07/26,21.472
2010/07/27,-31.018
2010/07/28,516.362
2010/07/29,381.864
2010/07/30,20.375
2010/07/31,-73.041
2010/08/01,-88.837
2010/08/02,-61.194
2010/08/03,9.514
2010/08/04,-87.796
2010/08/05,-64.27
2010/08/06,25.61
2010/08/07,43.692
2010/08/08,27.679
2010/08/09,316.165
2010/08/10,-46.926
2010/08/11,1.914
2010/08/12,-55.272
2010/08/13,11.865
2010/08/14,-26.566
2010/08/15,-27.944
2010/08/16,-34.675
2010/08/17,50.583
2010/08/18,362.783
2010/08/19,43.253
2010/08/20,-31.931
2010/08/21,11.481
2010/08/22,21.243
2010/08/23,-57.981
2010/08/24,27.013
2010/08/25,-82.621
2010/08/26,-11.26
2010/08/27,-23.472
2010/08/28,14.843
2010/08/29,-15.034
2010/08/30,45.043
2010/08/31,18.638
2010/09/01,143.257
2010/09/02,9.433
2010/09/03,8.167
2010/09/04,-37.619
2010/09/05,39.811
2010/09/06,-28.045
2010/09/07,-56.826
2010/09/08,-41.026
2010/09/09,20.257
2010/09/10,12.679
2010/09/11,29.318
2010/09/12,33.169
2010/09/13,63.773
2010/09/14,33.75
2010/09/15,43.114
2010/09/16,-25.745
2010/09/17,34.43
2010/09/18,-12.501
2010/09/19,-30.793
2010/09/20,-12.136
2010/09/21,185.021
2010/09/22,69.337
2010/09/23,59.939
2010/09/24,-17.558
2010/09/25,87.363
2010/09/26,17.72
2010/09/27,43.39
2010/09/28,-22.616
2010/09/29,82.244
2010/09/30,-10.719
2010/10/01,92.429
2010/10/02,149.312
2010/10/03,69.912
2010/10/04,-5.141
2010/10/05,-19.363
2010/10/06,-70.286
2010/10/07,-12.567
2010/10/08,-23.503
2010/10/09,-52.535
2010/10/10,-35.904
2010/10/11,-30.786
2010/10/12,-32.859
2010/10/13,25.256
2010/10/14,-16.969
2010/10/15,-42.464
2010/10/16,-40.774
2010/10/17,-26.037
2010/10/18,13.568
2010/10/19,75.403
2010/10/20,-0.133
2010/10/21,82.632
2010/10/22,162.121
2010/10/23,68.354
2010/10/24,73.966
2010/10/25,-11.885
2010/10/26,-48.795
2010/10/27,5.164
2010/10/28,-27.358
2010/10/29,-45.084
2010/10/30,-51.946
2010/10/31,-34.934
2010/11/01,-13.146
2010/11/02,-33.611
2010/11/03,-46.827
2010/11/04,-33.137
2010/11/05,-3.728
2010/11/06,13.39
2010/11/07,-2.811
2010/11/08,52.628
2010/11/09,26.383
2010/11/10,6.261
2010/11/11,-0.777
2010/11/12,-38.07
2010/11/13,-18.528
2010/11/14,7.328
2010/11/15,1040
2010/11/16,2236
2010/11/17,-9.406
2010/11/18,201.468
2010/11/19,3648
2010/11/20,5102
2010/11/21,3307
2010/11/22,-93.719
2010/11/23,-93.815
2010/11/24,1178
2010/11/25,629.059
2010/11/26,-87.361
2010/11/27,-96.498
2010/11/28,-96.122
2010/11/29,11.741
2010/11/30,-16.034
2010/12/01,-85.452
2010/12/02,-93.477
2010/12/03,-67.011
2010/12/04,-24.95
2010/12/05,-35.648
2010/12/06,-30.938
2010/12/07,19.02
2010/12/08,-31.202
2010/12/09,-7.418
2010/12/10,3.098
2010/12/11,76.888
2010/12/12,138.409
2010/12/13,296.376
2010/12/14,41.88
2010/12/15,54.456
2010/12/16,41.128
2010/12/17,45.221
2010/12/18,-10.336
2010/12/19,-2.109
2010/12/20,-3.876
2010/12/21,-10.631
2010/12/22,36.897
2010/12/23,29.007
2010/12/24,1.621
2010/12/25,15.753
2010/12/26,11.813
2010/12/27,-36.268
2010/12/28,21.236
2010/12/29,-21.574
2010/12/30,-6.342
2010/12/31,-5.392
2011/01/01,12.416
2011/01/02,-11.49
2011/01/03,134.358
2011/01/04,64.288
2011/01/05,164.189
2011/01/06,50.318
2011/01/07,83.357
2011/01/08,113.601
2011/01/09,118.866
2011/01/10,-8.081
2011/01/11,31.09
2011/01/12,-22.606
2011/01/13,32.715
2011/01/14,23.216
2011/01/15,-16.471
2011/01/16,-22.019
2011/01/17,-43.169
2011/01/18,-20.629
2011/01/19,-12.284
2011/01/20,-30.847
2011/01/21,7.063
2011/01/22,67.208
2011/01/23,32.702
2011/01/24,77.867
2011/01/25,-10.854
2011/01/26,-0.46
2011/01/27,33.249
2011/01/28,-4.288
2011/01/29,-4.504
2011/01/30,197.276
2011/01/31,32.465
2011/02/01,58.789
2011/02/02,12.874
2011/02/03,-19.273
2011/02/04,-28.316
2011/02/05,-49.397
2011/02/06,-73.611
2011/02/07,-58.035
2011/02/08,-40.654
2011/02/09,2.679
2011/02/10,149.459
2011/02/11,160.525
2011/02/12,100.736
2011/02/13,59.002
2011/02/14,197.38
2011/02/15,94.245
2011/02/16,34.891
2011/02/17,-21.073
2011/02/18,-14.226
2011/02/19,1.041
2011/02/20,4.947
2011/02/21,-24.081
2011/02/22,8.717
2011/02/23,10.663
2011/02/24,9.824
2011/02/25,-15.62
2011/02/26,-28.428
2011/02/27,2.419
2011/02/28,31.079
2011/03/01,113.663
2011/03/02,34.829
2011/03/03,59.403
2011/03/04,12.201
2011/03/05,37.275
2011/03/06,-20.539
2011/03/07,-20.025
2011/03/08,-34.522
2011/03/09,3.457
2011/03/10,-2.379
2011/03/11,55.068
2011/03/12,104.288
2011/03/13,195.219
2011/03/14,156.178
2011/03/15,86.262
2011/03/16,77.776
2011/03/17,36.301
2011/03/18,29.331
2011/03/19,32.548
2011/03/20,51.08
2011/03/21,41.794
2011/03/22,-27.149
2011/03/23,32.438
2011/03/24,-22.896
2011/03/25,-30.831
2011/03/26,0.8
2011/03/27,-35.149
2011/03/28,-40.936
2011/03/29,-6.217
2011/03/30,-55.697
2011/03/31,-24.387
2011/04/01,-19.045
2011/04/02,-57.067
2011/04/03,-47.471
2011/04/04,-27.692
2011/04/05,-31.122
2011/04/06,9.491
2011/04/07,4.271
2011/04/08,18.445
2011/04/09,13.717
2011/04/10,9.563
2011/04/11,2.691
2011/04/12,44.13
2011/04/13,7.44
2011/04/14,54.924
2011/04/15,72.755
2011/04/16,54.431
2011/04/17,19.63
2011/04/18,56.907
2011/04/19,47.333
2011/04/20,89.701
2011/04/21,-26.424
2011/04/22,-38.156
2011/04/23,-11.012
2011/04/24,26.281
2011/04/25,-19.327
2011/04/26,-21.097
2011/04/27,17.213
2011/04/28,62.704
2011/04/29,53.616
2011/04/30,75.775
2011/05/01,62.772
2011/05/02,-3.408
2011/05/03,-6.208
2011/05/04,-44.305
2011/05/05,-11.817
2011/05/06,-9.042
2011/05/07,-33.652
2011/05/08,-43.146
2011/05/09,6.468
2011/05/10,30.95
2011/05/11,19.62
2011/05/12,26.917
2011/05/13,53.798
2011/05/14,20.474
2011/05/15,45.026
2011/05/16,30.447
2011/05/17,-7.254
2011/05/18,15.102
