Date,size90sma
2010/07/17,365.135
2010/07/18,370.262
2010/07/19,375.604
2010/07/20,384.032
2010/07/21,387.846
2010/07/22,390.793
2010/07/23,392.7
2010/07/24,405.531
2010/07/25,437.807
2010/07/26,445.549
2010/07/27,450.351
2010/07/28,485.288
2010/07/29,509.477
2010/07/30,513.351
2010/07/31,515.711
2010/08/01,517.008
2010/08/02,517.131
2010/08/03,521.905
2010/08/04,522.373
2010/08/05,529.191
2010/08/06,532.77
2010/08/07,536.065
2010/08/08,537.815
2010/08/09,552.188
2010/08/10,553.403
2010/08/11,555.101
2010/08/12,542.939
2010/08/13,527.623
2010/08/14,530.049
2010/08/15,530.674
2010/08/16,538.583
2010/08/17,542.309
2010/08/18,561.542
2010/08/19,564.317
2010/08/20,566.167
2010/08/21,568.024
2010/08/22,569.813
2010/08/23,571.93
2010/08/24,577.475
2010/08/25,578.064
2010/08/26,581.023
2010/08/27,582.425
2010/08/28,585.723
2010/08/29,586.744
2010/08/30,590.409
2010/08/31,597.926
2010/09/01,602.857
2010/09/02,606.21
2010/09/03,608.358
2010/09/04,609.156
2010/09/05,610.079
2010/09/06,611.909
2010/09/07,613.028
2010/09/08,615.808
2010/09/09,619.65
2010/09/10,621.768
2010/09/11,623.474
2010/09/12,626.218
2010/09/13,630.865
2010/09/14,632.972
2010/09/15,637.929
2010/09/16,640.351
2010/09/17,643.08
2010/09/18,644.806
2010/09/19,646.088
2010/09/20,649.464
2010/09/21,662.836
2010/09/22,672.628
2010/09/23,678.388
2010/09/24,682.02
2010/09/25,687.184
2010/09/26,689.806
2010/09/27,695.551
2010/09/28,695.716
2010/09/29,716.196
2010/09/30,717.011
2010/10/01,725.492
2010/10/02,740.414
2010/10/03,746.808
2010/10/04,753.65
2010/10/05,760.087
2010/10/06,764.144
2010/10/07,768.124
2010/10/08,773.938
2010/10/09,778.395
2010/10/10,775.264
2010/10/11,776.777
2010/10/12,752.907
2010/10/13,752.878
2010/10/14,752.401
2010/10/15,750.191
2010/10/16,747.109
2010/10/17,743.226
2010/10/18,739.548
2010/10/19,745.559
2010/10/20,748.845
2010/10/21,753.776
2010/10/22,750.842
2010/10/23,725.03
2010/10/24,722.683
2010/10/25,721.535
2010/10/26,690.548
2010/10/27,673.415
2010/10/28,674.625
2010/10/29,677.504
2010/10/30,677.99
2010/10/31,679.143
2010/11/01,676.436
2010/11/02,675.995
2010/11/03,671.479
2010/11/04,668.774
2010/11/05,669.493
2010/11/06,669.487
2010/11/07,657.976
2010/11/08,662.073
2010/11/09,662.625
2010/11/10,663.616
2010/11/11,659.983
2010/11/12,659.712
2010/11/13,660.176
2010/11/14,654.744
2010/11/15,744.867
2010/11/16,844.291
2010/11/17,842.972
2010/11/18,851.634
2010/11/19,1008
2010/11/20,1214
2010/11/21,1391
2010/11/22,1389
2010/11/23,1393
2010/11/24,1448
2010/11/25,1548
2010/11/26,1563
2010/11/27,1566
2010/11/28,1567
2010/11/29,1564
2010/11/30,1561
2010/12/01,1564
2010/12/02,1566
2010/12/03,1569
2010/12/04,1569
2010/12/05,1569
2010/12/06,1569
2010/12/07,1572
2010/12/08,1571
2010/12/09,1572
2010/12/10,1574
2010/12/11,1577
