Date,size90var
2010/07/17,136071
2010/07/18,137783
2010/07/19,139307
2010/07/20,143110
2010/07/21,142995
2010/07/22,142819
2010/07/23,142703
2010/07/24,154739
2010/07/25,236757
2010/07/26,238744
2010/07/27,238890
2010/07/28,329983
2010/07/29,367932
2010/07/30,366789
2010/07/31,365698
2010/08/01,365118
2010/08/02,365077
2010/08/03,365168
2010/08/04,365042
2010/08/05,365237
2010/08/06,365123
2010/08/07,364315
2010/08/08,363728
2010/08/09,372105
2010/08/10,371587
2010/08/11,370858
2010/08/12,361685
2010/08/13,333802
2010/08/14,332702
2010/08/15,332407
2010/08/16,333646
2010/08/17,332800
2010/08/18,352306
2010/08/19,351500
2010/08/20,351006
2010/08/21,350292
2010/08/22,349369
2010/08/23,348272
2010/08/24,347506
2010/08/25,347188
2010/08/26,345820
2010/08/27,345117
2010/08/28,343758
2010/08/29,343146
2010/08/30,341951
2010/08/31,341401
2010/09/01,341316
2010/09/02,339784
2010/09/03,338591
2010/09/04,338086
2010/09/05,337743
2010/09/06,336760
2010/09/07,336142
2010/09/08,334698
2010/09/09,333493
2010/09/10,332494
2010/09/11,331557
2010/09/12,330849
2010/09/13,329531
2010/09/14,328649
2010/09/15,326945
2010/09/16,325600
2010/09/17,324951
2010/09/18,323743
2010/09/19,323039
2010/09/20,321768
2010/09/21,327560
2010/09/22,328625
2010/09/23,326528
2010/09/24,324266
2010/09/25,321986
2010/09/26,320403
2010/09/27,319547
2010/09/28,319691
2010/09/29,339825
2010/09/30,339692
2010/10/01,338355
2010/10/02,348246
2010/10/03,346022
2010/10/04,342922
2010/10/05,341294
2010/10/06,338738
2010/10/07,335892
2010/10/08,332993
2010/10/09,331631
2010/10/10,332171
2010/10/11,331358
2010/10/12,287101
2010/10/13,287099
2010/10/14,287332
2010/10/15,288221
2010/10/16,288973
2010/10/17,290246
2010/10/18,289673
2010/10/19,290520
2010/10/20,289814
2010/10/21,289003
2010/10/22,285710
2010/10/23,221429
2010/10/24,221011
2010/10/25,221228
2010/10/26,144182
2010/10/27,112748
2010/10/28,112551
2010/10/29,111649
2010/10/30,111352
2010/10/31,110729
2010/11/01,111031
2010/11/02,111285
2010/11/03,111556
2010/11/04,112182
2010/11/05,112072
2010/11/06,112074
2010/11/07,105135
2010/11/08,104472
2010/11/09,104228
2010/11/10,103752
2010/11/11,104253
2010/11/12,104395
2010/11/13,104101
2010/11/14,103374
2010/11/15,815399
2010/11/16,1929731
2010/11/17,1930681
2010/11/18,1931674
2010/11/19,3975415
2010/11/20,7513649
2010/11/21,10021774
2010/11/22,10025196
2010/11/23,10018530
2010/11/24,10186496
2010/11/25,10873253
2010/11/26,10862347
2010/11/27,10854492
2010/11/28,10853564
2010/11/29,10858703
2010/11/30,10863532
2010/12/01,10858276
2010/12/02,10853882
2010/12/03,10847126
2010/12/04,10846318
2010/12/05,10846747
2010/12/06,10845836
2010/12/07,10841587
2010/12/08,10843581
2010/12/09,10841495
2010/12/10,10836866
2010/12/11,10832057
2010/12/12,10827475
2010/12/13,10814863
2010/12/14,10810274
2010/12/15,10802574
2010/12/16,10799484
2010/12/17,10788030
2010/12/18,10779987
2010/12/19,10773685
2010/12/20,10773463
2010/12/21,10777657
2010/12/22,10771824
2010/12/23,10762440
2010/12/24,10758383
2010/12/25,10750006
2010/12/26,10747241
2010/12/27,10748660
2010/12/28,10749841
2010/12/29,10745620
2010/12/30,10746344
2010/12/31,10752366
2011/01/01,10749816
2011/01/02,10748023
2011/01/03,10749275
2011/01/04,10738045
2011/01/05,10731259
2011/01/06,10723065
2011/01/07,10715096
2011/01/08,10703587
2011/01/09,10690829
2011/01/10,10679882
2011/01/11,10672464
2011/01/12,10654710
2011/01/13,10635671
2011/01/14,10617279
2011/01/15,10595618
2011/01/16,10581076
2011/01/17,10578593
2011/01/18,10566588
2011/01/19,10557175
2011/01/20,10555115
2011/01/21,10544046
2011/01/22,10544924
2011/01/23,10526289
2011/01/24,10506978
2011/01/25,10494984
2011/01/26,10477774
2011/01/27,10459361
2011/01/28,10432127
2011/01/29,10416295
2011/01/30,10597339
2011/01/31,10573472
2011/02/01,10544514
2011/02/02,10513870
2011/02/03,10493871
2011/02/04,10467331
2011/02/05,10439923
2011/02/06,10420741
2011/02/07,10397964
2011/02/08,10370660
2011/02/09,10337122
2011/02/10,10320504
2011/02/11,10305544
2011/02/12,10274141
2011/02/13,9816320
2011/02/14,9005449
2011/02/15,8976923
2011/02/16,8969003
2011/02/17,7276316
2011/02/18,4088017
2011/02/19,1757827
2011/02/20,1753270
2011/02/21,1750906
2011/02/22,1624312
2011/02/23,977444
2011/02/24,999432
2011/02/25,998028
2011/02/26,986193
2011/02/27,984762
2011/02/28,1007021
2011/03/01,1255827
2011/03/02,1275683
2011/03/03,1358223
2011/03/04,1346950
2011/03/05,1328733
2011/03/06,1300738
2011/03/07,1288296
2011/03/08,1320527
2011/03/09,1327722
2011/03/10,1381418
2011/03/11,1432712
2011/03/12,1572844
2011/03/13,1783105
2011/03/14,2053802
2011/03/15,2386215
2011/03/16,2563850
2011/03/17,2711101
2011/03/18,2805875
2011/03/19,3079990
2011/03/20,3660611
2011/03/21,4279769
2011/03/22,4338262
2011/03/23,4699598
2011/03/24,4687635
2011/03/25,4643079
2011/03/26,4849906
2011/03/27,4910935
2011/03/28,4945805
2011/03/29,4926658
2011/03/30,4861241
2011/03/31,4785847
2011/04/01,4716483
2011/04/02,4640653
2011/04/03,4625468
2011/04/04,4595458
2011/04/05,4578748
2011/04/06,4532389
2011/04/07,4485577
2011/04/08,4461947
2011/04/09,4431916
2011/04/10,4405813
2011/04/11,4388793
2011/04/12,4379829
2011/04/13,4349381
2011/04/14,4370681
2011/04/15,4428675
2011/04/16,4415458
2011/04/17,4333215
2011/04/18,4392733
2011/04/19,4501402
2011/04/20,4665818
2011/04/21,4614613
2011/04/22,4597958
2011/04/23,4558189
2011/04/24,4528570
2011/04/25,4465394
2011/04/26,4419148
2011/04/27,4741795
2011/04/28,4757394
2011/04/29,4769278
2011/04/30,4997023
2011/05/01,5192465
2011/05/02,5142868
2011/05/03,5056616
2011/05/04,4935434
2011/05/05,4828804
2011/05/06,4704147
2011/05/07,4595272
2011/05/08,4430291
2011/05/09,4291033
2011/05/10,4247737
2011/05/11,4252520
2011/05/12,4329008
2011/05/13,4440641
2011/05/14,4408533
2011/05/15,4426822
2011/05/16,4413876
2011/05/17,4343156
2011/05/18,4323990
2011/05/19,4625611
2011/05/20,4682574
2011/05/21,4682152
2011/05/22,4625224
2011/05/23,4584559
2011/05/24,4493248
2011/05/25,4457678
2011/05/26,4453970
2011/05/27,4543128
2011/05/28,4852594
2011/05/29,4960236
2011/05/30,5625444
2011/05/31,6740679
2011/06/01,7367445
2011/06/02,8131347
2011/06/03,9796218
2011/06/04,10511875
2011/06/05,11057982
2011/06/06,12215953
2011/06/07,14022092
2011/06/08,19612049
2011/06/09,22069479
2011/06/10,23794649
2011/06/11,24639523
2011/06/12,26791742
2011/06/13,28611115
2011/06/14,30599812
