Date,top100cap
2010/07/17,25.749
2010/07/18,25.782
2010/07/19,25.685
2010/07/20,25.602
2010/07/21,25.638
2010/07/22,25.604
2010/07/23,25.509
2010/07/24,25.527
2010/07/25,25.505
2010/07/26,26.309
2010/07/27,26.363
2010/07/28,26.354
2010/07/29,26.369
2010/07/30,26.363
2010/07/31,26.3
2010/08/01,26.301
2010/08/02,26.233
2010/08/03,26.279
2010/08/04,26.179
2010/08/05,26.228
2010/08/06,26.194
2010/08/07,26.171
2010/08/08,26.149
2010/08/09,26.326
2010/08/10,26.26
2010/08/11,26.444
2010/08/12,26.314
2010/08/13,26.404
2010/08/14,26.337
2010/08/15,26.3
2010/08/16,26.438
2010/08/17,26.571
2010/08/18,26.535
2010/08/19,26.516
2010/08/20,26.561
2010/08/21,26.525
2010/08/22,26.541
2010/08/23,26.523
2010/08/24,26.564
2010/08/25,26.484
2010/08/26,26.483
2010/08/27,26.54
2010/08/28,26.457
2010/08/29,26.369
2010/08/30,26.312
2010/08/31,26.4
2010/09/01,26.366
2010/09/02,26.355
2010/09/03,26.344
2010/09/04,26.361
2010/09/05,26.434
2010/09/06,26.402
2010/09/07,26.365
2010/09/08,26.296
2010/09/09,26.265
2010/09/10,26.25
2010/09/11,26.207
2010/09/12,26.27
2010/09/13,26.115
2010/09/14,26.035
2010/09/15,25.982
2010/09/16,26.084
2010/09/17,26.667
2010/09/18,26.714
2010/09/19,26.852
2010/09/20,26.904
2010/09/21,26.87
2010/09/22,26.8
2010/09/23,27.009
2010/09/24,27.064
2010/09/25,27.186
2010/09/26,27.264
2010/09/27,27.629
2010/09/28,28.762
2010/09/29,28.753
2010/09/30,28.677
2010/10/01,28.642
2010/10/02,29.188
2010/10/03,29.187
2010/10/04,28.906
2010/10/05,28.974
2010/10/06,28.912
2010/10/07,29.44
2010/10/08,29.631
2010/10/09,29.871
2010/10/10,30.084
2010/10/11,29.981
2010/10/12,29.971
2010/10/13,30.109
2010/10/14,30.282
2010/10/15,30.194
