Date,top100cap30ema
2010/07/17,25.514
2010/07/18,25.531
2010/07/19,25.541
2010/07/20,25.545
2010/07/21,25.551
2010/07/22,25.554
2010/07/23,25.551
2010/07/24,25.55
2010/07/25,25.547
2010/07/26,25.596
2010/07/27,25.645
2010/07/28,25.691
2010/07/29,25.735
2010/07/30,25.775
2010/07/31,25.809
2010/08/01,25.841
2010/08/02,25.866
2010/08/03,25.893
2010/08/04,25.911
2010/08/05,25.932
2010/08/06,25.949
2010/08/07,25.963
2010/08/08,25.975
2010/08/09,25.998
2010/08/10,26.015
2010/08/11,26.042
2010/08/12,26.06
2010/08/13,26.082
2010/08/14,26.099
2010/08/15,26.112
2010/08/16,26.133
2010/08/17,26.161
2010/08/18,26.185
2010/08/19,26.206
2010/08/20,26.229
2010/08/21,26.248
2010/08/22,26.267
2010/08/23,26.284
2010/08/24,26.302
2010/08/25,26.314
2010/08/26,26.325
2010/08/27,26.338
2010/08/28,26.346
2010/08/29,26.347
2010/08/30,26.345
2010/08/31,26.349
2010/09/01,26.35
2010/09/02,26.35
2010/09/03,26.35
2010/09/04,26.351
2010/09/05,26.356
2010/09/06,26.359
2010/09/07,26.359
2010/09/08,26.355
2010/09/09,26.349
2010/09/10,26.343
2010/09/11,26.334
2010/09/12,26.33
2010/09/13,26.316
2010/09/14,26.298
2010/09/15,26.278
2010/09/16,26.265
2010/09/17,26.291
2010/09/18,26.318
2010/09/19,26.353
2010/09/20,26.388
2010/09/21,26.419
2010/09/22,26.444
2010/09/23,26.48
2010/09/24,26.518
2010/09/25,26.561
2010/09/26,26.607
2010/09/27,26.673
2010/09/28,26.807
2010/09/29,26.933
2010/09/30,27.045
2010/10/01,27.148
2010/10/02,27.28
2010/10/03,27.403
2010/10/04,27.5
2010/10/05,27.595
2010/10/06,27.68
2010/10/07,27.794
2010/10/08,27.912
2010/10/09,28.039
2010/10/10,28.171
2010/10/11,28.287
2010/10/12,28.396
2010/10/13,28.507
2010/10/14,28.621
2010/10/15,28.723
2010/10/16,28.829
2010/10/17,28.93
2010/10/18,29.037
2010/10/19,29.123
2010/10/20,29.208
2010/10/21,29.286
2010/10/22,29.36
2010/10/23,29.43
2010/10/24,29.495
2010/10/25,29.555
2010/10/26,29.622
2010/10/27,29.69
2010/10/28,29.75
2010/10/29,29.798
2010/10/30,29.84
2010/10/31,29.884
2010/11/01,29.926
2010/11/02,29.966
2010/11/03,30
2010/11/04,30.031
2010/11/05,30.064
2010/11/06,30.099
2010/11/07,30.126
2010/11/08,30.196
2010/11/09,30.257
2010/11/10,30.304
2010/11/11,30.343
2010/11/12,30.379
2010/11/13,30.404
2010/11/14,30.433
2010/11/15,30.456
2010/11/16,30.476
2010/11/17,30.499
2010/11/18,30.517
2010/11/19,30.531
2010/11/20,30.552
2010/11/21,30.57
2010/11/22,30.587
2010/11/23,30.607
2010/11/24,30.634
2010/11/25,30.662
2010/11/26,30.69
2010/11/27,30.713
2010/11/28,30.735
2010/11/29,30.752
2010/11/30,30.777
2010/12/01,30.812
2010/12/02,30.862
2010/12/03,30.923
2010/12/04,30.984
2010/12/05,31.043
2010/12/06,31.083
2010/12/07,31.116
2010/12/08,31.148
2010/12/09,31.172
2010/12/10,31.198
2010/12/11,31.223
2010/12/12,31.243
2010/12/13,31.28
2010/12/14,31.312
2010/12/15,31.337
2010/12/16,31.357
2010/12/17,31.375
2010/12/18,31.389
2010/12/19,31.392
2010/12/20,31.397
2010/12/21,31.385
2010/12/22,31.378
2010/12/23,31.368
2010/12/24,31.357
2010/12/25,31.348
2010/12/26,31.336
2010/12/27,31.334
2010/12/28,31.328
2010/12/29,31.308
2010/12/30,31.285
2010/12/31,31.255
2011/01/01,31.224
2011/01/02,31.191
2011/01/03,31.161
2011/01/04,31.131
2011/01/05,31.106
2011/01/06,31.078
2011/01/07,31.049
2011/01/08,31.021
2011/01/09,30.997
2011/01/10,30.965
2011/01/11,30.942
2011/01/12,30.917
2011/01/13,30.899
2011/01/14,30.884
2011/01/15,30.866
2011/01/16,30.856
2011/01/17,30.848
2011/01/18,30.836
2011/01/19,30.817
2011/01/20,30.8
2011/01/21,30.784
2011/01/22,30.768
2011/01/23,30.766
2011/01/24,30.761
2011/01/25,30.754
2011/01/26,30.738
2011/01/27,30.907
2011/01/28,31.063
2011/01/29,31.207
2011/01/30,31.339
2011/01/31,31.457
2011/02/01,31.575
2011/02/02,31.676
2011/02/03,31.773
2011/02/04,31.86
2011/02/05,31.943
2011/02/06,32.012
2011/02/07,32.088
2011/02/08,32.151
2011/02/09,32.216
2011/02/10,32.273
2011/02/11,32.321
2011/02/12,32.362
2011/02/13,32.398
2011/02/14,32.427
2011/02/15,32.455
