Date,top100cap30roc
2010/07/17,3.818
2010/07/18,3.505
2010/07/19,1.171
2010/07/20,0.817
2010/07/21,0.96
2010/07/22,0.605
2010/07/23,0.291
2010/07/24,0.117
2010/07/25,0.21
2010/07/26,3.626
2010/07/27,3.962
2010/07/28,3.991
2010/07/29,3.397
2010/07/30,2.76
2010/07/31,2.381
2010/08/01,2.067
2010/08/02,1.534
2010/08/03,0.656
2010/08/04,0.014
2010/08/05,0.36
2010/08/06,-0.162
2010/08/07,-0.095
2010/08/08,-0.117
2010/08/09,0.264
2010/08/10,0.005
2010/08/11,2.225
2010/08/12,2.799
2010/08/13,3.646
2010/08/14,2.829
2010/08/15,2.537
2010/08/16,2.676
2010/08/17,3.06
2010/08/18,3.31
2010/08/19,3.571
2010/08/20,3.601
2010/08/21,3.597
2010/08/22,4.046
2010/08/23,3.905
2010/08/24,4.151
2010/08/25,0.666
2010/08/26,0.454
2010/08/27,0.705
2010/08/28,0.332
2010/08/29,0.02
2010/08/30,0.047
2010/08/31,0.379
2010/09/01,0.508
2010/09/02,0.286
2010/09/03,0.631
2010/09/04,0.506
2010/09/05,0.915
2010/09/06,0.882
2010/09/07,0.827
2010/09/08,-0.117
2010/09/09,0.019
2010/09/10,-0.735
2010/09/11,-0.407
2010/09/12,-0.504
2010/09/13,-0.845
2010/09/14,-1.01
2010/09/15,-1.723
2010/09/16,-1.831
2010/09/17,0.498
2010/09/18,0.746
2010/09/19,1.095
2010/09/20,1.429
2010/09/21,1.24
2010/09/22,1.044
2010/09/23,1.674
2010/09/24,2.192
2010/09/25,2.656
2010/09/26,2.73
2010/09/27,4.431
2010/09/28,9.078
2010/09/29,9.276
2010/09/30,8.624
2010/10/01,8.63
2010/10/02,10.75
2010/10/03,10.794
2010/10/04,9.655
2010/10/05,9.612
2010/10/06,9.509
2010/10/07,11.66
2010/10/08,12.685
2010/10/09,13.728
2010/10/10,14.606
2010/10/11,14.402
2010/10/12,14.088
2010/10/13,15.294
2010/10/14,16.313
2010/10/15,16.211
2010/10/16,16.441
2010/10/17,14.001
2010/10/18,14.462
2010/10/19,13.13
2010/10/20,13.12
2010/10/21,13.191
2010/10/22,13.588
2010/10/23,12.738
2010/10/24,12.426
2010/10/25,11.937
2010/10/26,12.183
2010/10/27,11.052
2010/10/28,6.432
2010/10/29,6.052
2010/10/30,6.184
2010/10/31,6.603
2010/11/01,4.578
2010/11/02,4.681
