Date,top100cap30rsi
2010/07/17,70.87
2010/07/18,71.191
2010/07/19,68.863
2010/07/20,66.923
2010/07/21,67.334
2010/07/22,66.526
2010/07/23,64.286
2010/07/24,64.516
2010/07/25,64.003
2010/07/26,72.539
2010/07/27,72.989
2010/07/28,72.786
2010/07/29,72.915
2010/07/30,72.778
2010/07/31,71.241
2010/08/01,71.249
2010/08/02,69.565
2010/08/03,70.065
2010/08/04,67.572
2010/08/05,68.149
2010/08/06,67.284
2010/08/07,66.711
2010/08/08,66.144
2010/08/09,68.384
2010/08/10,66.687
2010/08/11,68.909
2010/08/12,65.69
2010/08/13,66.796
2010/08/14,65.197
2010/08/15,64.304
2010/08/16,66.086
2010/08/17,67.698
2010/08/18,66.82
2010/08/19,66.345
2010/08/20,66.92
2010/08/21,65.982
2010/08/22,66.202
2010/08/23,65.717
2010/08/24,66.302
2010/08/25,64.078
2010/08/26,64.055
2010/08/27,64.947
2010/08/28,62.596
2010/08/29,60.215
2010/08/30,58.736
2010/08/31,60.314
2010/09/01,59.405
2010/09/02,59.088
2010/09/03,58.794
2010/09/04,59.131
2010/09/05,60.552
2010/09/06,59.616
2010/09/07,58.537
2010/09/08,56.512
2010/09/09,55.649
2010/09/10,55.194
2010/09/11,53.953
2010/09/12,55.491
2010/09/13,51.176
2010/09/14,49.137
2010/09/15,47.849
2010/09/16,50.458
2010/09/17,61.79
2010/09/18,62.503
2010/09/19,64.514
2010/09/20,65.248
2010/09/21,64.359
2010/09/22,62.529
2010/09/23,65.544
2010/09/24,66.29
2010/09/25,67.869
2010/09/26,68.837
2010/09/27,72.794
2010/09/28,80.684
2010/09/29,80.491
2010/09/30,78.858
2010/10/01,78.086
2010/10/02,81.024
2010/10/03,81.021
2010/10/04,75.446
2010/10/05,75.862
2010/10/06,74.669
2010/10/07,77.745
2010/10/08,78.717
2010/10/09,79.855
2010/10/10,80.797
2010/10/11,78.956
2010/10/12,78.78
2010/10/13,79.452
2010/10/14,80.263
2010/10/15,78.636
2010/10/16,79.512
2010/10/17,79.648
2010/10/18,80.49
2010/10/19,76.765
2010/10/20,77.076
2010/10/21,76.714
2010/10/22,76.87
2010/10/23,76.916
2010/10/24,76.47
2010/10/25,76.497
2010/10/26,77.482
2010/10/27,78.074
2010/10/28,76.555
2010/10/29,74.036
2010/10/30,73.141
2010/10/31,73.773
2010/11/01,73.572
2010/11/02,73.813
2010/11/03,72.368
2010/11/04,72.267
2010/11/05,72.694
2010/11/06,73.348
2010/11/07,71.226
2010/11/08,76.66
2010/11/09,75.485
2010/11/10,72.013
2010/11/11,70.6
2010/11/12,70.083
2010/11/13,67.59
2010/11/14,68.425
2010/11/15,67.34
2010/11/16,66.534
2010/11/17,67.305
2010/11/18,65.935
2010/11/19,65.198
2010/11/20,66.537
2010/11/21,66.138
2010/11/22,65.852
2010/11/23,66.742
2010/11/24,67.988
2010/11/25,68.669
2010/11/26,68.735
2010/11/27,67.956
2010/11/28,67.812
2010/11/29,66.653
2010/11/30,68.356
2010/12/01,70.464
2010/12/02,72.927
2010/12/03,74.995
2010/12/04,75.42
2010/12/05,75.661
2010/12/06,70.074
2010/12/07,68.594
2010/12/08,68.625
2010/12/09,66.81
2010/12/10,67.356
2010/12/11,67.519
2010/12/12,66.173
2010/12/13,69.449
2010/12/14,68.182
2010/12/15,66.665
2010/12/16,65.431
2010/12/17,65.13
2010/12/18,64.084
2010/12/19,60.324
2010/12/20,61.03
2010/12/21,55.574
2010/12/22,56.369
2010/12/23,55.617
2010/12/24,54.883
2010/12/25,55.273
2010/12/26,54.326
2010/12/27,56.54
2010/12/28,55.158
2010/12/29,50.906
2010/12/30,49.566
2010/12/31,47.325
2011/01/01,46.537
2011/01/02,45.662
2011/01/03,45.681
2011/01/04,45.062
2011/01/05,46.128
2011/01/06,44.914
2011/01/07,44.16
2011/01/08,44.084
2011/01/09,44.46
2011/01/10,41.85
2011/01/11,44.384
2011/01/12,43.464
2011/01/13,45.303
2011/01/14,45.915
2011/01/15,44.991
