Date,top100cap3sma
2010/07/17,25.671
2010/07/18,25.727
2010/07/19,25.738
2010/07/20,25.689
2010/07/21,25.641
2010/07/22,25.615
2010/07/23,25.584
2010/07/24,25.546
2010/07/25,25.514
2010/07/26,25.78
2010/07/27,26.059
2010/07/28,26.342
2010/07/29,26.362
2010/07/30,26.362
2010/07/31,26.344
2010/08/01,26.321
2010/08/02,26.278
2010/08/03,26.271
2010/08/04,26.23
2010/08/05,26.229
2010/08/06,26.2
2010/08/07,26.198
2010/08/08,26.171
2010/08/09,26.216
2010/08/10,26.245
2010/08/11,26.344
2010/08/12,26.339
2010/08/13,26.387
2010/08/14,26.352
2010/08/15,26.347
2010/08/16,26.359
2010/08/17,26.436
2010/08/18,26.515
2010/08/19,26.541
2010/08/20,26.537
2010/08/21,26.534
2010/08/22,26.542
2010/08/23,26.53
2010/08/24,26.543
2010/08/25,26.524
2010/08/26,26.51
2010/08/27,26.502
2010/08/28,26.493
2010/08/29,26.455
2010/08/30,26.379
2010/08/31,26.36
2010/09/01,26.36
2010/09/02,26.374
2010/09/03,26.355
2010/09/04,26.353
2010/09/05,26.38
2010/09/06,26.399
2010/09/07,26.4
2010/09/08,26.354
2010/09/09,26.309
2010/09/10,26.27
2010/09/11,26.241
2010/09/12,26.242
2010/09/13,26.197
2010/09/14,26.14
2010/09/15,26.044
2010/09/16,26.034
2010/09/17,26.245
2010/09/18,26.488
2010/09/19,26.744
2010/09/20,26.823
2010/09/21,26.875
2010/09/22,26.858
2010/09/23,26.893
2010/09/24,26.958
2010/09/25,27.087
2010/09/26,27.172
2010/09/27,27.36
2010/09/28,27.885
2010/09/29,28.381
2010/09/30,28.731
2010/10/01,28.691
2010/10/02,28.836
2010/10/03,29.006
2010/10/04,29.094
2010/10/05,29.023
2010/10/06,28.931
2010/10/07,29.109
2010/10/08,29.328
2010/10/09,29.647
2010/10/10,29.862
2010/10/11,29.979
2010/10/12,30.012
2010/10/13,30.021
2010/10/14,30.121
2010/10/15,30.195
2010/10/16,30.283
2010/10/17,30.323
2010/10/18,30.45
2010/10/19,30.452
2010/10/20,30.463
2010/10/21,30.409
2010/10/22,30.43
2010/10/23,30.435
2010/10/24,30.439
2010/10/25,30.436
2010/10/26,30.482
2010/10/27,30.567
2010/10/28,30.627
2010/10/29,30.596
2010/10/30,30.519
2010/10/31,30.492
2010/11/01,30.502
2010/11/02,30.537
2010/11/03,30.523
2010/11/04,30.51
2010/11/05,30.503
2010/11/06,30.542
2010/11/07,30.553
2010/11/08,30.777
2010/11/09,30.958
2010/11/10,31.113
2010/11/11,31.016
2010/11/12,30.929
2010/11/13,30.856
2010/11/14,30.836
2010/11/15,30.806
2010/11/16,30.805
2010/11/17,30.799
2010/11/18,30.789
2010/11/19,30.78
2010/11/20,30.787
2010/11/21,30.81
2010/11/22,30.841
2010/11/23,30.856
2010/11/24,30.915
2010/11/25,30.999
2010/11/26,31.06
2010/11/27,31.072
2010/11/28,31.062
2010/11/29,31.034
2010/11/30,31.063
2010/12/01,31.157
2010/12/02,31.349
2010/12/03,31.573
2010/12/04,31.752
2010/12/05,31.859
2010/12/06,31.809
2010/12/07,31.72
2010/12/08,31.623
2010/12/09,31.576
2010/12/10,31.567
2010/12/11,31.562
2010/12/12,31.564
2010/12/13,31.646
2010/12/14,31.706
2010/12/15,31.763
2010/12/16,31.706
2010/12/17,31.662
2010/12/18,31.626
2010/12/19,31.552
2010/12/20,31.499
2010/12/21,31.374
2010/12/22,31.32
2010/12/23,31.237
2010/12/24,31.23
2010/12/25,31.213
2010/12/26,31.193
2010/12/27,31.229
2010/12/28,31.236
2010/12/29,31.186
2010/12/30,31.068
2010/12/31,30.929
2011/01/01,30.847
2011/01/02,30.773
2011/01/03,30.741
2011/01/04,30.712
2011/01/05,30.717
2011/01/06,30.7
2011/01/07,30.68
2011/01/08,30.643
2011/01/09,30.633
2011/01/10,30.59
2011/01/11,30.583
2011/01/12,30.555
2011/01/13,30.6
2011/01/14,30.618
2011/01/15,30.637
2011/01/16,30.662
2011/01/17,30.687
2011/01/18,30.7
2011/01/19,30.646
2011/01/20,30.583
2011/01/21,30.549
2011/01/22,30.544
2011/01/23,30.609
2011/01/24,30.657
2011/01/25,30.695
2011/01/26,30.615
2011/01/27,31.503
2011/01/28,32.395
2011/01/29,33.325
2011/01/30,33.289
2011/01/31,33.24
2011/02/01,33.238
2011/02/02,33.198
2011/02/03,33.199
2011/02/04,33.144
2011/02/05,33.151
2011/02/06,33.096
2011/02/07,33.117
2011/02/08,33.088
2011/02/09,33.136
2011/02/10,33.111
