Date,top100cap3trx
2010/07/17,-0.134
2010/07/18,-0.018
2010/07/19,-0.011
2010/07/20,-0.06
2010/07/21,-0.066
2010/07/22,-0.072
2010/07/23,-0.113
2010/07/24,-0.114
2010/07/25,-0.107
2010/07/26,0.304
2010/07/27,0.547
2010/07/28,0.572
2010/07/29,0.493
2010/07/30,0.375
2010/07/31,0.235
2010/08/01,0.133
2010/08/02,0.038
2010/08/03,0.008
2010/08/04,-0.047
2010/08/05,-0.048
2010/08/06,-0.053
2010/08/07,-0.06
2010/08/08,-0.066
2010/08/09,0.023
2010/08/10,0.046
2010/08/11,0.13
2010/08/12,0.102
2010/08/13,0.103
2010/08/14,0.064
2010/08/15,0.013
2010/08/16,0.05
2010/08/17,0.136
2010/08/18,0.151
2010/08/19,0.122
2010/08/20,0.108
2010/08/21,0.072
2010/08/22,0.05
2010/08/23,0.026
2010/08/24,0.03
2010/08/25,-0.006
2010/08/26,-0.029
2010/08/27,-0.008
2010/08/28,-0.031
2010/08/29,-0.085
2010/08/30,-0.132
2010/08/31,-0.097
2010/09/01,-0.073
2010/09/02,-0.059
2010/09/03,-0.051
2010/09/04,-0.033
2010/09/05,0.016
2010/09/06,0.027
2010/09/07,0.007
2010/09/08,-0.041
2010/09/09,-0.077
2010/09/10,-0.092
2010/09/11,-0.106
2010/09/12,-0.069
2010/09/13,-0.109
2010/09/14,-0.164
2010/09/15,-0.198
2010/09/16,-0.139
2010/09/17,0.199
2010/09/18,0.399
2010/09/19,0.496
2010/09/20,0.494
2010/09/21,0.401
2010/09/22,0.261
2010/09/23,0.25
2010/09/24,0.255
2010/09/25,0.284
2010/09/26,0.302
2010/09/27,0.44
2010/09/28,0.99
2010/09/29,1.178
2010/09/30,1.039
2010/10/01,0.782
2010/10/02,0.784
2010/10/03,0.715
2010/10/04,0.459
2010/10/05,0.281
2010/10/06,0.14
2010/10/07,0.284
2010/10/08,0.439
2010/10/09,0.564
2010/10/10,0.641
2010/10/11,0.548
2010/10/12,0.407
2010/10/13,0.338
2010/10/14,0.343
2010/10/15,0.274
2010/10/16,0.27
2010/10/17,0.254
2010/10/18,0.286
2010/10/19,0.189
2010/10/20,0.124
2010/10/21,0.072
2010/10/22,0.05
2010/10/23,0.04
2010/10/24,0.022
2010/10/25,0.011
2010/10/26,0.069
2010/10/27,0.137
2010/10/28,0.126
2010/10/29,0.047
2010/10/30,-0.025
2010/10/31,-0.023
2010/11/01,-0.014
2010/11/02,0.006
2010/11/03,-0.01
2010/11/04,-0.023
2010/11/05,-0.006
2010/11/06,0.036
2010/11/07,0.02
2010/11/08,0.283
2010/11/09,0.391
2010/11/10,0.308
2010/11/11,0.176
2010/11/12,0.072
2010/11/13,-0.036
2010/11/14,-0.05
2010/11/15,-0.06
2010/11/16,-0.074
2010/11/17,-0.041
2010/11/18,-0.041
2010/11/19,-0.054
2010/11/20,-0.005
2010/11/21,0.019
2010/11/22,0.021
2010/11/23,0.048
2010/11/24,0.104
2010/11/25,0.148
2010/11/26,0.153
2010/11/27,0.118
2010/11/28,0.079
2010/11/29,0.03
2010/11/30,0.057
2010/12/01,0.148
2010/12/02,0.283
2010/12/03,0.415
2010/12/04,0.448
2010/12/05,0.407
2010/12/06,0.235
2010/12/07,0.078
2010/12/08,-0.007
2010/12/09,-0.07
2010/12/10,-0.072
2010/12/11,-0.05
2010/12/12,-0.052
2010/12/13,0.064
2010/12/14,0.108
2010/12/15,0.082
2010/12/16,0.029
2010/12/17,-0.009
2010/12/18,-0.043
2010/12/19,-0.119
2010/12/20,-0.128
2010/12/21,-0.212
2010/12/22,-0.216
2010/12/23,-0.197
2010/12/24,-0.174
2010/12/25,-0.131
2010/12/26,-0.109
2010/12/27,-0.035
2010/12/28,-0.013
2010/12/29,-0.093
2010/12/30,-0.164
2010/12/31,-0.228
2011/01/01,-0.25
2011/01/02,-0.246
2011/01/03,-0.209
2011/01/04,-0.175
2011/01/05,-0.116
2011/01/06,-0.096
2011/01/07,-0.096
2011/01/08,-0.088
2011/01/09,-0.066
2011/01/10,-0.102
2011/01/11,-0.072
2011/01/12,-0.059
2011/01/13,-0.016
2011/01/14,0.022
2011/01/15,0.019
2011/01/16,0.048
2011/01/17,0.072
2011/01/18,0.04
2011/01/19,-0.031
2011/01/20,-0.067
2011/01/21,-0.071
2011/01/22,-0.068
2011/01/23,0.029
2011/01/24,0.065
2011/01/25,0.049
2011/01/26,-0.031
2011/01/27,1.09
2011/01/28,1.633
2011/01/29,1.599
2011/01/30,1.287
2011/01/31,0.909
2011/02/01,0.641
2011/02/02,0.38
2011/02/03,0.223
2011/02/04,0.107
2011/02/05,0.052
2011/02/06,-0.025
2011/02/07,0
2011/02/08,-0.02
2011/02/09,0.004
2011/02/10,0
2011/02/11,-0.04
2011/02/12,-0.083
2011/02/13,-0.109
2011/02/14,-0.13
2011/02/15,-0.118
2011/02/16,-0.118
2011/02/17,-0.125
2011/02/18,-0.15
2011/02/19,-0.159
2011/02/20,-0.105
2011/02/21,-0.082
2011/02/22,-0.121
2011/02/23,-0.146
2011/02/24,-0.166
2011/02/25,-0.171
2011/02/26,-0.16
2011/02/27,0.058
2011/02/28,0.1
2011/03/01,0.164
2011/03/02,-0.79
2011/03/03,-1.347
2011/03/04,-1.469
2011/03/05,-1.287
2011/03/06,-0.991
2011/03/07,-0.718
2011/03/08,-0.515
2011/03/09,-0.375
2011/03/10,-0.327
2011/03/11,-0.346
2011/03/12,-0.374
2011/03/13,-0.367
2011/03/14,-0.278
2011/03/15,-0.213
2011/03/16,-0.134
2011/03/17,-0.046
2011/03/18,0.026
2011/03/19,0.044
2011/03/20,0.026
2011/03/21,0.031
2011/03/22,-0.015
2011/03/23,-0.022
2011/03/24,-0.049
2011/03/25,-0.082
2011/03/26,-0.085
2011/03/27,-0.121
2011/03/28,-0.146
2011/03/29,-0.145
2011/03/30,-0.171
2011/03/31,-0.196
2011/04/01,-0.198
2011/04/02,-0.257
2011/04/03,-0.28
2011/04/04,-0.288
2011/04/05,-0.267
2011/04/06,-0.219
2011/04/07,-0.164
2011/04/08,-0.131
2011/04/09,-0.162
2011/04/10,-0.179
2011/04/11,-0.161
2011/04/12,-0.179
2011/04/13,-0.186
2011/04/14,0.039
2011/04/15,0.155
2011/04/16,0.158
2011/04/17,-0.004
2011/04/18,-0.15
2011/04/19,0.348
2011/04/20,0.602
2011/04/21,0.49
2011/04/22,0.303
2011/04/23,0.015
2011/04/24,-0.197
2011/04/25,-0.275
2011/04/26,-0.281
2011/04/27,-0.237
2011/04/28,-0.253
2011/04/29,-0.394
2011/04/30,0.079
2011/05/01,0.374
2011/05/02,0.43
2011/05/03,0.415
2011/05/04,0.421
2011/05/05,0.353
2011/05/06,0.149
2011/05/07,0.019
2011/05/08,-0.102
2011/05/09,-0.164
2011/05/10,-0.174
2011/05/11,-0.01
2011/05/12,0.159
2011/05/13,0.367
2011/05/14,0.433
2011/05/15,0.558
2011/05/16,0.59
2011/05/17,0.496
2011/05/18,0.429
2011/05/19,0.294
2011/05/20,0.127
2011/05/21,0.365
2011/05/22,0.462
2011/05/23,0.298
2011/05/24,0.111
2011/05/25,-0.028
2011/05/26,-0.114
2011/05/27,-0.082
2011/05/28,-0.053
2011/05/29,-0.013
2011/05/30,0.018
2011/05/31,0.015
2011/06/01,0.013
2011/06/02,0.048
2011/06/03,0.102
2011/06/04,0.086
2011/06/05,0.084
2011/06/06,-0.042
2011/06/07,-0.181
2011/06/08,-0.526
2011/06/09,-0.7
2011/06/10,-0.78
2011/06/11,-0.655
2011/06/12,0.354
2011/06/13,0.988
2011/06/14,0.818
2011/06/15,0.474
2011/06/16,0.123
2011/06/17,-0.16
2011/06/18,-0.315
2011/06/19,-0.036
2011/06/20,0.136
2011/06/21,0.159
2011/06/22,0.106
2011/06/23,0.317
2011/06/24,0.364
2011/06/25,0.203
2011/06/26,0.01
2011/06/27,0.023
2011/06/28,-0.064
2011/06/29,-0.227
2011/06/30,-0.388
2011/07/01,-0.392
2011/07/02,-0.353
2011/07/03,-0.312
2011/07/04,-0.276
2011/07/05,-0.203
2011/07/06,-0.143
2011/07/07,-0.11
2011/07/08,-0.104
2011/07/09,-0.115
2011/07/10,-0.145
2011/07/11,-0.156
2011/07/12,-0.163
2011/07/13,-0.172
2011/07/14,-0.17
2011/07/15,-0.163
2011/07/16,-0.155
2011/07/17,-0.146
2011/07/18,-0.022
2011/07/19,0.023
2011/07/20,0.008
2011/07/21,-0.031
2011/07/22,-0.085
2011/07/23,-0.115
2011/07/24,-0.125
2011/07/25,-0.138
2011/07/26,-0.152
2011/07/27,-0.181
2011/07/28,-0.238
2011/07/29,-0.248
2011/07/30,-0.238
2011/07/31,-0.258
2011/08/01,-0.307
2011/08/02,-0.303
2011/08/03,-0.275
2011/08/04,-0.15
2011/08/05,-0.095
2011/08/06,0.098
2011/08/07,0.244
2011/08/08,0.409
2011/08/09,0.403
