Date,top100cap7std
2010/07/17,0.479
2010/07/18,0.245
2010/07/19,0.19
2010/07/20,0.189
2010/07/21,0.127
2010/07/22,0.129
2010/07/23,0.174
2010/07/24,0.173
2010/07/25,0.128
2010/07/26,0.53
2010/07/27,0.711
2010/07/28,0.8
2010/07/29,0.828
2010/07/30,0.756
2010/07/31,0.589
2010/08/01,0.059
2010/08/02,0.094
2010/08/03,0.093
2010/08/04,0.126
2010/08/05,0.112
2010/08/06,0.092
2010/08/07,0.092
2010/08/08,0.083
2010/08/09,0.119
2010/08/10,0.114
2010/08/11,0.191
2010/08/12,0.194
2010/08/13,0.204
2010/08/14,0.178
2010/08/15,0.116
2010/08/16,0.133
2010/08/17,0.175
2010/08/18,0.198
2010/08/19,0.19
2010/08/20,0.203
2010/08/21,0.176
2010/08/22,0.081
2010/08/23,0.038
2010/08/24,0.035
2010/08/25,0.051
2010/08/26,0.061
2010/08/27,0.056
2010/08/28,0.072
2010/08/29,0.12
2010/08/30,0.166
2010/08/31,0.145
2010/09/01,0.146
2010/09/02,0.141
2010/09/03,0.085
2010/09/04,0.049
2010/09/05,0.073
2010/09/06,0.06
2010/09/07,0.058
2010/09/08,0.081
2010/09/09,0.107
2010/09/10,0.13
2010/09/11,0.157
2010/09/12,0.126
2010/09/13,0.144
2010/09/14,0.178
2010/09/15,0.218
2010/09/16,0.204
2010/09/17,0.427
2010/09/18,0.561
2010/09/19,0.695
2010/09/20,0.759
2010/09/21,0.714
2010/09/22,0.526
2010/09/23,0.214
2010/09/24,0.221
2010/09/25,0.254
2010/09/26,0.315
2010/09/27,0.515
2010/09/28,1.218
2010/09/29,1.428
2010/09/30,1.466
2010/10/01,1.361
2010/10/02,1.286
2010/10/03,0.966
2010/10/04,0.426
2010/10/05,0.42
2010/10/06,0.402
2010/10/07,0.478
2010/10/08,0.513
2010/10/09,0.707
2010/10/10,0.897
2010/10/11,0.872
2010/10/12,0.764
2010/10/13,0.458
2010/10/14,0.379
2010/10/15,0.261
2010/10/16,0.278
2010/10/17,0.324
2010/10/18,0.373
2010/10/19,0.283
2010/10/20,0.222
2010/10/21,0.209
2010/10/22,0.129
2010/10/23,0.12
2010/10/24,0.116
2010/10/25,0.044
2010/10/26,0.109
2010/10/27,0.19
2010/10/28,0.195
2010/10/29,0.187
2010/10/30,0.186
2010/10/31,0.168
2010/11/01,0.145
2010/11/02,0.142
2010/11/03,0.096
2010/11/04,0.064
2010/11/05,0.066
2010/11/06,0.076
2010/11/07,0.076
2010/11/08,0.478
2010/11/09,0.594
2010/11/10,0.588
2010/11/11,0.539
2010/11/12,0.475
2010/11/13,0.431
2010/11/14,0.296
2010/11/15,0.239
2010/11/16,0.154
2010/11/17,0.11
2010/11/18,0.093
2010/11/19,0.08
2010/11/20,0.09
2010/11/21,0.086
2010/11/22,0.087
2010/11/23,0.103
2010/11/24,0.17
2010/11/25,0.219
2010/11/26,0.21
2010/11/27,0.209
2010/11/28,0.183
2010/11/29,0.115
2010/11/30,0.086
2010/12/01,0.199
2010/12/02,0.382
