Date,top100cap7wma
2010/07/17,25.675
2010/07/18,25.684
2010/07/19,25.686
2010/07/20,25.674
2010/07/21,25.671
2010/07/22,25.653
2010/07/23,25.612
2010/07/24,25.581
2010/07/25,25.552
2010/07/26,25.734
2010/07/27,25.907
2010/07/28,26.051
2010/07/29,26.173
2010/07/30,26.266
2010/07/31,26.313
2010/08/01,26.332
2010/08/02,26.306
2010/08/03,26.294
2010/08/04,26.26
2010/08/05,26.245
2010/08/06,26.226
2010/08/07,26.208
2010/08/08,26.189
2010/08/09,26.219
2010/08/10,26.23
2010/08/11,26.287
2010/08/12,26.302
2010/08/13,26.336
2010/08/14,26.347
2010/08/15,26.342
2010/08/16,26.366
2010/08/17,26.42
2010/08/18,26.453
2010/08/19,26.479
2010/08/20,26.508
2010/08/21,26.523
2010/08/22,26.535
2010/08/23,26.535
2010/08/24,26.541
2010/08/25,26.527
2010/08/26,26.515
2010/08/27,26.519
2010/08/28,26.502
2010/08/29,26.466
2010/08/30,26.422
2010/08/31,26.408
2010/09/01,26.391
2010/09/02,26.375
2010/09/03,26.361
2010/09/04,26.358
2010/09/05,26.377
2010/09/06,26.385
2010/09/07,26.382
2010/09/08,26.362
2010/09/09,26.337
2010/09/10,26.311
2010/09/11,26.278
2010/09/12,26.267
2010/09/13,26.222
2010/09/14,26.167
2010/09/15,26.112
2010/09/16,26.092
2010/09/17,26.226
2010/09/18,26.356
2010/09/19,26.502
2010/09/20,26.64
2010/09/21,26.742
2010/09/22,26.797
2010/09/23,26.874
2010/09/24,26.933
2010/09/25,27.007
2010/09/26,27.085
2010/09/27,27.238
2010/09/28,27.65
2010/09/29,27.991
2010/09/30,28.243
2010/10/01,28.428
2010/10/02,28.692
2010/10/03,28.885
2010/10/04,28.938
2010/10/05,28.964
2010/10/06,28.966
2010/10/07,29.094
2010/10/08,29.243
2010/10/09,29.416
2010/10/10,29.619
2010/10/11,29.763
2010/10/12,29.867
2010/10/13,29.97
2010/10/14,30.073
2010/10/15,30.124
2010/10/16,30.199
2010/10/17,30.264
2010/10/18,30.362
2010/10/19,30.388
2010/10/20,30.414
2010/10/21,30.423
2010/10/22,30.434
2010/10/23,30.439
2010/10/24,30.435
2010/10/25,30.432
2010/10/26,30.472
2010/10/27,30.529
2010/10/28,30.559
2010/10/29,30.553
2010/10/30,30.534
2010/10/31,30.536
2010/11/01,30.531
2010/11/02,30.531
2010/11/03,30.516
2010/11/04,30.507
2010/11/05,30.514
2010/11/06,30.539
2010/11/07,30.535
2010/11/08,30.704
2010/11/09,30.835
2010/11/10,30.902
2010/11/11,30.935
2010/11/12,30.946
2010/11/13,30.913
2010/11/14,30.897
2010/11/15,30.856
2010/11/16,30.819
2010/11/17,30.815
2010/11/18,30.8
2010/11/19,30.781
2010/11/20,30.798
2010/11/21,30.807
2010/11/22,30.814
