Date,top100cap90mom
2010/07/17,6.18
2010/07/18,5.825
2010/07/19,5.497
2010/07/20,5.274
2010/07/21,5.337
2010/07/22,5.321
2010/07/23,5.164
2010/07/24,5.07
2010/07/25,5.024
2010/07/26,5.87
2010/07/27,5.83
2010/07/28,5.817
2010/07/29,5.78
2010/07/30,5.782
2010/07/31,5.731
2010/08/01,5.625
2010/08/02,5.386
2010/08/03,5.218
2010/08/04,4.753
2010/08/05,4.721
2010/08/06,4.289
2010/08/07,4.236
2010/08/08,4.057
2010/08/09,4.248
2010/08/10,3.979
2010/08/11,4.069
2010/08/12,3.83
2010/08/13,3.863
2010/08/14,3.802
2010/08/15,3.555
2010/08/16,3.624
2010/08/17,3.671
2010/08/18,3.646
2010/08/19,3.475
2010/08/20,3.455
2010/08/21,3.327
2010/08/22,3.299
2010/08/23,3.238
2010/08/24,3.252
2010/08/25,3.077
2010/08/26,3.08
2010/08/27,3.061
2010/08/28,2.99
2010/08/29,2.87
2010/08/30,2.772
2010/08/31,2.879
2010/09/01,2.708
2010/09/02,2.675
2010/09/03,2.655
2010/09/04,2.633
2010/09/05,2.337
2010/09/06,2.28
2010/09/07,1.822
2010/09/08,1.716
2010/09/09,1.692
2010/09/10,1.659
2010/09/11,1.569
2010/09/12,1.514
2010/09/13,1.298
2010/09/14,1.178
2010/09/15,1.18
2010/09/16,1.175
2010/09/17,1.28
2010/09/18,1.32
2010/09/19,1.458
2010/09/20,1.454
2010/09/21,1.435
2010/09/22,1.303
2010/09/23,1.557
2010/09/24,1.676
2010/09/25,1.828
2010/09/26,1.921
2010/09/27,2.126
2010/09/28,3.107
2010/09/29,3.065
2010/09/30,2.909
2010/10/01,2.805
2010/10/02,3.079
2010/10/03,3.012
2010/10/04,2.772
2010/10/05,2.738
2010/10/06,2.716
2010/10/07,3.26
2010/10/08,3.374
2010/10/09,3.612
2010/10/10,4.215
2010/10/11,4.384
2010/10/12,4.497
2010/10/13,4.496
2010/10/14,4.632
2010/10/15,4.445
2010/10/16,4.591
2010/10/17,4.716
2010/10/18,4.976
2010/10/19,4.74
2010/10/20,4.83
2010/10/21,4.906
2010/10/22,4.915
2010/10/23,4.944
2010/10/24,4.119
2010/10/25,4.068
2010/10/26,4.232
2010/10/27,4.313
2010/10/28,4.249
2010/10/29,4.193
2010/10/30,4.15
2010/10/31,4.3
2010/11/01,4.244
2010/11/02,4.375
2010/11/03,4.262
2010/11/04,4.292
2010/11/05,4.362
2010/11/06,4.458
2010/11/07,4.192
2010/11/08,4.945
2010/11/09,4.707
2010/11/10,4.671
2010/11/11,4.511
2010/11/12,4.551
2010/11/13,4.465
2010/11/14,4.416
2010/11/15,4.229
2010/11/16,4.225
2010/11/17,4.32
2010/11/18,4.209
2010/11/19,4.21
2010/11/20,4.316
2010/11/21,4.315
2010/11/22,4.262
2010/11/23,4.42
2010/11/24,4.533
2010/11/25,4.539
2010/11/26,4.628
2010/11/27,4.684
2010/11/28,4.735
2010/11/29,4.601
2010/11/30,4.774
2010/12/01,4.974
2010/12/02,5.232
2010/12/03,5.453
2010/12/04,5.433
2010/12/05,5.494
2010/12/06,5.3
2010/12/07,5.305
2010/12/08,5.338
2010/12/09,5.275
2010/12/10,5.366
2010/12/11,5.316
2010/12/12,5.416
2010/12/13,5.785
2010/12/14,5.784
2010/12/15,5.618
2010/12/16,4.982
2010/12/17,4.922
2010/12/18,4.741
2010/12/19,4.524
2010/12/20,4.607
2010/12/21,4.415
2010/12/22,4.258
2010/12/23,4.165
2010/12/24,4.007
2010/12/25,3.952
2010/12/26,3.542
2010/12/27,2.539
2010/12/28,2.483
2010/12/29,2.343
2010/12/30,2.306
2010/12/31,1.633
2011/01/01,1.587
2011/01/02,1.817
2011/01/03,1.75
2011/01/04,1.777
2011/01/05,1.299
2011/01/06,1.041
2011/01/07,0.759
2011/01/08,0.543
2011/01/09,0.661
2011/01/10,0.53
2011/01/11,0.498
2011/01/12,0.275
2011/01/13,0.441
2011/01/14,0.289
2011/01/15,0.214
2011/01/16,0.133
2011/01/17,0.36
2011/01/18,0.219
2011/01/19,0.132
2011/01/20,0.108
2011/01/21,0.102
2011/01/22,0.105
2011/01/23,0.312
2011/01/24,0.108
2011/01/25,-0.034
2011/01/26,-0.109
2011/01/27,2.863
2011/01/28,2.873
2011/01/29,2.762
2011/01/30,2.725
2011/01/31,2.624
2011/02/01,2.798
2011/02/02,2.643
2011/02/03,2.648
2011/02/04,2.514
2011/02/05,2.633
2011/02/06,1.81
2011/02/07,2.033
2011/02/08,2.08
2011/02/09,2.247
2011/02/10,2.218
2011/02/11,2.25
2011/02/12,2.099
2011/02/13,2.115
2011/02/14,2.093
2011/02/15,2.03
2011/02/16,2.031
2011/02/17,2.015
2011/02/18,1.796
2011/02/19,1.782
2011/02/20,1.891
2011/02/21,1.748
2011/02/22,1.487
2011/02/23,1.39
2011/02/24,1.312
2011/02/25,1.303
2011/02/26,1.282
2011/02/27,1.824
2011/02/28,1.461
2011/03/01,1.476
2011/03/02,-1.295
2011/03/03,-1.639
2011/03/04,-1.812
2011/03/05,-1.811
2011/03/06,-1.56
2011/03/07,-1.531
2011/03/08,-1.581
2011/03/09,-1.545
2011/03/10,-1.741
2011/03/11,-1.928
2011/03/12,-2
2011/03/13,-2.346
2011/03/14,-2.205
2011/03/15,-2.2
2011/03/16,-2.093
2011/03/17,-2.011
2011/03/18,-1.916
2011/03/19,-1.782
2011/03/20,-1.866
2011/03/21,-1.552
2011/03/22,-1.717
2011/03/23,-1.631
2011/03/24,-1.668
2011/03/25,-1.744
2011/03/26,-1.692
2011/03/27,-1.937
2011/03/28,-1.913
2011/03/29,-1.713
2011/03/30,-1.752
2011/03/31,-1.694
2011/04/01,-1.683
2011/04/02,-1.83
2011/04/03,-1.873
2011/04/04,-1.922
2011/04/05,-2
2011/04/06,-1.931
2011/04/07,-1.891
2011/04/08,-1.921
2011/04/09,-2.079
2011/04/10,-1.969
2011/04/11,-2.068
2011/04/12,-2.137
2011/04/13,-2.252
2011/04/14,-1.811
2011/04/15,-1.812
2011/04/16,-1.957
2011/04/17,-2.281
2011/04/18,-2.299
2011/04/19,-0.935
2011/04/20,-1.005
2011/04/21,-1.307
2011/04/22,-1.348
2011/04/23,-1.903
2011/04/24,-1.977
2011/04/25,-1.945
2011/04/26,-1.841
2011/04/27,-4.686
2011/04/28,-4.826
2011/04/29,-5.155
2011/04/30,-3.939
2011/05/01,-3.889
2011/05/02,-4.048
2011/05/03,-3.793
2011/05/04,-3.671
2011/05/05,-3.658
2011/05/06,-3.96
2011/05/07,-3.81
2011/05/08,-4.125
2011/05/09,-4.04
2011/05/10,-4.154
2011/05/11,-3.771
2011/05/12,-3.53
2011/05/13,-3.134
2011/05/14,-3.084
2011/05/15,-2.635
2011/05/16,-2.569
2011/05/17,-2.559
2011/05/18,-2.37
2011/05/19,-2.394
2011/05/20,-2.495
2011/05/21,-1.766
2011/05/22,-1.762
2011/05/23,-1.944
2011/05/24,-1.999
2011/05/25,-1.996
2011/05/26,-2.019
2011/05/27,-1.862
2011/05/28,-2.385
2011/05/29,-2.115
2011/05/30,-2.299
2011/05/31,0.189
2011/06/01,0.308
2011/06/02,0.52
2011/06/03,0.583
2011/06/04,0.482
2011/06/05,0.58
2011/06/06,0.343
2011/06/07,0.225
2011/06/08,-0.349
2011/06/09,-0.269
2011/06/10,-0.382
2011/06/11,-0.185
2011/06/12,1.722
2011/06/13,1.936
2011/06/14,1.144
2011/06/15,0.933
2011/06/16,0.638
2011/06/17,0.445
2011/06/18,0.38
2011/06/19,1.06
2011/06/20,1.108
2011/06/21,0.982
2011/06/22,0.992
2011/06/23,1.68
2011/06/24,1.547
2011/06/25,1.373
2011/06/26,1.262
2011/06/27,1.56
2011/06/28,1.386
2011/06/29,1.172
2011/06/30,0.968
2011/07/01,1.235
2011/07/02,1.213
2011/07/03,1.228
2011/07/04,1.201
2011/07/05,1.249
2011/07/06,1.234
2011/07/07,1.238
2011/07/08,1.328
2011/07/09,1.304
2011/07/10,1.208
2011/07/11,1.3
2011/07/12,1.281
2011/07/13,0.752
2011/07/14,0.764
2011/07/15,0.774
2011/07/16,1.032
2011/07/17,1.1
2011/07/18,0.084
2011/07/19,0.067
2011/07/20,0.312
2011/07/21,0.314
2011/07/22,0.575
2011/07/23,0.671
2011/07/24,0.657
2011/07/25,0.634
2011/07/26,0.572
2011/07/27,0.646
2011/07/28,0.858
2011/07/29,-0.329
2011/07/30,-0.359
2011/07/31,-0.444
2011/08/01,-0.696
2011/08/02,-0.883
2011/08/03,-0.877
2011/08/04,-0.436
2011/08/05,-0.539
2011/08/06,-0.02
2011/08/07,0.118
2011/08/08,0.432
2011/08/09,0.015
2011/08/10,-0.182
2011/08/11,-0.544
2011/08/12,-0.582
2011/08/13,-1.042
2011/08/14,-1.222
2011/08/15,-1.164
2011/08/16,-1.358
2011/08/17,-0.864
2011/08/18,-0.758
2011/08/19,-1.609
2011/08/20,-1.577
2011/08/21,-1.278
2011/08/22,-1.195
2011/08/23,-1.157
2011/08/24,-1.023
2011/08/25,-1.816
2011/08/26,-1.79
2011/08/27,-1.412
2011/08/28,-1.455
2011/08/29,-1.484
2011/08/30,-1.526
2011/08/31,-1.635
2011/09/01,-1.695
2011/09/02,-1.646
2011/09/03,-1.769
2011/09/04,-1.476
2011/09/05,-1.347
2011/09/06,-0.655
2011/09/07,-0.132
2011/09/08,0.084
2011/09/09,0.028
2011/09/10,-1.966
2011/09/11,-1.137
2011/09/12,-0.219
2011/09/13,-0.11
2011/09/14,0.084
2011/09/15,0.25
2011/09/16,0.355
2011/09/17,-0.408
2011/09/18,-0.339
2011/09/19,-0.33
2011/09/20,-0.332
2011/09/21,-0.483
2011/09/22,-0.433
2011/09/23,-0.227
2011/09/24,-0.06
2011/09/25,-0.441
2011/09/26,-0.203
2011/09/27,0.054
2011/09/28,0.275
2011/09/29,0.18
2011/09/30,0.219
2011/10/01,0.266
2011/10/02,0.298
2011/10/03,0.217
2011/10/04,0.212
2011/10/05,0.213
2011/10/06,0.221
2011/10/07,0.373
2011/10/08,0.441
2011/10/09,0.442
2011/10/10,0.468
2011/10/11,0.511
2011/10/12,0.498
2011/10/13,0.558
2011/10/14,0.548
2011/10/15,0.56
2011/10/16,0.296
2011/10/17,0.271
2011/10/18,0.246
2011/10/19,0.31
2011/10/20,0.315
2011/10/21,0.412
2011/10/22,0.325
2011/10/23,0.389
2011/10/24,0.417
2011/10/25,0.485
2011/10/26,0.62
2011/10/27,0.604
2011/10/28,0.636
2011/10/29,1.062
2011/10/30,1.196
2011/10/31,1.162
2011/11/01,1.166
2011/11/02,0.962
2011/11/03,1.179
2011/11/04,0.77
2011/11/05,0.625
2011/11/06,0.292
2011/11/07,0.376
2011/11/08,0.271
2011/11/09,0.222
2011/11/10,0.24
2011/11/11,0.29
2011/11/12,0.384
2011/11/13,0.353
2011/11/14,0.375
2011/11/15,-0.03
2011/11/16,0.047
2011/11/17,-0.009
2011/11/18,-0.141
2011/11/19,-0.016
2011/11/20,-0.137
2011/11/21,-0.143
2011/11/22,-0.255
2011/11/23,0.368
2011/11/24,0.379
2011/11/25,-0.087
2011/11/26,-0.097
2011/11/27,-0.062
2011/11/28,0.443
2011/11/29,0.452
2011/11/30,0.235
2011/12/01,0.254
2011/12/02,0.242
2011/12/03,0.154
2011/12/04,0.142
2011/12/05,0.118
2011/12/06,-0.455
2011/12/07,-0.517
2011/12/08,-2.579
2011/12/09,-5.741
2011/12/10,-6.821
2011/12/11,-7.24
2011/12/12,-7.379
2011/12/13,-7.347
2011/12/14,-7.313
2011/12/15,-7.336
2011/12/16,-7.329
2011/12/17,-7.355
2011/12/18,-7.309
2011/12/19,-7.268
2011/12/20,-7.365
2011/12/21,-7.324
2011/12/22,-7.285
2011/12/23,-7.32
2011/12/24,-7.24
2011/12/25,-7.22
2011/12/26,-7.206
2011/12/27,-7.238
2011/12/28,-7.234
2011/12/29,-7.233
2011/12/30,-7.229
2011/12/31,-7.228
2012/01/01,-7.21
2012/01/02,-7.217
2012/01/03,-7.199
2012/01/04,-7.182
2012/01/05,-7.233
2012/01/06,-7.297
2012/01/07,-7.306
2012/01/08,-7.293
2012/01/09,-6.893
2012/01/10,-6.867
2012/01/11,-6.912
2012/01/12,-6.893
2012/01/13,-6.819
2012/01/14,-6.739
2012/01/15,-6.655
2012/01/16,-6.612
2012/01/17,-6.616
2012/01/18,-6.498
2012/01/19,-6.29
2012/01/20,-6.198
2012/01/21,-6.18
2012/01/22,-6.126
2012/01/23,-6.14
2012/01/24,-6.141
2012/01/25,-6.035
2012/01/26,-6.061
2012/01/27,-6.358
2012/01/28,-6.334
2012/01/29,-6.225
2012/01/30,-6.187
2012/01/31,-6.134
2012/02/01,-6.294
2012/02/02,-6.215
2012/02/03,-6.206
2012/02/04,-6.09
2012/02/05,-6.102
2012/02/06,-5.977
2012/02/07,-5.928
2012/02/08,-5.937
2012/02/09,-5.922
2012/02/10,-5.923
2012/02/11,-6.015
2012/02/12,-5.996
2012/02/13,-5.727
2012/02/14,-5.233
2012/02/15,-6.308
2012/02/16,-6.389
2012/02/17,-6.56
2012/02/18,-6.525
2012/02/19,-6.5
2012/02/20,-6.497
2012/02/21,-6.384
2012/02/22,-6.428
2012/02/23,-6.42
2012/02/24,-6.424
2012/02/25,-5.875
2012/02/26,-6.358
2012/02/27,-6.373
2012/02/28,-6.081
2012/02/29,-6.202
2012/03/01,-6.099
2012/03/02,-5.995
2012/03/03,-6.099
2012/03/04,-6.086
2012/03/05,-5.963
2012/03/06,-5.891
2012/03/07,-3.887
2012/03/08,-0.75
2012/03/09,-0.675
2012/03/10,-0.443
2012/03/11,-0.269
2012/03/12,-0.325
2012/03/13,-0.347
2012/03/14,-0.256
2012/03/15,-0.133
2012/03/16,-0.114
2012/03/17,-0.125
2012/03/18,-0.093
2012/03/19,-0.495
2012/03/20,-0.46
2012/03/21,-0.449
2012/03/22,-0.531
2012/03/23,-0.443
2012/03/24,-0.455
2012/03/25,-0.032
2012/03/26,0.012
2012/03/27,-0.026
2012/03/28,0.115
2012/03/29,0.116
2012/03/30,0.089
2012/03/31,0.068
2012/04/01,0.094
2012/04/02,0.209
2012/04/03,0.108
2012/04/04,0.309
2012/04/05,0.476
2012/04/06,0.836
2012/04/07,0.836
2012/04/08,0.447
2012/04/09,0.017
2012/04/10,0.025
2012/04/11,0.073
2012/04/12,0.047
2012/04/13,-0.144
2012/04/14,-0.132
2012/04/15,-0.002
2012/04/16,0.293
2012/04/17,0.489
2012/04/18,0.21
2012/04/19,0.319
2012/04/20,0.504
