Date,top100cap90var
2010/07/17,3.811
2010/07/18,3.714
2010/07/19,3.624
2010/07/20,3.534
2010/07/21,3.436
2010/07/22,3.328
2010/07/23,3.215
2010/07/24,3.105
2010/07/25,2.99
2010/07/26,2.897
2010/07/27,2.806
2010/07/28,2.706
2010/07/29,2.603
2010/07/30,2.491
2010/07/31,2.367
2010/08/01,2.245
2010/08/02,2.126
2010/08/03,2.019
2010/08/04,1.93
2010/08/05,1.843
2010/08/06,1.776
2010/08/07,1.706
2010/08/08,1.641
2010/08/09,1.576
2010/08/10,1.517
2010/08/11,1.466
2010/08/12,1.413
2010/08/13,1.362
2010/08/14,1.305
2010/08/15,1.256
2010/08/16,1.21
2010/08/17,1.17
2010/08/18,1.125
2010/08/19,1.084
2010/08/20,1.044
2010/08/21,1.005
2010/08/22,0.966
2010/08/23,0.926
2010/08/24,0.886
2010/08/25,0.846
2010/08/26,0.804
2010/08/27,0.763
2010/08/28,0.719
2010/08/29,0.672
2010/08/30,0.625
2010/08/31,0.576
2010/09/01,0.531
2010/09/02,0.485
2010/09/03,0.438
2010/09/04,0.391
2010/09/05,0.359
2010/09/06,0.327
2010/09/07,0.308
2010/09/08,0.288
2010/09/09,0.268
2010/09/10,0.247
2010/09/11,0.227
2010/09/12,0.21
2010/09/13,0.194
2010/09/14,0.178
2010/09/15,0.161
2010/09/16,0.146
2010/09/17,0.144
2010/09/18,0.143
2010/09/19,0.143
2010/09/20,0.144
2010/09/21,0.145
2010/09/22,0.144
2010/09/23,0.146
2010/09/24,0.147
2010/09/25,0.149
2010/09/26,0.152
2010/09/27,0.167
2010/09/28,0.23
2010/09/29,0.292
2010/09/30,0.348
2010/10/01,0.401
2010/10/02,0.485
2010/10/03,0.567
2010/10/04,0.631
2010/10/05,0.697
2010/10/06,0.758
2010/10/07,0.847
2010/10/08,0.946
2010/10/09,1.059
2010/10/10,1.179
2010/10/11,1.28
2010/10/12,1.373
2010/10/13,1.474
2010/10/14,1.584
2010/10/15,1.685
2010/10/16,1.796
2010/10/17,1.9
2010/10/18,2.009
2010/10/19,2.098
2010/10/20,2.185
2010/10/21,2.261
2010/10/22,2.334
2010/10/23,2.4
2010/10/24,2.486
2010/10/25,2.57
2010/10/26,2.66
2010/10/27,2.752
2010/10/28,2.835
2010/10/29,2.904
2010/10/30,2.966
2010/10/31,3.026
2010/11/01,3.083
2010/11/02,3.134
2010/11/03,3.178
2010/11/04,3.216
2010/11/05,3.251
2010/11/06,3.284
2010/11/07,3.316
2010/11/08,3.381
2010/11/09,3.444
2010/11/10,3.486
2010/11/11,3.523
2010/11/12,3.55
2010/11/13,3.564
2010/11/14,3.583
2010/11/15,3.602
2010/11/16,3.612
2010/11/17,3.62
2010/11/18,3.623
2010/11/19,3.618
2010/11/20,3.616
2010/11/21,3.607
2010/11/22,3.594
2010/11/23,3.577
2010/11/24,3.559
2010/11/25,3.543
2010/11/26,3.517
2010/11/27,3.479
2010/11/28,3.432
2010/11/29,3.383
2010/11/30,3.332
2010/12/01,3.283
2010/12/02,3.239
2010/12/03,3.201
2010/12/04,3.163
2010/12/05,3.118
2010/12/06,3.051
