Date,transactionfees7rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,48.905
2010/07/25,58.599
2010/07/26,74.095
2010/07/27,54.967
2010/07/28,47.137
2010/07/29,47.092
2010/07/30,54.752
2010/07/31,60.263
2010/08/01,54.162
2010/08/02,48.148
2010/08/03,41.69
2010/08/04,41.69
2010/08/05,41.69
2010/08/06,41.69
2010/08/07,87.139
2010/08/08,45.638
2010/08/09,65.528
2010/08/10,45.925
2010/08/11,45.925
2010/08/12,45.925
2010/08/13,45.925
2010/08/14,45.925
2010/08/15,45.925
2010/08/16,50.266
2010/08/17,45.961
2010/08/18,58.837
2010/08/19,46.039
2010/08/20,46.039
2010/08/21,46.039
2010/08/22,46.039
2010/08/23,46.039
2010/08/24,59.662
2010/08/25,46.088
2010/08/26,46.088
2010/08/27,46.088
2010/08/28,46.088
2010/08/29,55.107
2010/08/30,53.62
2010/08/31,47.908
2010/09/01,46.083
2010/09/02,44.377
2010/09/03,44.377
2010/09/04,44.377
2010/09/05,44.99
2010/09/06,44.419
2010/09/07,44.419
2010/09/08,44.419
2010/09/09,52.447
2010/09/10,44.884
2010/09/11,44.884
2010/09/12,56.023
2010/09/13,45.334
2010/09/14,46.039
2010/09/15,45.356
2010/09/16,45.356
2010/09/17,45.356
2010/09/18,65.472
2010/09/19,45.801
2010/09/20,45.801
2010/09/21,45.801
2010/09/22,45.801
2010/09/23,45.801
2010/09/24,45.801
2010/09/25,45.801
2010/09/26,45.801
2010/09/27,48.45
2010/09/28,91.982
2010/09/29,46.094
2010/09/30,46.094
2010/10/01,53.979
2010/10/02,46.21
2010/10/03,46.286
2010/10/04,46.074
2010/10/05,46.074
2010/10/06,46.074
2010/10/07,46.074
2010/10/08,46.074
2010/10/09,46.074
2010/10/10,46.074
2010/10/11,46.074
2010/10/12,46.074
2010/10/13,80.738
2010/10/14,46.138
2010/10/15,46.138
2010/10/16,46.138
2010/10/17,46.138
2010/10/18,47.551
2010/10/19,46.138
2010/10/20,46.138
2010/10/21,46.886
2010/10/22,46.139
