Date,transactionfeesUSD
2010/07/17,1.05E-5
2010/07/18,0.000243
2010/07/19,2.18E-5
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,2.61E-6
2010/07/24,0
2010/07/25,9.65E-5
2010/07/26,0.000357
2010/07/27,0.000149
2010/07/28,3.48E-5
2010/07/29,3.42E-5
2010/07/30,0.000134
2010/07/31,0.000217
2010/08/01,0.000151
2010/08/02,8.25E-5
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0.00117
2010/08/08,0
2010/08/09,0.00122
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,0.000141
2010/08/17,0
2010/08/18,0.000441
2010/08/19,0
2010/08/20,0
2010/08/21,0
2010/08/22,0
2010/08/23,0
2010/08/24,0.000317
2010/08/25,0
2010/08/26,0
2010/08/27,0
2010/08/28,4.2E-10
2010/08/29,0.000151
2010/08/30,0.00013
2010/08/31,4.83E-5
2010/09/01,2.24E-5
2010/09/02,0
2010/09/03,0
2010/09/04,0
2010/09/05,4.25E-6
2010/09/06,5.18E-11
2010/09/07,0
2010/09/08,7.07E-11
2010/09/09,3.56E-5
2010/09/10,3.36E-11
2010/09/11,0
2010/09/12,4.59E-5
2010/09/13,2.34E-11
2010/09/14,2.69E-6
2010/09/15,0
2010/09/16,0
2010/09/17,0
2010/09/18,6.67E-5
2010/09/19,0
2010/09/20,0
2010/09/21,9.86E-12
2010/09/22,0
2010/09/23,0
2010/09/24,0
2010/09/25,0
2010/09/26,0
2010/09/27,3.32E-6
2010/09/28,0.00032
2010/09/29,0
2010/09/30,0
2010/10/01,8.07E-5
2010/10/02,1.19E-6
2010/10/03,1.87E-6
2010/10/04,2.39E-10
2010/10/05,0
2010/10/06,2.87E-10
2010/10/07,0
2010/10/08,0
2010/10/09,0
2010/10/10,0
2010/10/11,5.54E-10
2010/10/12,0
2010/10/13,0.000183
2010/10/14,0
2010/10/15,0
2010/10/16,0
2010/10/17,0
2010/10/18,6.22E-6
2010/10/19,0
2010/10/20,0
2010/10/21,2.17E-6
2010/10/22,0
2010/10/23,1.56E-5
2010/10/24,0
2010/10/25,0
2010/10/26,0
2010/10/27,0
2010/10/28,0
2010/10/29,0
2010/10/30,0
2010/10/31,0
2010/11/01,0
2010/11/02,0
2010/11/03,0
2010/11/04,0
2010/11/05,0
2010/11/06,0
2010/11/07,0
2010/11/08,0.00102
2010/11/09,0
2010/11/10,0
2010/11/11,0
2010/11/12,0
2010/11/13,0
2010/11/14,0
2010/11/15,2.81E-5
2010/11/16,0
2010/11/17,0
2010/11/18,0
2010/11/19,2.31E-6
2010/11/20,2.93E-5
2010/11/21,2.9E-5
2010/11/22,0.000872
2010/11/23,0.000675
2010/11/24,1.43E-5
2010/11/25,0
2010/11/26,9.31E-5
2010/11/27,2.14E-5
2010/11/28,0
2010/11/29,3.12E-5
2010/11/30,8.69E-6
2010/12/01,2.7E-5
2010/12/02,5.33E-5
2010/12/03,1.28E-5
2010/12/04,1.33E-5
2010/12/05,3.15E-5
2010/12/06,4.33E-5
2010/12/07,5.25E-5
2010/12/08,3.36E-5
2010/12/09,3.02E-5
2010/12/10,6.26E-5
2010/12/11,6.74E-5
2010/12/12,6.74E-5
2010/12/13,0.000136
2010/12/14,2.41E-5
2010/12/15,3.66E-5
2010/12/16,7.06E-5
2010/12/17,0.000194
2010/12/18,4.82E-5
2010/12/19,7.69E-5
2010/12/20,2.2E-5
2010/12/21,6.34E-5
2010/12/22,8.73E-5
2010/12/23,3.99E-5
2010/12/24,5.09E-5
2010/12/25,3.6E-5
2010/12/26,5.61E-5
2010/12/27,5.49E-5
2010/12/28,5.72E-5
