Date,transactions30ema
2010/07/17,551.815
2010/07/18,532.214
2010/07/19,520.717
2010/07/20,513.767
2010/07/21,497.137
2010/07/22,479.322
2010/07/23,462.398
2010/07/24,478.05
2010/07/25,549.917
2010/07/26,528.89
2010/07/27,511.543
2010/07/28,594.153
2010/07/29,664.659
2010/07/30,631.004
2010/07/31,596.229
2010/08/01,565.827
2010/08/02,539.387
2010/08/03,531.749
2010/08/04,510.088
2010/08/05,496.34
2010/08/06,477.996
2010/08/07,454.77
2010/08/08,437.817
2010/08/09,424.668
2010/08/10,406.883
2010/08/11,392.181
2010/08/12,378.169
2010/08/13,373.19
2010/08/14,358.984
2010/08/15,342.792
2010/08/16,340.418
2010/08/17,330.649
2010/08/18,325.059
2010/08/19,316.346
2010/08/20,310.775
2010/08/21,301.628
2010/08/22,292.104
2010/08/23,283.323
2010/08/24,275.625
2010/08/25,267.455
2010/08/26,260.394
2010/08/27,251.53
2010/08/28,246.205
2010/08/29,236.643
2010/08/30,232.989
2010/08/31,234.538
2010/09/01,233.794
2010/09/02,229.355
2010/09/03,224.558
2010/09/04,216.071
2010/09/05,211.55
2010/09/06,205.644
2010/09/07,200.247
2010/09/08,198.554
2010/09/09,197.937
2010/09/10,196.974
2010/09/11,193.621
2010/09/12,194.161
2010/09/13,198.731
2010/09/14,200.168
2010/09/15,204.093
2010/09/16,205.055
2010/09/17,201.696
2010/09/18,199.135
2010/09/19,195.707
2010/09/20,199.984
2010/09/21,228.243
2010/09/22,245.711
2010/09/23,257.02
2010/09/24,258.051
2010/09/25,262.37
2010/09/26,258.024
2010/09/27,265.506
2010/09/28,266.377
2010/09/29,301.514
2010/09/30,296.19
2010/10/01,304.823
2010/10/02,311.028
2010/10/03,307.413
2010/10/04,303.967
2010/10/05,300.163
2010/10/06,296.024
2010/10/07,288.538
2010/10/08,283.407
2010/10/09,280.8
2010/10/10,274.619
2010/10/11,268.708
2010/10/12,264.082
2010/10/13,259.173
2010/10/14,252.904
2010/10/15,246.33
2010/10/16,242.244
2010/10/17,238.68
2010/10/18,244.571
2010/10/19,271.889
2010/10/20,283.316
2010/10/21,288.65
2010/10/22,298.931
2010/10/23,301.71
2010/10/24,304.632
2010/10/25,298.333
2010/10/26,296.956
2010/10/27,300.701
2010/10/28,298.527
2010/10/29,295.009
2010/10/30,287.202
2010/10/31,276.931
2010/11/01,270.29
2010/11/02,259.949
2010/11/03,253.307
2010/11/04,246.061
2010/11/05,244.574
2010/11/06,240.149
2010/11/07,238.204
2010/11/08,238.32
2010/11/09,235.332
2010/11/10,232.665
2010/11/11,229.009
2010/11/12,221.783
2010/11/13,215.216
2010/11/14,211.654
2010/11/15,499.354
2010/11/16,1042
2010/11/17,986.76
2010/11/18,1003
2010/11/19,1550
2010/11/20,2070
2010/11/21,2576
2010/11/22,2421
2010/11/23,2278
2010/11/24,2373
2010/11/25,2530
2010/11/26,2439
2010/11/27,2299
2010/11/28,2169
2010/11/29,2045
2010/11/30,1929
2010/12/01,1825
2010/12/02,1725
2010/12/03,1626
2010/12/04,1534
2010/12/05,1447
2010/12/06,1368
2010/12/07,1302
2010/12/08,1236
2010/12/09,1173
2010/12/10,1112
2010/12/11,1065
2010/12/12,1026
2010/12/13,992.78
2010/12/14,959.827
2010/12/15,926.677
2010/12/16,889.988
2010/12/17,851.666
2010/12/18,818.526
2010/12/19,789.396
2010/12/20,788.338
2010/12/21,765.477
2010/12/22,748.479
2010/12/23,724.319
2010/12/24,702.298
2010/12/25,687.053
2010/12/26,671.05
2010/12/27,650.982
2010/12/28,640.725
2010/12/29,621.84
2010/12/30,609.076
2010/12/31,595.135
2011/01/01,587.578
2011/01/02,575.089
2011/01/03,600.697
2011/01/04,616.006
2011/01/05,650.845
2011/01/06,644.532
2011/01/07,658.175
2011/01/08,697.39
2011/01/09,720.784
2011/01/10,748.475
2011/01/11,776.961
2011/01/12,791.028
2011/01/13,809.542
2011/01/14,827.056
2011/01/15,825.633
2011/01/16,821.205
2011/01/17,810.095
2011/01/18,801.508
2011/01/19,798.056
2011/01/20,794.181
2011/01/21,806.944
2011/01/22,835.98
2011/01/23,840.82
2011/01/24,859.541
2011/01/25,851.377
2011/01/26,849.675
2011/01/27,838.793
2011/01/28,844.226
2011/01/29,866.276
2011/01/30,967.548
2011/01/31,984.029
2011/02/01,975.317
2011/02/02,960.007
2011/02/03,938.651
2011/02/04,927.125
2011/02/05,909.44
2011/02/06,897.992
2011/02/07,884.509
2011/02/08,871.186
2011/02/09,881.754
2011/02/10,944.093
2011/02/11,1023
2011/02/12,1068
2011/02/13,1104
2011/02/14,1149
2011/02/15,1204
2011/02/16,1246
2011/02/17,1296
2011/02/18,1331
2011/02/19,1337
2011/02/20,1363
2011/02/21,1390
2011/02/22,1428
2011/02/23,1467
2011/02/24,1495
2011/02/25,1517
2011/02/26,1527
2011/02/27,1559
2011/02/28,1560
2011/03/01,1627
2011/03/02,1641
2011/03/03,1729
2011/03/04,1731
2011/03/05,1734
2011/03/06,1736
2011/03/07,1734
2011/03/08,1768
2011/03/09,1762
2011/03/10,1748
2011/03/11,1748
2011/03/12,1817
2011/03/13,1867
2011/03/14,1910
2011/03/15,1964
2011/03/16,2034
2011/03/17,2111
2011/03/18,2120
2011/03/19,2181
2011/03/20,2295
2011/03/21,2515
2011/03/22,2489
2011/03/23,2613
2011/03/24,2575
2011/03/25,2526
2011/03/26,2570
2011/03/27,2553
2011/03/28,2567
2011/03/29,2566
2011/03/30,2504
2011/03/31,2465
2011/04/01,2396
2011/04/02,2344
2011/04/03,2298
2011/04/04,2287
2011/04/05,2264
2011/04/06,2229
2011/04/07,2184
2011/04/08,2146
2011/04/09,2109
2011/04/10,2075
2011/04/11,2056
2011/04/12,2046
2011/04/13,2055
2011/04/14,2098
2011/04/15,2084
2011/04/16,2077
2011/04/17,2077
2011/04/18,2129
2011/04/19,2214
2011/04/20,2254
2011/04/21,2222
2011/04/22,2203
2011/04/23,2199
2011/04/24,2193
2011/04/25,2206
2011/04/26,2274
2011/04/27,2411
2011/04/28,2441
2011/04/29,2499
2011/04/30,2614
2011/05/01,2688
2011/05/02,2702
2011/05/03,2704
2011/05/04,2698
2011/05/05,2733
2011/05/06,2755
2011/05/07,2814
2011/05/08,2805
2011/05/09,2836
2011/05/10,2844
2011/05/11,2848
2011/05/12,2870
2011/05/13,2934
2011/05/14,3014
2011/05/15,3048
2011/05/16,3116
2011/05/17,3187
2011/05/18,3323
2011/05/19,3398
2011/05/20,3474
2011/05/21,3556
2011/05/22,3651
2011/05/23,3768
2011/05/24,3884
2011/05/25,4017
2011/05/26,4188
2011/05/27,4220
2011/05/28,4261
2011/05/29,4282
2011/05/30,4340
2011/05/31,4441
2011/06/01,4565
2011/06/02,4718
2011/06/03,4945
2011/06/04,5180
2011/06/05,5387
2011/06/06,5650
2011/06/07,5856
2011/06/08,6228
2011/06/09,6598
2011/06/10,6885
2011/06/11,7127
2011/06/12,7455
2011/06/13,7685
2011/06/14,8087
2011/06/15,8360
2011/06/16,8631
2011/06/17,8791
2011/06/18,8957
2011/06/19,9105
2011/06/20,9227
2011/06/21,9241
2011/06/22,9372
2011/06/23,9424
2011/06/24,9506
2011/06/25,9509
2011/06/26,9530
2011/06/27,9663
2011/06/28,9720
2011/06/29,9728
2011/06/30,9709
2011/07/01,9756
2011/07/02,9633
2011/07/03,9540
2011/07/04,9533
2011/07/05,9488
