Date,transactions30mom
2010/07/17,177
2010/07/18,205
2010/07/19,290
2010/07/20,370
2010/07/21,168
2010/07/22,150
2010/07/23,147
2010/07/24,634
2010/07/25,1532
2010/07/26,182
2010/07/27,204
2010/07/28,1714
2010/07/29,1592
2010/07/30,52
2010/07/31,19
2010/08/01,51
2010/08/02,82
2010/08/03,363
2010/08/04,123
2010/08/05,258
2010/08/06,150
2010/08/07,46
2010/08/08,123
2010/08/09,192
2010/08/10,-25
2010/08/11,-1462
2010/08/12,-612
2010/08/13,-5253
2010/08/14,-553
2010/08/15,-568
2010/08/16,71
2010/08/17,-59
2010/08/18,-110
2010/08/19,-223
2010/08/20,-26
2010/08/21,-52
2010/08/22,-63
2010/08/23,-549
2010/08/24,-1428
2010/08/25,-75
2010/08/26,-102
2010/08/27,-1669
2010/08/28,-1518
2010/08/29,-45
2010/08/30,88
2010/08/31,132
2010/09/01,67
2010/09/02,-256
2010/09/03,-41
2010/09/04,-204
2010/09/05,-66
2010/09/06,2
2010/09/07,-70
2010/09/08,-60
2010/09/09,40
2010/09/10,4
2010/09/11,-30
2010/09/12,-99
2010/09/13,112
2010/09/14,113
2010/09/15,-45
2010/09/16,30
2010/09/17,-91
2010/09/18,-28
2010/09/19,-84
2010/09/20,93
2010/09/21,484
2010/09/22,343
2010/09/23,257
2010/09/24,124
2010/09/25,167
2010/09/26,72
2010/09/27,205
2010/09/28,181
2010/09/29,631
2010/09/30,-38
2010/10/01,207
2010/10/02,236
2010/10/03,100
2010/10/04,161
2010/10/05,99
2010/10/06,116
2010/10/07,58
2010/10/08,35
2010/10/09,54
2010/10/10,2
2010/10/11,38
2010/10/12,-5
2010/10/13,-77
2010/10/14,-59
2010/10/15,-110
2010/10/16,-36
2010/10/17,34
2010/10/18,168
2010/10/19,522
2010/10/20,187
2010/10/21,-272
2010/10/22,-51
2010/10/23,-79
2010/10/24,74
2010/10/25,-118
2010/10/26,82
2010/10/27,-19
2010/10/28,-12
2010/10/29,-567
2010/10/30,-45
2010/10/31,-302
2010/11/01,-227
2010/11/02,-145
2010/11/03,-97
2010/11/04,-104
2010/11/05,-13
2010/11/06,-4
2010/11/07,1
2010/11/08,-3
2010/11/09,7
2010/11/10,11
2010/11/11,-21
2010/11/12,-71
2010/11/13,-42
2010/11/14,9
2010/11/15,4488
2010/11/16,8721
2010/11/17,-142
2010/11/18,569
2010/11/19,9033
2010/11/20,9249
2010/11/21,9456
2010/11/22,-162
2010/11/23,-146
2010/11/24,3552
2010/11/25,4525
2010/11/26,765
2010/11/27,-2
2010/11/28,38
2010/11/29,71
2010/11/30,124
2010/12/01,150
2010/12/02,162
2010/12/03,38
2010/12/04,48
2010/12/05,-28
2010/12/06,48
2010/12/07,124
2010/12/08,45
2010/12/09,71
2010/12/10,32
2010/12/11,199
2010/12/12,355
2010/12/13,385
2010/12/14,322
2010/12/15,-4225
2010/12/16,-8550
2010/12/17,108
2010/12/18,-899
2010/12/19,-9115
2010/12/20,-8842
2010/12/21,-9470
2010/12/22,322
2010/12/23,173
2010/12/24,-3376
2010/12/25,-4336
2010/12/26,-681
2010/12/27,95
2010/12/28,210
2010/12/29,103
2010/12/30,172
2010/12/31,69
2011/01/01,206
2011/01/02,199
2011/01/03,783
2011/01/04,643
2011/01/05,932
2011/01/06,219
2011/01/07,571
2011/01/08,1003
2011/01/09,834
2011/01/10,775
2011/01/11,718
2011/01/12,490
2011/01/13,596
2011/01/14,635
2011/01/15,447
2011/01/16,461
2011/01/17,311
2011/01/18,310
2011/01/19,-25
2011/01/20,304
2011/01/21,490
2011/01/22,883
2011/01/23,528
2011/01/24,665
2011/01/25,294
2011/01/26,465
2011/01/27,189
2011/01/28,575
2011/01/29,762
2011/01/30,2043
2011/01/31,745
2011/02/01,455
2011/02/02,-234
2011/02/03,-209
2011/02/04,-396
2011/02/05,100
2011/02/06,-124
2011/02/07,-577
2011/02/08,-382
2011/02/09,-115
2011/02/10,658
2011/02/11,1174
2011/02/12,638
2011/02/13,543
2011/02/14,1005
2011/02/15,1242
2011/02/16,1209
2011/02/17,1342
2011/02/18,1096
2011/02/19,684
2011/02/20,749
2011/02/21,519
2011/02/22,1074
2011/02/23,889
2011/02/24,1169
2011/02/25,1010
2011/02/26,995
2011/02/27,1102
2011/02/28,384
2011/03/01,163
2011/03/02,618
2011/03/03,2169
2011/03/04,1023
2011/03/05,1142
2011/03/06,997
2011/03/07,1062
2011/03/08,1521
2011/03/09,985
2011/03/10,873
2011/03/11,719
2011/03/12,968
2011/03/13,425
2011/03/14,815
2011/03/15,1118
2011/03/16,1237
2011/03/17,1227
2011/03/18,393
2011/03/19,1055
