Date,transactions30roc
2010/07/17,305.172
2010/07/18,476.744
2010/07/19,453.125
2010/07/20,860.465
2010/07/21,190.909
2010/07/22,211.268
2010/07/23,210
2010/07/24,892.958
2010/07/25,2553
2010/07/26,433.333
2010/07/27,364.286
2010/07/28,2197
2010/07/29,1676
2010/07/30,57.143
2010/07/31,26.027
2010/08/01,68.919
2010/08/02,110.811
2010/08/03,625.862
2010/08/04,168.493
2010/08/05,661.538
2010/08/06,241.935
2010/08/07,63.889
2010/08/08,178.261
2010/08/09,457.143
2010/08/10,-14.368
2010/08/11,-89.092
2010/08/12,-77.764
2010/08/13,-94.58
2010/08/14,-78.329
2010/08/15,-84.024
2010/08/16,30.213
2010/08/17,-23.79
2010/08/18,-31.073
2010/08/19,-53.995
2010/08/20,-10.156
2010/08/21,-23.529
2010/08/22,-29.032
2010/08/23,-77.872
2010/08/24,-89.698
2010/08/25,-33.482
2010/08/26,-39.231
2010/08/27,-93.136
2010/08/28,-89.982
2010/08/29,-31.469
2010/08/30,95.652
2010/08/31,105.6
2010/09/01,42.949
2010/09/02,-60.808
2010/09/03,-20.918
2010/09/04,-68.687
2010/09/05,-31.132
2010/09/06,1.695
2010/09/07,-36.458
2010/09/08,-25.641
2010/09/09,26.846
2010/09/10,2.235
2010/09/11,-17.143
2010/09/12,-32.89
2010/09/13,73.203
2010/09/14,104.63
2010/09/15,-14.706
2010/09/16,15.873
2010/09/17,-37.295
2010/09/18,-14.737
2010/09/19,-36.522
2010/09/20,55.03
2010/09/21,314.286
2010/09/22,219.872
2010/09/23,156.707
2010/09/24,83.221
2010/09/25,105.696
2010/09/26,58.537
2010/09/27,121.302
2010/09/28,184.694
2010/09/29,350.556
2010/09/30,-14.786
2010/10/01,92.825
2010/10/02,143.03
2010/10/03,64.516
2010/10/04,173.118
2010/10/05,67.808
2010/10/06,96.667
2010/10/07,47.541
2010/10/08,20.115
2010/10/09,28.571
2010/10/10,1.093
2010/10/11,26.207
2010/10/12,-2.475
2010/10/13,-29.057
2010/10/14,-26.697
2010/10/15,-42.146
2010/10/16,-16.438
2010/10/17,22.222
2010/10/18,103.704
2010/10/19,357.534
2010/10/20,71.374
2010/10/21,-42.633
2010/10/22,-10.22
2010/10/23,-18.765
2010/10/24,27.106
2010/10/25,-36.308
2010/10/26,42.051
2010/10/27,-5.08
2010/10/28,-4.301
2010/10/29,-69.914
2010/10/30,-20.548
2010/10/31,-70.233
2010/11/01,-56.608
2010/11/02,-56.863
2010/11/03,-38.189
2010/11/04,-42.449
2010/11/05,-5.508
2010/11/06,-2.222
2010/11/07,0.478
2010/11/08,-1.235
2010/11/09,3.784
2010/11/10,6.011
2010/11/11,-10.66
2010/11/12,-37.766
2010/11/13,-25.926
2010/11/14,5.96
2010/11/15,2452
2010/11/16,4664
2010/11/17,-43.03
2010/11/18,85.18
2010/11/19,2012
2010/11/20,2527
2010/11/21,2111
2010/11/22,-47.368
2010/11/23,-42.075
2010/11/24,1716
2010/11/25,1634
2010/11/26,215.493
2010/11/27,-0.749
2010/11/28,15.574
2010/11/29,40.805
2010/11/30,96.875
2010/12/01,86.207
2010/12/02,147.273
2010/12/03,24.204
2010/12/04,34.043
2010/12/05,-12.556
2010/12/06,27.273
2010/12/07,59.048
2010/12/08,18.75
2010/12/09,36.979
2010/12/10,16.495
2010/12/11,113.068
2010/12/12,303.419
2010/12/13,320.833
2010/12/14,201.25
2010/12/15,-90.452
2010/12/16,-95.981
2010/12/17,57.447
2010/12/18,-72.676
2010/12/19,-96.13
2010/12/20,-91.96
2010/12/21,-95.618
2010/12/22,178.889
2010/12/23,86.07
2010/12/24,-89.811
2010/12/25,-90.296
2010/12/26,-60.804
2010/12/27,35.849
2010/12/28,74.468
2010/12/29,42.041
2010/12/30,68.254
2010/12/31,21.296
2011/01/01,75.735
2011/01/02,102.051
2011/01/03,414.286
2011/01/04,329.744
2011/01/05,416.071
2011/01/06,65.569
2011/01/07,200.351
2011/01/08,381.369
2011/01/09,369.027
2011/01/10,206.667
2011/01/11,152.119
2011/01/12,97.03
2011/01/13,123.651
2011/01/14,142.377
2011/01/15,124.86
2011/01/16,155.743
2011/01/17,92.012
2011/01/18,84.469
2011/01/19,-3.234
2011/01/20,70.046
2011/01/21,97.61
2011/01/22,236.096
2011/01/23,137.859
2011/01/24,142.704
2011/01/25,66.97
2011/01/26,129.167
2011/01/27,38.415
2011/01/28,165.23
2011/01/29,179.717
2011/01/30,519.847
2011/01/31,155.858
2011/02/01,115.482
2011/02/02,-24.074
2011/02/03,-24.94
2011/02/04,-34.256
2011/02/05,18.083
2011/02/06,-14.486
2011/02/07,-45.577
2011/02/08,-36.038
2011/02/09,-10
2011/02/10,55.294
2011/02/11,117.99
2011/02/12,59.184
2011/02/13,50.231
2011/02/14,124.845
2011/02/15,164.069
2011/02/16,186.287
2011/02/17,198.227
2011/02/18,146.524
2011/02/19,92.683
2011/02/20,75.504
2011/02/21,41.289
2011/02/22,117.892
2011/02/23,78.603
2011/02/24,159.482
2011/02/25,122.424
2011/02/26,146.109
2011/02/27,119.393
2011/02/28,32.378
2011/03/01,6.691
2011/03/02,50.531
2011/03/03,255.477
2011/03/04,138.618
2011/03/05,181.558
2011/03/06,131.184
2011/03/07,162.634
2011/03/08,207.787
2011/03/09,142.961
2011/03/10,128.761
2011/03/11,69.469
2011/03/12,52.381
2011/03/13,19.594
2011/03/14,47.494
2011/03/15,68.842
2011/03/16,68.343
2011/03/17,61.381
2011/03/18,21.152
2011/03/19,52.254
2011/03/20,113.612
2011/03/21,301.336
2011/03/22,21.712
2011/03/23,148.48
2011/03/24,1.36
2011/03/25,-9.604
2011/03/26,68.086
2011/03/27,26.431
2011/03/28,64.857
2011/03/29,26.173
2011/03/30,1.911
2011/03/31,-27.126
2011/04/01,-23.791
2011/04/02,-47.25
2011/04/03,-7.439
2011/04/04,20.327
2011/04/05,9.562
2011/04/06,0.058
2011/04/07,-32.091
2011/04/08,-4.361
2011/04/09,1.676
2011/04/10,-10.433
2011/04/11,-36.79
2011/04/12,-26.214
2011/04/13,-13.987
2011/04/14,-0.766
2011/04/15,-38.234
2011/04/16,-38.593
2011/04/17,-7.73
2011/04/18,-6.083
2011/04/19,-12.567
2011/04/20,-50.499
2011/04/21,-16.564
2011/04/22,-56.47
2011/04/23,6.262
2011/04/24,15.608
2011/04/25,-24.93
2011/04/26,40.517
2011/04/27,59.139
2011/04/28,12.368
2011/04/29,108.375
2011/04/30,126.188
2011/05/01,168.71
2011/05/02,82.035
2011/05/03,68.037
2011/05/04,22.149
2011/05/05,68.571
