Date,transactions30rsi
2010/07/17,49.535
2010/07/18,49.591
2010/07/19,50.062
2010/07/20,50.329
2010/07/21,49.599
2010/07/22,49.434
2010/07/23,49.414
2010/07/24,51.81
2010/07/25,55.751
2010/07/26,49.316
2010/07/27,49.475
2010/07/28,55.597
2010/07/29,55.124
2010/07/30,48.8
2010/07/31,48.61
2010/08/01,48.744
2010/08/02,48.873
2010/08/03,49.991
2010/08/04,49.049
2010/08/05,49.491
2010/08/06,49.12
2010/08/07,48.703
2010/08/08,49.055
2010/08/09,49.26
2010/08/10,48.849
2010/08/11,49.004
2010/08/12,48.984
2010/08/13,49.671
2010/08/14,48.871
2010/08/15,48.625
2010/08/16,49.777
2010/08/17,49.104
2010/08/18,49.436
2010/08/19,49.11
2010/08/20,49.366
2010/08/21,48.978
2010/08/22,48.88
2010/08/23,48.894
2010/08/24,48.952
2010/08/25,48.845
2010/08/26,48.914
2010/08/27,48.647
2010/08/28,49.026
2010/08/29,48.456
2010/08/30,49.162
2010/08/31,49.83
2010/09/01,49.533
2010/09/02,49.017
2010/09/03,48.926
2010/09/04,48.351
2010/09/05,48.882
2010/09/06,48.628
2010/09/07,48.649
2010/09/08,49.214
2010/09/09,49.38
2010/09/10,49.313
2010/09/11,48.88
2010/09/12,49.567
2010/09/13,50.33
2010/09/14,49.786
2010/09/15,50.291
2010/09/16,49.747
2010/09/17,48.888
2010/09/18,49.012
2010/09/19,48.794
2010/09/20,50.448
2010/09/21,55.29
2010/09/22,53.298
2010/09/23,52.206
2010/09/24,50.189
2010/09/25,50.879
2010/09/26,49.119
2010/09/27,51.508
2010/09/28,50.213
2010/09/29,56.541
2010/09/30,49.325
2010/10/01,51.602
2010/10/02,51.274
2010/10/03,49.633
2010/10/04,49.622
2010/10/05,49.517
2010/10/06,49.41
2010/10/07,48.728
2010/10/08,49.104
2010/10/09,49.553
2010/10/10,48.793
2010/10/11,48.767
2010/10/12,48.969
2010/10/13,48.841
2010/10/14,48.462
2010/10/15,48.298
2010/10/16,48.819
2010/10/17,48.886
2010/10/18,51.233
2010/10/19,56.156
2010/10/20,52.597
2010/10/21,51.322
2010/10/22,52.499
2010/10/23,50.854
2010/10/24,50.929
2010/10/25,48.773
2010/10/26,49.871
2010/10/27,51.079
2010/10/28,49.682
2010/10/29,49.317
2010/10/30,48.202
2010/10/31,47.473
2010/11/01,48.283
2010/11/02,47.235
2010/11/03,48.091
2010/11/04,47.818
2010/11/05,49.343
2010/11/06,48.502
2010/11/07,49.15
2010/11/08,49.728
2010/11/09,48.81
2010/11/10,48.851
2010/11/11,48.492
2010/11/12,47.314
2010/11/13,47.381
2010/11/14,48.291
2010/11/15,82.871
2010/11/16,89.618
2010/11/17,48.744
2010/11/18,51.497
2010/11/19,66.24
2010/11/20,66.411
2010/11/21,66.787
2010/11/22,48.033
2010/11/23,48.066
2010/11/24,53.208
2010/11/25,54.572
2010/11/26,49.321
2010/11/27,48.207
2010/11/28,48.231
2010/11/29,48.181
2010/11/30,48.192
2010/12/01,48.304
2010/12/02,48.226
2010/12/03,48.107
2010/12/04,48.097
2010/12/05,48.108
2010/12/06,48.161
2010/12/07,48.37
2010/12/08,48.28
2010/12/09,48.239
2010/12/10,48.167
2010/12/11,48.487
2010/12/12,48.7
2010/12/13,48.775
2010/12/14,48.724
2010/12/15,48.641
2010/12/16,48.434
2010/12/17,48.283
2010/12/18,48.396
2010/12/19,48.475
2010/12/20,49.604
2010/12/21,48.683
2010/12/22,48.88
2010/12/23,48.517
2010/12/24,48.545
2010/12/25,48.809
2010/12/26,48.725
2010/12/27,48.472
2010/12/28,48.929
2010/12/29,48.444
2010/12/30,48.722
2010/12/31,48.611
2011/01/01,48.94
2011/01/02,48.622
2011/01/03,50.89
2011/01/04,50.357
2011/01/05,51.602
2011/01/06,49.183
2011/01/07,50.392
2011/01/08,51.991
2011/01/09,51.134
2011/01/10,51.495
2011/01/11,51.66
2011/01/12,50.792
2011/01/13,51.153
2011/01/14,51.167
2011/01/15,49.865
2011/01/16,49.637
2011/01/17,49.116
2011/01/18,49.259
2011/01/19,49.63
2011/01/20,49.577
2011/01/21,50.949
2011/01/22,52.347
2011/01/23,50.406
2011/01/24,51.587
2011/01/25,49.386
2011/01/26,49.897
2011/01/27,49.094
2011/01/28,50.479
2011/01/29,51.949
2011/01/30,58.069
2011/01/31,51.486
2011/02/01,49.69
2011/02/02,49.163
2011/02/03,48.639
2011/02/04,49.311
2011/02/05,48.772
2011/02/06,49.196
2011/02/07,48.968
2011/02/08,48.908
2011/02/09,50.927
2011/02/10,55.108
2011/02/11,56.617
2011/02/12,53.968
2011/02/13,53.443
2011/02/14,54.372
2011/02/15,55.309
2011/02/16,54.446
2011/02/17,55.27
2011/02/18,54.168
2011/02/19,51.6
2011/02/20,53.33
2011/02/21,53.519
2011/02/22,54.651
2011/02/23,54.841
2011/02/24,54.049
2011/02/25,53.595
2011/02/26,52.51
2011/02/27,54.596
2011/02/28,51.543
2011/03/01,57.149
2011/03/02,52.519
2011/03/03,57.987
2011/03/04,51.442
2011/03/05,51.487
2011/03/06,51.418
2011/03/07,51.205
2011/03/08,53.747
2011/03/09,50.8
2011/03/10,50.196
2011/03/11,51.188
2011/03/12,55.938
2011/03/13,54.785
2011/03/14,54.456
2011/03/15,55.385
2011/03/16,56.707
2011/03/17,57.472
2011/03/18,52.269
2011/03/19,55.766
2011/03/20,59.029
2011/03/21,64.558
2011/03/22,50.306
2011/03/23,56.637
2011/03/24,49.772
2011/03/25,49.293
2011/03/26,52.759
2011/03/27,50.476
2011/03/28,51.571
2011/03/29,51.023
2011/03/30,48.571
2011/03/31,49.346
2011/04/01,48.094
2011/04/02,48.613
2011/04/03,48.72
2011/04/04,50.132
2011/04/05,49.552
2011/04/06,48.957
2011/04/07,48.422
2011/04/08,48.643
2011/04/09,48.57
2011/04/10,48.551
2011/04/11,49.261
2011/04/12,49.721
2011/04/13,50.629
2011/04/14,52.467
2011/04/15,49.526
2011/04/16,49.869
2011/04/17,50.208
2011/04/18,52.987
2011/04/19,54.782
2011/04/20,52.478
2011/04/21,48.85
2011/04/22,49.374
2011/04/23,50.124
2011/04/24,50.028
2011/04/25,51.06
2011/04/26,53.983
2011/04/27,57.458
2011/04/28,52.005
2011/04/29,53.394
2011/04/30,56.09
2011/05/01,54.33
2011/05/02,51.496
2011/05/03,50.994
2011/05/04,50.558
2011/05/05,52.54
2011/05/06,51.959
2011/05/07,53.794
2011/05/08,50.495
2011/05/09,52.315
2011/05/10,51.306
2011/05/11,51.079
2011/05/12,52.013
2011/05/13,54.073
2011/05/14,55.019
2011/05/15,52.797
2011/05/16,54.485
2011/05/17,54.802
2011/05/18,57.945
2011/05/19,55.026
2011/05/20,55.267
2011/05/21,55.768
2011/05/22,56.617
2011/05/23,57.873
2011/05/24,58.185
2011/05/25,59.308
2011/05/26,61.318
2011/05/27,53.748
2011/05/28,54.254
2011/05/29,53.255
2011/05/30,55.086
2011/05/31,57.164
2011/06/01,58.362
2011/06/02,59.931
2011/06/03,63.065
2011/06/04,63.852
2011/06/05,63.041
2011/06/06,65.468
2011/06/07,62.956
2011/06/08,68.448
2011/06/09,68.999
2011/06/10,65.676
2011/06/11,64.262
2011/06/12,67.115
2011/06/13,63.149
2011/06/14,67.922
2011/06/15,63.275
2011/06/16,63.665
2011/06/17,59.693
2011/06/18,60.145
2011/06/19,59.828
2011/06/20,59.116
2011/06/21,55.071
2011/06/22,58.518
2011/06/23,55.867
2011/06/24,56.855
2011/06/25,54.112
2011/06/26,54.672
2011/06/27,57.913
2011/06/28,55.507
2011/06/29,53.858
2011/06/30,52.997
2011/07/01,54.904
2011/07/02,49.465
2011/07/03,50.158
2011/07/04,52.533
2011/07/05,51.288
2011/07/06,54.128
2011/07/07,51.474
2011/07/08,50.145
2011/07/09,48.887
2011/07/10,49.973
2011/07/11,53.847
2011/07/12,49.421
2011/07/13,51.173
2011/07/14,50.394
2011/07/15,49.07
2011/07/16,50.678
2011/07/17,49.74
2011/07/18,50.842
2011/07/19,51.28
2011/07/20,50.632
2011/07/21,49.254
2011/07/22,50.884
2011/07/23,47.869
2011/07/24,49.417
2011/07/25,51.808
2011/07/26,49.65
2011/07/27,48.951
2011/07/28,49.235
2011/07/29,47.678
2011/07/30,45.669
2011/07/31,49.432
2011/08/01,49.636
2011/08/02,50.866
2011/08/03,48.759
2011/08/04,49.943
2011/08/05,48.101
2011/08/06,47.147
2011/08/07,46.904
2011/08/08,48.085
2011/08/09,52.004
2011/08/10,50.207
2011/08/11,48.788
2011/08/12,47.965
2011/08/13,48.461
2011/08/14,48.614
2011/08/15,50.568
2011/08/16,53.087
2011/08/17,49.115
2011/08/18,48.495
2011/08/19,48.944
2011/08/20,48.038
2011/08/21,49.066
2011/08/22,49.374
2011/08/23,48.237
2011/08/24,48.497
2011/08/25,48.21
2011/08/26,48.626
2011/08/27,46.261
2011/08/28,44.6
2011/08/29,50.553
2011/08/30,49.887
2011/08/31,48.727
2011/09/01,48.586
2011/09/02,48.118
2011/09/03,45.688
2011/09/04,48.975
2011/09/05,48.431
2011/09/06,50.316
2011/09/07,48.641
2011/09/08,47.324
2011/09/09,49.39
2011/09/10,46.388
2011/09/11,47.498
2011/09/12,47.801
2011/09/13,47.652
2011/09/14,46.9
2011/09/15,47.599
2011/09/16,47.046
2011/09/17,45.211
2011/09/18,46.632
2011/09/19,48.529
2011/09/20,52.25
2011/09/21,51.045
2011/09/22,47.305
2011/09/23,47.826
2011/09/24,46.437
2011/09/25,46.405
2011/09/26,46.212
2011/09/27,47.516
2011/09/28,47.265
2011/09/29,46.219
2011/09/30,47.052
2011/10/01,45.708
2011/10/02,44.887
2011/10/03,49.239
2011/10/04,47.439
2011/10/05,47.252
2011/10/06,47.726
2011/10/07,47.04
2011/10/08,46.337
2011/10/09,46.49
2011/10/10,47.9
2011/10/11,48.156
2011/10/12,48.131
2011/10/13,45.25
2011/10/14,48.895
2011/10/15,47.312
2011/10/16,45.622
2011/10/17,48.25
2011/10/18,45.63
2011/10/19,46.46
2011/10/20,45.16
2011/10/21,46.987
2011/10/22,46.785
2011/10/23,48.394
2011/10/24,49.397
2011/10/25,47.201
2011/10/26,47.399
2011/10/27,45.637
2011/10/28,47.169
2011/10/29,48.779
2011/10/30,46.85
2011/10/31,47.487
2011/11/01,49.469
2011/11/02,50.178
2011/11/03,51.161
2011/11/04,52.052
2011/11/05,49.881
2011/11/06,46.926
2011/11/07,48.6
2011/11/08,50.247
2011/11/09,51.718
2011/11/10,52.093
2011/11/11,47.302
2011/11/12,47.337
2011/11/13,48.216
2011/11/14,50.089
2011/11/15,50.696
2011/11/16,50.595
2011/11/17,46.818
2011/11/18,47.618
2011/11/19,46.172
2011/11/20,47.613
2011/11/21,46.498
2011/11/22,49.11
2011/11/23,49.522
2011/11/24,47.551
2011/11/25,49.219
2011/11/26,46.74
2011/11/27,47.929
2011/11/28,51.003
2011/11/29,52.603
2011/11/30,53.979
2011/12/01,52.021
2011/12/02,52.028
2011/12/03,49.491
2011/12/04,48.677
2011/12/05,51.648
2011/12/06,57.009
2011/12/07,50.895
2011/12/08,49.853
2011/12/09,49.196
2011/12/10,49.493
2011/12/11,48.159
2011/12/12,47.005
2011/12/13,48.833
2011/12/14,49.715
2011/12/15,47.172
2011/12/16,48.225
2011/12/17,47.578
2011/12/18,46.451
2011/12/19,50.539
2011/12/20,52.044
2011/12/21,49.637
2011/12/22,50.551
2011/12/23,49.984
2011/12/24,46.729
2011/12/25,48.743
2011/12/26,49.894
2011/12/27,48.617
2011/12/28,47.912
2011/12/29,48.709
2011/12/30,48.16
2011/12/31,48.441
2012/01/01,47.959
2012/01/02,49.505
2012/01/03,50.811
2012/01/04,50.689
2012/01/05,55.105
2012/01/06,53.636
2012/01/07,50.818
2012/01/08,52.599
2012/01/09,51.512
2012/01/10,53.507
2012/01/11,54.975
2012/01/12,53.255
2012/01/13,53.813
2012/01/14,53.613
2012/01/15,51.697
2012/01/16,53.902
2012/01/17,53.085
2012/01/18,52.777
2012/01/19,53.631
2012/01/20,53.132
2012/01/21,51.304
2012/01/22,47.361
2012/01/23,50.254
2012/01/24,54.445
2012/01/25,56.603
2012/01/26,51.601
2012/01/27,50.697
2012/01/28,49.24
2012/01/29,50.913
2012/01/30,49.955
2012/01/31,52.591
2012/02/01,51.138
2012/02/02,53.218
2012/02/03,52.81
2012/02/04,53.425
2012/02/05,51.763
2012/02/06,49.48
2012/02/07,52.469
2012/02/08,52.482
2012/02/09,54.008
2012/02/10,57.01
2012/02/11,54.056
2012/02/12,51.747
2012/02/13,54.74
2012/02/14,58.766
2012/02/15,58.235
2012/02/16,58.745
2012/02/17,49.84
2012/02/18,49.061
2012/02/19,47.568
2012/02/20,48.749
2012/02/21,49.023
2012/02/22,51.205
2012/02/23,53.456
2012/02/24,50.305
2012/02/25,48.529
2012/02/26,47.262
2012/02/27,49.883
2012/02/28,49.838
2012/02/29,49.765
2012/03/01,50.126
2012/03/02,52.624
2012/03/03,45.826
2012/03/04,49.637
2012/03/05,50.627
2012/03/06,49.045
2012/03/07,49.718
2012/03/08,49.718
2012/03/09,49.308
2012/03/10,46.274
2012/03/11,45.974
2012/03/12,48.612
2012/03/13,52.056
2012/03/14,50.725
2012/03/15,49.104
2012/03/16,50.796
2012/03/17,50.582
2012/03/18,48.297
2012/03/19,50.074
2012/03/20,50.535
2012/03/21,51.012
2012/03/22,49.792
2012/03/23,48.631
2012/03/24,49.126
2012/03/25,48.715
