Date,transactions30trx
2010/07/17,9.302
2010/07/18,9.59
2010/07/19,9.526
2010/07/20,9.253
2010/07/21,8.818
2010/07/22,8.29
2010/07/23,7.722
2010/07/24,7.237
2010/07/25,6.971
2010/07/26,6.618
2010/07/27,6.224
2010/07/28,6.032
2010/07/29,5.956
2010/07/30,5.751
2010/07/31,5.459
2010/08/01,5.117
2010/08/02,4.754
2010/08/03,4.412
2010/08/04,4.069
2010/08/05,3.741
2010/08/06,3.423
2010/08/07,3.109
2010/08/08,2.809
2010/08/09,2.529
2010/08/10,2.259
2010/08/11,2.005
2010/08/12,1.765
2010/08/13,1.548
2010/08/14,1.342
2010/08/15,1.141
2010/08/16,0.963
2010/08/17,0.795
2010/08/18,0.642
2010/08/19,0.497
2010/08/20,0.364
2010/08/21,0.238
2010/08/22,0.116
2010/08/23,-0.001
2010/08/24,-0.111
2010/08/25,-0.216
2010/08/26,-0.316
2010/08/27,-0.412
2010/08/28,-0.502
2010/08/29,-0.591
2010/08/30,-0.672
2010/08/31,-0.741
2010/09/01,-0.8
2010/09/02,-0.856
2010/09/03,-0.91
2010/09/04,-0.964
2010/09/05,-1.016
2010/09/06,-1.067
2010/09/07,-1.116
2010/09/08,-1.16
2010/09/09,-1.197
2010/09/10,-1.228
2010/09/11,-1.257
2010/09/12,-1.279
2010/09/13,-1.29
2010/09/14,-1.295
2010/09/15,-1.29
2010/09/16,-1.281
2010/09/17,-1.273
2010/09/18,-1.267
2010/09/19,-1.262
2010/09/20,-1.248
2010/09/21,-1.192
2010/09/22,-1.111
2010/09/23,-1.018
2010/09/24,-0.929
2010/09/25,-0.839
2010/09/26,-0.763
2010/09/27,-0.681
2010/09/28,-0.603
2010/09/29,-0.477
2010/09/30,-0.372
2010/10/01,-0.264
2010/10/02,-0.158
2010/10/03,-0.069
2010/10/04,0.003
2010/10/05,0.061
2010/10/06,0.104
2010/10/07,0.13
2010/10/08,0.144
2010/10/09,0.151
2010/10/10,0.147
2010/10/11,0.133
2010/10/12,0.114
2010/10/13,0.089
2010/10/14,0.057
2010/10/15,0.018
2010/10/16,-0.022
2010/10/17,-0.063
2010/10/18,-0.089
2010/10/19,-0.069
2010/10/20,-0.033
2010/10/21,0.007
2010/10/22,0.058
2010/10/23,0.106
2010/10/24,0.153
2010/10/25,0.183
2010/10/26,0.206
2010/10/27,0.232
2010/10/28,0.249
