Date,transactions3sma
2010/07/17,539
2010/07/18,386.333
2010/07/19,279
2010/07/20,338.333
2010/07/21,341
2010/07/22,296.667
2010/07/23,231.333
2010/07/24,381
2010/07/25,838
2010/07/26,840.333
2010/07/27,692
2010/07/28,758.667
2010/07/29,1246
2010/07/30,1207
2010/07/31,640.667
2010/08/01,120
2010/08/02,124.333
2010/08/03,234
2010/08/04,257.667
2010/08/05,304.667
2010/08/06,235
2010/08/07,209
2010/08/08,174
2010/08/09,181.333
2010/08/10,191.667
2010/08/11,187.333
2010/08/12,167.667
2010/08/13,218.333
2010/08/14,209.667
2010/08/15,187.333
2010/08/16,189
2010/08/17,201
2010/08/18,246.333
2010/08/19,207.667
2010/08/20,221.333
2010/08/21,196.333
2010/08/22,184.333
2010/08/23,159.667
2010/08/24,158
2010/08/25,156.333
2010/08/26,157
2010/08/27,143.333
2010/08/28,150
2010/08/29,130
2010/08/30,149
2010/08/31,178.333
2010/09/01,220
2010/09/02,215
2010/09/03,181
2010/09/04,137.667
2010/09/05,131.333
2010/09/06,119.667
2010/09/07,129.333
2010/09/08,138.667
2010/09/09,161.667
2010/09/10,182
2010/09/11,172.333
2010/09/12,176.667
2010/09/13,204
2010/09/14,229.333
2010/09/15,249
2010/09/16,233.667
2010/09/17,211
2010/09/18,178
2010/09/19,153.667
2010/09/20,190
2010/09/21,348.667
2010/09/22,466.333
2010/09/23,519.333
2010/09/24,397.667
2010/09/25,339.667
2010/09/26,264.333
2010/09/27,298
2010/09/28,282.667
2010/09/29,488
2010/09/30,436.333
2010/10/01,486.667
2010/10/02,350
2010/10/03,362
2010/10/04,303.333
2010/10/05,251.333
2010/10/06,245
2010/10/07,220.333
2010/10/08,208.333
2010/10/09,210.667
2010/10/10,212.333
2010/10/11,203.667
2010/10/12,188.333
2010/10/13,189.333
2010/10/14,182.333
2010/10/15,167
2010/10/16,165.333
2010/10/17,173.667
2010/10/18,233.333
2010/10/19,395
2010/10/20,482.333
2010/10/21,494.333
2010/10/22,421
2010/10/23,385.333
2010/10/24,379
2010/10/25,298.667
2010/10/26,277
2010/10/27,279.667
2010/10/28,299.667
2010/10/29,288.667
2010/10/30,228.333
2010/10/31,182
2010/11/01,158.667
2010/11/02,137.333
2010/11/03,147
2010/11/04,136
2010/11/05,173.667
2010/11/06,180
2010/11/07,203
2010/11/08,208.667
2010/11/09,214
2010/11/10,208.667
2010/11/11,187.333
2010/11/12,162.333
2010/11/13,137.667
2010/11/14,132.333
2010/11/15,1650
2010/11/16,4580
2010/11/17,4589
2010/11/18,3444
2010/11/19,3636
2010/11/20,6778
2010/11/21,9667
2010/11/22,6566
2010/11/23,3428
2010/11/24,1380
2010/11/25,2921
2010/11/26,3227
2010/11/27,2062
2010/11/28,555.667
2010/11/29,264
2010/11/30,259.667
2010/12/01,273.667
2010/12/02,282.667
2010/12/03,263.667
2010/12/04,218.667
2010/12/05,193
2010/12/06,202.667
2010/12/07,251
2010/12/08,281
2010/12/09,294
2010/12/10,258
2010/12/11,288
2010/12/12,357.667
2010/12/13,450.667
2010/12/14,486.333
2010/12/15,477.667
2010/12/16,428.667
2010/12/17,366.667
2010/12/18,330.667
2010/12/19,333.667
2010/12/20,492.667
2010/12/21,524.667
2010/12/22,569.667
2010/12/23,436.667
2010/12/24,419.667
2010/12/25,407.667
2010/12/26,429.333
2010/12/27,421.667
2010/12/28,430.333
2010/12/29,400
2010/12/30,421.333
2010/12/31,388.333
2011/01/01,431.667
2011/01/02,421.667
2011/01/03,614.667
2011/01/04,734.667
2011/01/05,988.667
