Date,transactions3wma
2010/07/17,460.5
2010/07/18,315
2010/07/19,298.833
2010/07/20,365.833
2010/07/21,324.667
2010/07/22,264.667
2010/07/23,224.833
2010/07/24,461.667
2010/07/25,1067
2010/07/26,760.167
2010/07/27,470
2010/07/28,1020
2010/07/29,1484
2010/07/30,932.5
2010/07/31,374.833
2010/08/01,117
2010/08/02,135
2010/08/03,283.333
2010/08/04,264.333
2010/08/05,284
2010/08/06,237.667
2010/08/07,179.167
2010/08/08,170.667
2010/08/09,200.667
2010/08/10,184.5
2010/08/11,178.167
2010/08/12,172
2010/08/13,238.667
2010/08/14,206
2010/08/15,155.167
2010/08/16,214.5
2010/08/17,214.5
2010/08/18,236
2010/08/19,207.833
2010/08/20,219
2010/08/21,192.833
2010/08/22,171.667
2010/08/23,157.5
2010/08/24,159.667
2010/08/25,155.167
2010/08/26,156
2010/08/27,139
2010/08/28,151.833
2010/08/29,125.833
2010/08/30,150.833
2010/08/31,204.833
2010/09/01,227.167
2010/09/02,199.667
2010/09/03,169.667
2010/09/04,125.667
2010/09/05,129.833
2010/09/06,124.167
2010/09/07,125.333
2010/09/08,147.667
2010/09/09,172.833
2010/09/10,183.5
2010/09/11,165
2010/09/12,179.833
2010/09/13,224
2010/09/14,232.5
2010/09/15,248.333
2010/09/16,233.333
2010/09/17,193
2010/09/18,168.5
2010/09/19,152.5
2010/09/20,206.667
2010/09/21,430.667
2010/09/22,505.833
2010/09/23,483.167
2010/09/24,360
2010/09/25,323.667
2010/09/26,251.333
2010/09/27,306.167
2010/09/28,296.667
2010/09/29,560.833
2010/09/30,426.333
2010/10/01,423.167
2010/10/02,380.333
2010/10/03,332.833
2010/10/04,278.833
2010/10/05,249.667
2010/10/06,242
2010/10/07,209.5
2010/10/08,203.833
2010/10/09,221.167
2010/10/10,208.333
2010/10/11,193.667
2010/10/12,190.333
2010/10/13,190.167
2010/10/14,176.5
2010/10/15,160.833
2010/10/16,168.833
2010/10/17,179.667
2010/10/18,257.833
2010/10/19,475.167
2010/10/20,502.167
2010/10/21,444
2010/10/22,420.833
2010/10/23,381.333
2010/10/24,362.167
2010/10/25,276.167
2010/10/26,265.333
2010/10/27,304.333
2010/10/28,298
2010/10/29,270.167
2010/10/30,212.833
2010/10/31,162.667
2010/11/01,158.667
2010/11/02,134.333
2010/11/03,144.167
2010/11/04,141.167
2010/11/05,184.667
2010/11/06,185.833
2010/11/07,200.833
2010/11/08,219.333
2010/11/09,211
2010/11/10,201
2010/11/11,184.667
2010/11/12,149.5
2010/11/13,128.333
2010/11/14,139.5
2010/11/15,2409
2010/11/16,6038
2010/11/17,3842
2010/11/18,2166
2010/11/19,5185
2010/11/20,8174
2010/11/21,9737
2010/11/22,4994
2010/11/23,1811
2010/11/24,1977
2010/11/25,3688
2010/11/26,2787
2010/11/27,1306
2010/11/28,416
2010/11/29,260.667
2010/11/30,254.667
2010/12/01,286.833
2010/12/02,286
2010/12/03,242.167
2010/12/04,204.833
2010/12/05,193
2010/12/06,208.5
2010/12/07,274.167
2010/12/08,291.167
2010/12/09,282.167
2010/12/10,248.167
2010/12/11,306.667
2010/12/12,398.667
2010/12/13,472.333
2010/12/14,488
2010/12/15,467.833
2010/12/16,408
2010/12/17,341.667
2010/12/18,327.333
2010/12/19,345.5
2010/12/20,565.167
2010/12/21,535.833
2010/12/22,524.5
2010/12/23,426.667
2010/12/24,399.833
2010/12/25,423
2010/12/26,438.667
2010/12/27,404
2010/12/28,439.167
2010/12/29,398
2010/12/30,410
2010/12/31,395.833
2011/01/01,440.667
2011/01/02,421.833
2011/01/03,697
2011/01/04,808.667
2011/01/05,1019
2011/01/06,801.5
2011/01/07,805
2011/01/08,1011
2011/01/09,1095
2011/01/10,1139
2011/01/11,1155
2011/01/12,1086
2011/01/13,1069
2011/01/14,1066
2011/01/15,942.5
2011/01/16,827
2011/01/17,711
2011/01/18,681
2011/01/19,707.833
2011/01/20,731.167
2011/01/21,866.667
2011/01/22,1082
2011/01/23,1040
2011/01/24,1079
2011/01/25,895.333
2011/01/26,845.333
2011/01/27,737.667
2011/01/28,826
2011/01/29,1014
2011/01/30,1767
2011/01/31,1621
2011/02/01,1238
2011/02/02,855.833
2011/02/03,702
2011/02/04,712.667
2011/02/05,684.667
2011/02/06,710.333
2011/02/07,697.333
2011/02/08,690.667
2011/02/09,858.333
2011/02/10,1382
2011/02/11,1873
2011/02/12,1889
2011/02/13,1746
2011/02/14,1732
2011/02/15,1874
2011/02/16,1897
2011/02/17,1962
2011/02/18,1905
2011/02/19,1662
