Date,transactions7var
2010/07/17,3079368
2010/07/18,3054199
2010/07/19,3170869
2010/07/20,3234571
2010/07/21,34579
2010/07/22,22722
2010/07/23,4886
2010/07/24,26199
2010/07/25,210190
2010/07/26,219051
2010/07/27,226520
2010/07/28,409900
2010/07/29,465787
2010/07/30,481433
2010/07/31,564176
2010/08/01,507112
2010/08/02,515325
2010/08/03,502498
2010/08/04,284920
2010/08/05,11516
2010/08/06,10891
2010/08/07,10066
2010/08/08,8838
2010/08/09,7991
2010/08/10,2873
2010/08/11,2927
2010/08/12,1274
2010/08/13,3061
2010/08/14,2465
2010/08/15,3463
2010/08/16,5094
2010/08/17,4754
2010/08/18,4852
2010/08/19,4726
2010/08/20,3558
2010/08/21,3362
2010/08/22,2344
2010/08/23,1058
2010/08/24,1144
2010/08/25,694.408
2010/08/26,665.673
2010/08/27,189.633
2010/08/28,189.633
2010/08/29,562.204
2010/08/30,706.204
2010/08/31,2171
2010/09/01,2567
2010/09/02,2544
2010/09/03,2207
2010/09/04,3113
2010/09/05,2445
2010/09/06,2785
2010/09/07,1490
2010/09/08,710.204
2010/09/09,957.061
2010/09/10,1151
2010/09/11,684.408
2010/09/12,938.122
2010/09/13,1767
2010/09/14,1245
2010/09/15,1601
2010/09/16,1536
2010/09/17,1909
2010/09/18,1632
2010/09/19,2173
2010/09/20,2122
2010/09/21,25508
2010/09/22,32308
2010/09/23,32803
2010/09/24,28639
2010/09/25,23463
2010/09/26,20673
2010/09/27,18648
2010/09/28,8919
2010/09/29,35190
2010/09/30,37969
2010/10/01,37366
2010/10/02,36963
2010/10/03,34113
2010/10/04,36615
2010/10/05,37723
2010/10/06,6344
2010/10/07,7338
2010/10/08,4216
2010/10/09,650.204
2010/10/10,784.49
2010/10/11,746.816
2010/10/12,570.49
2010/10/13,423.551
2010/10/14,555.061
2010/10/15,739.714
2010/10/16,220.531
2010/10/17,224.776
2010/10/18,3051
2010/10/19,29850
2010/10/20,32300
2010/10/21,29103
2010/10/22,24423
2010/10/23,18758
2010/10/24,12221
2010/10/25,17286
2010/10/26,6498
2010/10/27,4867
2010/10/28,5178
2010/10/29,2838
2010/10/30,3860
2010/10/31,4745
2010/11/01,5152
2010/11/02,6386
2010/11/03,2838
2010/11/04,1619
2010/11/05,1176
2010/11/06,1185
2010/11/07,1296
2010/11/08,1902
2010/11/09,1095
2010/11/10,900.531
2010/11/11,494.816
2010/11/12,1222
2010/11/13,1773
2010/11/14,1628
2010/11/15,2492754
2010/11/16,10270272
2010/11/17,10273457
2010/11/18,9843644
2010/11/19,15008919
2010/11/20,16775764
2010/11/21,15221099
2010/11/22,19763608
2010/11/23,20928925
2010/11/24,18191935
2010/11/25,16005790
2010/11/26,14864121
2010/11/27,11172207
2010/11/28,3226791
2010/11/29,3202505
2010/11/30,3183533
2010/12/01,2442835
2010/12/02,88344
2010/12/03,1319
2010/12/04,1964
2010/12/05,2127
2010/12/06,2144
2010/12/07,3346
2010/12/08,2681
2010/12/09,2613
2010/12/10,2326
2010/12/11,3579
2010/12/12,6903
2010/12/13,9564
2010/12/14,11509
2010/12/15,10655
2010/12/16,8161
2010/12/17,5098
2010/12/18,5733
2010/12/19,5338
2010/12/20,22261
2010/12/21,21928
2010/12/22,22563
2010/12/23,22227
2010/12/24,19561
2010/12/25,17361
2010/12/26,15851
2010/12/27,2348
2010/12/28,2949
2010/12/29,2723
2010/12/30,2531
2010/12/31,2449
2011/01/01,2633
2011/01/02,2626
2011/01/03,39271
2011/01/04,53125
2011/01/05,86533
2011/01/06,79689
2011/01/07,67518
2011/01/08,82410
2011/01/09,47642
2011/01/10,52270
2011/01/11,52888
2011/01/12,50404
2011/01/13,15604
2011/01/14,7081
2011/01/15,13498
2011/01/16,23985
2011/01/17,34394
2011/01/18,29452
2011/01/19,27617
2011/01/20,17473
2011/01/21,10771
2011/01/22,40750
2011/01/23,40392
2011/01/24,40726
2011/01/25,37190
2011/01/26,33912
2011/01/27,37616
2011/01/28,37033
2011/01/29,30875
2011/01/30,314836
2011/01/31,315880
2011/02/01,303911
2011/02/02,313175
2011/02/03,320445
2011/02/04,333831
2011/02/05,358153
2011/02/06,34602
2011/02/07,4632
2011/02/08,1980
2011/02/09,16260
2011/02/10,159754
2011/02/11,341026
2011/02/12,339117
2011/02/13,300270
2011/02/14,228297
2011/02/15,111240
2011/02/16,27697
2011/02/17,30663
2011/02/18,17226
2011/02/19,38106
2011/02/20,34013
2011/02/21,34187
2011/02/22,33448
2011/02/23,39049
2011/02/24,34393
2011/02/25,34323
2011/02/26,13951
2011/02/27,15156
2011/02/28,26970
2011/03/01,95236
2011/03/02,95412
2011/03/03,241813
2011/03/04,247675
2011/03/05,238086
2011/03/06,251366
2011/03/07,234250
2011/03/08,196218
2011/03/09,208010
2011/03/10,41790
2011/03/11,41841
2011/03/12,172231
2011/03/13,216302
2011/03/14,219499
2011/03/15,260715
2011/03/16,270522
2011/03/17,191694
2011/03/18,91463
2011/03/19,104931
2011/03/20,254693
2011/03/21,1088879
2011/03/22,1258259
2011/03/23,1373337
2011/03/24,1660188
2011/03/25,1816883
2011/03/26,1810844
2011/03/27,1843686
2011/03/28,699371
2011/03/29,654721
2011/03/30,268250
2011/03/31,280498
2011/04/01,360643
2011/04/02,240628
2011/04/03,239417
2011/04/04,136027
2011/04/05,53999
2011/04/06,51030
2011/04/07,52887
2011/04/08,40668
2011/04/09,41296
2011/04/10,43408
2011/04/11,17434
2011/04/12,16652
2011/04/13,48752
2011/04/14,152442
2011/04/15,137635
2011/04/16,115028
2011/04/17,83821
2011/04/18,140256
2011/04/19,286948
2011/04/20,287318
2011/04/21,350683
2011/04/22,344996
2011/04/23,328559
2011/04/24,325202
2011/04/25,292324
2011/04/26,240136
2011/04/27,757805
2011/04/28,653808
2011/04/29,572373
2011/04/30,650592
2011/05/01,454018
2011/05/02,331612
2011/05/03,407252
2011/05/04,326412
2011/05/05,306873
2011/05/06,310306
2011/05/07,172045
2011/05/08,122304
2011/05/09,130256
2011/05/10,116908
2011/05/11,87816
2011/05/12,86208
2011/05/13,153462
2011/05/14,248435
2011/05/15,188780
2011/05/16,239257
2011/05/17,226766
2011/05/18,372946
2011/05/19,259979
2011/05/20,244740
2011/05/21,257090
2011/05/22,156027
2011/05/23,174970
2011/05/24,159771
2011/05/25,263601
2011/05/26,456065
2011/05/27,430521
2011/05/28,409317
2011/05/29,491055
2011/05/30,495324
2011/05/31,530945
2011/06/01,613191
2011/06/02,717421
2011/06/03,1435272
2011/06/04,1911519
2011/06/05,1546130
2011/06/06,1465289
2011/06/07,1019337
2011/06/08,1770752
2011/06/09,2089220
2011/06/10,1974420
2011/06/11,1670340
2011/06/12,1388842
2011/06/13,1082393
2011/06/14,1026006
2011/06/15,1056857
2011/06/16,1116958
2011/06/17,1100746
2011/06/18,891627
2011/06/19,967094
2011/06/20,974520
2011/06/21,887504
2011/06/22,712342
2011/06/23,438843
2011/06/24,423112
2011/06/25,503609
2011/06/26,439015
2011/06/27,601576
2011/06/28,462239
2011/06/29,412312
2011/06/30,507871
2011/07/01,478513
2011/07/02,1137043
2011/07/03,1510547
2011/07/04,919978
2011/07/05,710038
2011/07/06,848857
2011/07/07,842683
2011/07/08,618266
2011/07/09,663746
2011/07/10,653748
2011/07/11,914061
2011/07/12,1034584
2011/07/13,682039
2011/07/14,659279
2011/07/15,730392
2011/07/16,615243
2011/07/17,621080
2011/07/18,164414
2011/07/19,164541
2011/07/20,141466
2011/07/21,177599
2011/07/22,117195
2011/07/23,333748
2011/07/24,345827
2011/07/25,439144
2011/07/26,387026
2011/07/27,390015
2011/07/28,393030
2011/07/29,437703
2011/07/30,859429
2011/07/31,851931
2011/08/01,486572
2011/08/02,594231
2011/08/03,590159
2011/08/04,616546
2011/08/05,607199
2011/08/06,358887
2011/08/07,515257
2011/08/08,495222
2011/08/09,659272
2011/08/10,718120
2011/08/11,659191
2011/08/12,677260
2011/08/13,597287
2011/08/14,462342
2011/08/15,452614
2011/08/16,626871
2011/08/17,615564
2011/08/18,636896
2011/08/19,569895
2011/08/20,611965
2011/08/21,594246
2011/08/22,561976
2011/08/23,47807
2011/08/24,42202
2011/08/25,48257
2011/08/26,42985
2011/08/27,175361
2011/08/28,480876
2011/08/29,561336
2011/08/30,628260
2011/08/31,622759
2011/09/01,621710
2011/09/02,606951
2011/09/03,721439
2011/09/04,405795
2011/09/05,279925
2011/09/06,284334
2011/09/07,277888
2011/09/08,305666
2011/09/09,327045
2011/09/10,303176
2011/09/11,324230
2011/09/12,331898
2011/09/13,172257
2011/09/14,156204
2011/09/15,156643
2011/09/16,38037
2011/09/17,127501
2011/09/18,130761
2011/09/19,140762
2011/09/20,606569
2011/09/21,769446
2011/09/22,801212
2011/09/23,791127
2011/09/24,707701
2011/09/25,763392
2011/09/26,880911
2011/09/27,423127
2011/09/28,56780
2011/09/29,64459
2011/09/30,30826
2011/10/01,55535
2011/10/02,118088
2011/10/03,205295
2011/10/04,189843
2011/10/05,179256
2011/10/06,181307
2011/10/07,179541
2011/10/08,174466
2011/10/09,113849
2011/10/10,34545
2011/10/11,41883
2011/10/12,48809
2011/10/13,105961
2011/10/14,134417
2011/10/15,124961
2011/10/16,185190
2011/10/17,179571
2011/10/18,220563
2011/10/19,189796
2011/10/20,239057
2011/10/21,133088
2011/10/22,106840
2011/10/23,134131
2011/10/24,160785
2011/10/25,140282
2011/10/26,136523
2011/10/27,128928
2011/10/28,131450
2011/10/29,138083
2011/10/30,138727
2011/10/31,65287
2011/11/01,109071
2011/11/02,174655
2011/11/03,189532
2011/11/04,258419
2011/11/05,257077
2011/11/06,252327
2011/11/07,208737
2011/11/08,208933
2011/11/09,245116
2011/11/10,278678
2011/11/11,305726
2011/11/12,353345
2011/11/13,304857
2011/11/14,299407
2011/11/15,306139
2011/11/16,255671
2011/11/17,200662
2011/11/18,194024
2011/11/19,255773
2011/11/20,270349
2011/11/21,272257
2011/11/22,179013
2011/11/23,93080
2011/11/24,89919
2011/11/25,105425
2011/11/26,101622
2011/11/27,102433
2011/11/28,136023
2011/11/29,278700
2011/11/30,507967
2011/12/01,483235
2011/12/02,484777
2011/12/03,286683
2011/12/04,212637
2011/12/05,208187
2011/12/06,608434
2011/12/07,576526
2011/12/08,603904
2011/12/09,646511
2011/12/10,639350
2011/12/11,670436
2011/12/12,840602
2011/12/13,140564
2011/12/14,87118
2011/12/15,103979
2011/12/16,95402
2011/12/17,75941
2011/12/18,111022
2011/12/19,162671
2011/12/20,306256
2011/12/21,297467
2011/12/22,285393
2011/12/23,274142
2011/12/24,340748
2011/12/25,232809
2011/12/26,223951
2011/12/27,138452
2011/12/28,152420
2011/12/29,105230
2011/12/30,72444
2011/12/31,34353
2012/01/01,39353
2012/01/02,18928
2012/01/03,66324
2012/01/04,84102
2012/01/05,414459
2012/01/06,478935
2012/01/07,403875
2012/01/08,277140
2012/01/09,196794
2012/01/10,183171
2012/01/11,179618
2012/01/12,151404
2012/01/13,166370
2012/01/14,96648
2012/01/15,102568
2012/01/16,55363
2012/01/17,54232
2012/01/18,34351
2012/01/19,38045
2012/01/20,36485
2012/01/21,53125
2012/01/22,270649
2012/01/23,260186
2012/01/24,346171
2012/01/25,618650
2012/01/26,609854
2012/01/27,613975
2012/01/28,664204
2012/01/29,448064
2012/01/30,439968
2012/01/31,393182
2012/02/01,91759
2012/02/02,159784
2012/02/03,191544
2012/02/04,151933
2012/02/05,130299
2012/02/06,128524
2012/02/07,132565
2012/02/08,116623
2012/02/09,153817
2012/02/10,435001
2012/02/11,467806
2012/02/12,444080
2012/02/13,270445
2012/02/14,662764
2012/02/15,755534
2012/02/16,847677
2012/02/17,1219019
2012/02/18,1590360
2012/02/19,2061296
2012/02/20,2369650
2012/02/21,1950742
2012/02/22,1238046
2012/02/23,386895
2012/02/24,391342
2012/02/25,412125
2012/02/26,443096
2012/02/27,420846
2012/02/28,404194
2012/02/29,381202
2012/03/01,126873
2012/03/02,267450
2012/03/03,523660
2012/03/04,441973
2012/03/05,456853
2012/03/06,466192
2012/03/07,465472
2012/03/08,459349
2012/03/09,268147
2012/03/10,225489
2012/03/11,389122
2012/03/12,297752
2012/03/13,495806
2012/03/14,534225
2012/03/15,516884
2012/03/16,570333
2012/03/17,431322
2012/03/18,214798
2012/03/19,169658
