Date,transactionvalue14rocUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,18.84
2010/08/01,626.315
2010/08/02,27.598
2010/08/03,-4.871
2010/08/04,-0.275
2010/08/05,-27.128
2010/08/06,13.395
2010/08/07,95.15
2010/08/08,15.861
2010/08/09,21.949
2010/08/10,58.274
2010/08/11,310.924
2010/08/12,317.791
2010/08/13,8.294
2010/08/14,-28.832
2010/08/15,-92.159
2010/08/16,0.447
2010/08/17,184.159
2010/08/18,49.713
2010/08/19,-10.453
2010/08/20,43.68
2010/08/21,34.504
2010/08/22,130.596
2010/08/23,-73.798
2010/08/24,-47.408
2010/08/25,-66.196
2010/08/26,-9.792
2010/08/27,41.455
2010/08/28,28.032
2010/08/29,-40.048
2010/08/30,-72.266
2010/08/31,-46.956
2010/09/01,-30.93
2010/09/02,59.319
2010/09/03,23.369
2010/09/04,-9.178
2010/09/05,648.883
2010/09/06,436.015
2010/09/07,9.682
2010/09/08,11.958
2010/09/09,158.442
2010/09/10,-61.604
2010/09/11,-33.575
2010/09/12,42.166
2010/09/13,512.302
2010/09/14,-21.604
2010/09/15,20.69
2010/09/16,-27.387
2010/09/17,119.275
2010/09/18,-3.162
2010/09/19,-67.47
2010/09/20,-67.167
2010/09/21,-45.751
2010/09/22,29.1
2010/09/23,86.579
2010/09/24,-0.74
2010/09/25,66.245
2010/09/26,15.148
2010/09/27,-79.392
2010/09/28,132.578
2010/09/29,4.743
2010/09/30,44.212
2010/10/01,-50.569
2010/10/02,582.498
2010/10/03,38.271
2010/10/04,1408
2010/10/05,1390
2010/10/06,348.924
2010/10/07,102.841
2010/10/08,1253
2010/10/09,1071
2010/10/10,786.841
2010/10/11,333.833
2010/10/12,103.352
2010/10/13,417.485
2010/10/14,610.128
2010/10/15,640.552
2010/10/16,0.883
2010/10/17,96.729
2010/10/18,-53.881
2010/10/19,-11.677
2010/10/20,50.164
2010/10/21,41.3
