Date,transactionvalue14wmaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,3.887
2010/07/31,3.78
2010/08/01,9.244
2010/08/02,9.6
2010/08/03,9.132
2010/08/04,8.775
2010/08/05,8.438
2010/08/06,7.918
2010/08/07,7.704
2010/08/08,6.937
2010/08/09,7.56
2010/08/10,7.476
2010/08/11,7.578
2010/08/12,6.86
2010/08/13,6.347
2010/08/14,5.567
2010/08/15,4.94
2010/08/16,5.548
2010/08/17,6.265
2010/08/18,6.409
2010/08/19,6.182
2010/08/20,6.012
2010/08/21,6.208
2010/08/22,5.877
2010/08/23,5.461
2010/08/24,5.19
2010/08/25,4.85
2010/08/26,4.515
2010/08/27,4.689
2010/08/28,4.428
2010/08/29,4.022
2010/08/30,3.709
2010/08/31,3.854
2010/09/01,3.923
2010/09/02,4.28
2010/09/03,4.476
2010/09/04,4.804
2010/09/05,7.884
2010/09/06,9.344
2010/09/07,8.947
2010/09/08,8.446
2010/09/09,8.373
2010/09/10,7.726
2010/09/11,7.074
2010/09/12,6.556
2010/09/13,7.85
2010/09/14,7.377
2010/09/15,7.085
2010/09/16,6.675
2010/09/17,7.299
2010/09/18,7.065
2010/09/19,7.145
2010/09/20,6.954
2010/09/21,6.418
2010/09/22,6.164
2010/09/23,6.953
2010/09/24,6.405
2010/09/25,6.004
2010/09/26,5.588
2010/09/27,5.162
2010/09/28,5.777
2010/09/29,5.759
2010/09/30,5.882
2010/10/01,5.868
2010/10/02,11.06
2010/10/03,11.559
2010/10/04,21.541
2010/10/05,23.898
2010/10/06,24.169
2010/10/07,25.081
2010/10/08,26.95
2010/10/09,29.663
2010/10/10,30.685
2010/10/11,29.312
2010/10/12,28.634
2010/10/13,29.184
2010/10/14,32.047
2010/10/15,33.93
2010/10/16,35.356
2010/10/17,33.984
2010/10/18,34.415
2010/10/19,33.906
2010/10/20,33.372
2010/10/21,33.629
2010/10/22,32.213
2010/10/23,29.061
