Date,transactionvalue30emaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,6.082
2010/08/16,6.324
2010/08/17,6.603
2010/08/18,6.618
2010/08/19,6.464
2010/08/20,6.345
2010/08/21,6.417
2010/08/22,6.239
2010/08/23,6.04
2010/08/24,5.883
2010/08/25,5.688
2010/08/26,5.482
2010/08/27,5.535
2010/08/28,5.382
2010/08/29,5.172
2010/08/30,5.014
2010/08/31,5.055
2010/09/01,5.034
2010/09/02,5.143
2010/09/03,5.179
2010/09/04,5.282
2010/09/05,6.707
2010/09/06,7.365
2010/09/07,7.145
2010/09/08,6.891
2010/09/09,6.862
2010/09/10,6.575
2010/09/11,6.287
2010/09/12,6.077
2010/09/13,6.761
2010/09/14,6.611
2010/09/15,6.552
2010/09/16,6.445
2010/09/17,6.836
2010/09/18,6.818
2010/09/19,6.952
2010/09/20,6.862
2010/09/21,6.558
2010/09/22,6.401
2010/09/23,6.764
2010/09/24,6.482
2010/09/25,6.29
2010/09/26,6.109
2010/09/27,5.937
2010/09/28,6.218
2010/09/29,6.203
2010/09/30,6.257
2010/10/01,6.252
2010/10/02,8.737
2010/10/03,8.968
2010/10/04,13.787
2010/10/05,14.966
2010/10/06,15.198
2010/10/07,15.79
2010/10/08,16.866
2010/10/09,18.418
2010/10/10,19.224
2010/10/11,18.947
2010/10/12,19.076
2010/10/13,19.84
2010/10/14,21.789
2010/10/15,23.336
2010/10/16,24.745
2010/10/17,24.71
2010/10/18,25.606
2010/10/19,25.781
2010/10/20,25.915
2010/10/21,26.466
2010/10/22,26.219
2010/10/23,25.102
2010/10/24,24.848
2010/10/25,25.866
2010/10/26,27.396
