Date,transactionvalue30momUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,6.902
2010/08/17,4.415
2010/08/18,-0.824
2010/08/19,0.284
2010/08/20,0.039
2010/08/21,0.984
2010/08/22,0.817
2010/08/23,0.312
2010/08/24,2.247
2010/08/25,-7.009
2010/08/26,-1.85
2010/08/27,4.237
2010/08/28,2.505
2010/08/29,-1.98
2010/08/30,-0.75
2010/08/31,-39.651
2010/09/01,-5.056
2010/09/02,2.982
2010/09/03,1.132
2010/09/04,2.056
2010/09/05,24.148
2010/09/06,11.356
2010/09/07,2.381
2010/09/08,-8.833
2010/09/09,-0.43
2010/09/10,-6.042
2010/09/11,-0.661
2010/09/12,-1.423
2010/09/13,14.213
2010/09/14,0.877
2010/09/15,-4.122
2010/09/16,-5.764
2010/09/17,5.661
2010/09/18,2.335
2010/09/19,4.28
2010/09/20,-1.909
2010/09/21,-1.503
2010/09/22,0.98
2010/09/23,8.408
2010/09/24,-0.46
2010/09/25,1.003
2010/09/26,-2.81
2010/09/27,0.272
2010/09/28,8.172
2010/09/29,3.249
2010/09/30,1.398
2010/10/01,1.455
2010/10/02,38.04
2010/10/03,6.607
2010/10/04,76.894
2010/10/05,4.696
2010/10/06,1.653
2010/10/07,20.422
2010/10/08,29.252
2010/10/09,34.486
2010/10/10,28.5
2010/10/11,12.814
2010/10/12,17.921
2010/10/13,14.231
2010/10/14,45.623
2010/10/15,40.067
2010/10/16,40.278
2010/10/17,11.711
2010/10/18,32.027
2010/10/19,19.415
2010/10/20,22.314
2010/10/21,32.308
2010/10/22,18.496
2010/10/23,-3.114
2010/10/24,18.769
2010/10/25,37.128
