Date,transactionvalue30rsiUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,0
2010/08/06,0
2010/08/07,0
2010/08/08,0
2010/08/09,0
2010/08/10,0
2010/08/11,0
2010/08/12,0
2010/08/13,0
2010/08/14,0
2010/08/15,0
2010/08/16,52.105
2010/08/17,52.353
2010/08/18,51.089
2010/08/19,50.227
2010/08/20,50.359
2010/08/21,51.309
2010/08/22,49.982
2010/08/23,49.806
2010/08/24,49.974
2010/08/25,49.693
2010/08/26,49.554
2010/08/27,51.031
2010/08/28,49.79
2010/08/29,49.378
2010/08/30,49.625
2010/08/31,50.846
2010/09/01,50.447
2010/09/02,51.305
2010/09/03,50.838
2010/09/04,51.316
2010/09/05,59.204
2010/09/06,54.557
2010/09/07,49.58
2010/09/08,49.306
2010/09/09,50.51
2010/09/10,49.014
2010/09/11,48.897
2010/09/12,49.265
2010/09/13,54.299
2010/09/14,49.72
2010/09/15,50.172
2010/09/16,49.875
2010/09/17,52.585
2010/09/18,50.385
2010/09/19,51.217
2010/09/20,49.977
2010/09/21,48.739
2010/09/22,49.494
2010/09/23,52.381
2010/09/24,48.857
2010/09/25,49.259
2010/09/26,49.255
2010/09/27,49.237
2010/09/28,51.861
2010/09/29,50.17
2010/09/30,50.583
2010/10/01,50.235
2010/10/02,62.214
2010/10/03,51.439
2010/10/04,65.161
2010/10/05,53.79
2010/10/06,51.363
2010/10/07,52.324
2010/10/08,53.634
2010/10/09,54.98
2010/10/10,53.097
2010/10/11,50.253
2010/10/12,51.271
2010/10/13,52.918
2010/10/14,55.879
2010/10/15,55.078
2010/10/16,54.962
2010/10/17,51.128
2010/10/18,53.433
2010/10/19,51.633
2010/10/20,51.553
2010/10/21,52.648
2010/10/22,50.53
2010/10/23,48.202
2010/10/24,50.317
2010/10/25,53.439
2010/10/26,54.793
