Date,transactionvalue7smaUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,4.952
2010/07/24,4.94
2010/07/25,4.244
2010/07/26,4.559
2010/07/27,4.616
2010/07/28,4.256
2010/07/29,3.425
2010/07/30,3.607
2010/07/31,3.698
2010/08/01,9.974
2010/08/02,9.962
2010/08/03,9.877
2010/08/04,10.236
2010/08/05,10.815
2010/08/06,10.687
2010/08/07,10.983
2010/08/08,4.738
2010/08/09,5.06
2010/08/10,5.506
2010/08/11,6.062
2010/08/12,5.783
2010/08/13,5.959
2010/08/14,5.52
2010/08/15,5.801
2010/08/16,5.486
2010/08/17,6.025
2010/08/18,5.794
2010/08/19,6.003
2010/08/20,6.027
2010/08/21,6.74
2010/08/22,6.754
2010/08/23,5.801
2010/08/24,4.796
2010/08/25,4.227
2010/08/26,3.979
2010/08/27,4.219
2010/08/28,3.605
2010/08/29,3.388
2010/08/30,3.326
2010/08/31,3.617
2010/09/01,3.884
2010/09/02,4.489
2010/09/03,4.404
2010/09/04,4.92
2010/09/05,8.525
2010/09/06,10.55
2010/09/07,10.309
2010/09/08,10.091
2010/09/09,10.05
2010/09/10,9.581
2010/09/11,8.914
2010/09/12,5.437
2010/09/13,5.406
2010/09/14,5.473
2010/09/15,5.83
2010/09/16,5.608
2010/09/17,7.049
2010/09/18,7.685
2010/09/19,8.525
2010/09/20,6.934
2010/09/21,6.608
2010/09/22,6.384
2010/09/23,7.403
2010/09/24,5.96
2010/09/25,5.522
2010/09/26,4.748
2010/09/27,4.447
2010/09/28,5.611
2010/09/29,5.874
2010/09/30,5.164
2010/10/01,5.704
2010/10/02,11.6
2010/10/03,12.86
2010/10/04,24.322
2010/10/05,27.43
2010/10/06,29.227
2010/10/07,31.704
2010/10/08,35.458
2010/10/09,34.909
2010/10/10,37.567
2010/10/11,27.746
2010/10/12,26.159
2010/10/13,27.925
2010/10/14,31.591
2010/10/15,33.493
2010/10/16,34.099
2010/10/17,33.141
2010/10/18,36.522
2010/10/19,37.575
2010/10/20,37.139
2010/10/21,34.911
2010/10/22,31.605
