Date,transactionvalue7trxUSD
2010/07/17,0
2010/07/18,0
2010/07/19,0
2010/07/20,0
2010/07/21,0
2010/07/22,0
2010/07/23,0
2010/07/24,0
2010/07/25,0
2010/07/26,0
2010/07/27,0
2010/07/28,0
2010/07/29,0
2010/07/30,0
2010/07/31,0
2010/08/01,0
2010/08/02,0
2010/08/03,0
2010/08/04,0
2010/08/05,8.687
2010/08/06,4.364
2010/08/07,1.691
2010/08/08,-0.857
2010/08/09,-0.798
2010/08/10,-0.735
2010/08/11,-0.326
2010/08/12,-1.062
2010/08/13,-1.804
2010/08/14,-2.874
2010/08/15,-3.691
2010/08/16,-2.768
2010/08/17,-0.883
2010/08/18,0.219
2010/08/19,0.135
2010/08/20,-0.341
2010/08/21,-0.203
2010/08/22,-0.767
2010/08/23,-1.664
2010/08/24,-2.452
2010/08/25,-3.265
2010/08/26,-4.065
2010/08/27,-3.67
2010/08/28,-3.603
2010/08/29,-3.981
2010/08/30,-4.307
2010/08/31,-3.568
2010/09/01,-2.66
2010/09/02,-1.053
2010/09/03,0.281
2010/09/04,1.638
2010/09/05,9.894
2010/09/06,14.571
2010/09/07,12.316
2010/09/08,8.327
2010/09/09,5.361
2010/09/10,2.322
2010/09/11,-0.345
2010/09/12,-2.321
2010/09/13,-0.804
2010/09/14,-0.61
2010/09/15,-0.742
2010/09/16,-1.165
2010/09/17,0.066
2010/09/18,0.487
2010/09/19,1.006
2010/09/20,0.72
2010/09/21,-0.604
2010/09/22,-1.724
2010/09/23,-0.826
2010/09/24,-1.328
2010/09/25,-2.109
2010/09/26,-2.893
2010/09/27,-3.568
2010/09/28,-2.367
2010/09/29,-1.503
2010/09/30,-0.623
2010/10/01,-0.092
2010/10/02,10.306
2010/10/03,13.219
2010/10/04,27.271
2010/10/05,26.967
2010/10/06,20.606
2010/10/07,15.255
2010/10/08,11.964
2010/10/09,10.385
2010/10/10,8.596
2010/10/11,5.837
2010/10/12,3.639
2010/10/13,2.596
2010/10/14,3.289
2010/10/15,4.172
2010/10/16,4.81
2010/10/17,3.96
2010/10/18,3.43
2010/10/19,2.524
2010/10/20,1.573
